code,name,LGD,EDM_score,EDM_rank,EDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Proximity to Services_score,Proximity to Services_rank
95AA040005,Clady,,7.74,4061,9,0.08,3848,0.06,4758,0.42,1417
95AA040006,Clady,,9.84,3687,8,0.05,4320,0.09,4194,0.8,814
95AA040007,Clady,,11.84,3372,7,0.07,3971,0.08,4274,1.02,546
95AA050001,Cranfield,,14.26,3044,7,0.09,3687,0.09,3952,1.13,408
95AA050002,Cranfield,,11.98,3345,7,0.11,3413,0.11,3633,0.54,1213
95AA050003,Cranfield,,12.53,3264,7,0.07,3997,0.08,4388,1.13,406
95AA050004,Cranfield,,9.08,3813,8,0.1,3540,0.08,4405,0.37,1486
95AA050005,Cranfield,,25.65,1618,4,0.3,1412,0.18,1814,0.3,1616
95AA050006,Cranfield,,17.18,2647,6,0.19,2344,0.13,2830,0.39,1460
95AA060001,Crumlin_2_Antrim,,22.78,1944,4,0.26,1665,0.17,1948,0.13,1951
95AA060002,Crumlin_1_Antrim,,24.22,1775,4,0.19,2314,0.2,1322,0.36,1515
95AA060003,Crumlin_2_Antrim,,14.34,3033,7,0.13,3077,0.13,2881,0.36,1509
95AA060004,Crumlin_1_Antrim,,16.6,2711,6,0.14,2943,0.14,2553,0.52,1243
95AA060005,Crumlin_2_Antrim,,8.55,3897,8,0.06,4104,0.1,3681,0.17,1862
95AA060006,Crumlin_1_Antrim,,8.84,3847,8,0.08,3785,0.07,4553,0.53,1226
95AA060007,Crumlin_1_Antrim,,8.17,3974,8,0.07,4052,0.07,4625,0.56,1187
95AA060008,Crumlin_2_Antrim,,10.64,3551,8,0.08,3788,0.1,3825,0.56,1173
95AA060009,Crumlin_2_Antrim,,11.71,3395,7,0.12,3208,0.12,3111,0,2280
95AA060010,Crumlin_2_Antrim,,26.8,1489,3,0.33,1206,0.17,1922,0.36,1512
95AA060011,Crumlin_1_Antrim,,16.17,2786,6,0.21,2155,0.11,3462,0.41,1422
95AA070001,Drumanaway,,14.49,3008,6,0.12,3231,0.1,3911,1,567
95AA070002,Drumanaway,,14.06,3074,7,0.11,3335,0.1,3665,0.89,703
95AA070003,Drumanaway,,11.76,3382,7,0.09,3738,0.12,3241,0.45,1369
95AA070004,Drumanaway,,20.68,2192,5,0.26,1734,0.16,2150,-0.05,2424
95AA070005,Drumanaway,,20.08,2275,5,0.22,2056,0.17,2053,0.07,2090
95AA070006,Drumanaway,,10.14,3647,8,0.11,3336,0.11,3446,-0.05,2432
95AA080001,Farranshane,,53.98,245,1,0.59,228,0.3,364,-0.01,2331
95AA080002,Farranshane,,34.21,942,2,0.37,983,0.23,949,0.14,1927
95AA080003,Farranshane,,28.59,1355,3,0.39,883,0.18,1779,-0.04,2421
95AA080004,Farranshane,,21.71,2066,5,0.29,1492,0.14,2534,0.22,1762
95AA080005,Farranshane,,18.38,2491,5,0.18,2494,0.16,2074,0.11,1984
95AA080006,Farranshane,,22.72,1952,4,0.23,1958,0.19,1601,0.04,2154
95AA090001,Fountain Hill,,29.12,1303,3,0.34,1147,0.22,1102,-0.45,3619
95AA090002,Fountain Hill,,19.92,2299,5,0.26,1683,0.16,2087,-0.39,3442
95AA090003,Fountain Hill,,26.9,1476,3,0.27,1600,0.23,990,-0.51,3759
95AA090004,Fountain Hill,,42.69,546,2,0.48,491,0.27,534,-0.58,3922
95AA090005,Fountain Hill,,10.75,3529,8,0.09,3748,0.15,2499,-0.4,3448
95AA090006,Fountain Hill,,4,4746,10,0.05,4470,0.07,4647,-0.18,2821
95AA090007,Fountain Hill,,24.9,1706,4,0.27,1572,0.21,1267,-0.48,3682
95AA100001,Greystone_Antrim,,33.14,1002,2,0.39,841,0.22,1047,-0.22,2947
95AA100002,Greystone_Antrim,,7.4,4132,9,0.06,4225,0.11,3581,-0.09,2535
95AA100003,Greystone_Antrim,,4.75,4607,10,0.05,4435,0.08,4432,-0.13,2658
95AA100004,Greystone_Antrim,,27.49,1437,3,0.36,1038,0.19,1655,-0.12,2630
95AA100005,Greystone_Antrim,,4.22,4715,10,0.02,4865,0.07,4532,-0.01,2291
95AA100006,Greystone_Antrim,,49.23,355,1,0.57,280,0.28,503,-0.13,2662
95AA110001,Massereene_2,,5.87,4403,9,0.08,3810,0.07,4536,-0.15,2725
95AA110002,Massereene_2,,15.6,2868,6,0.11,3440,0.19,1598,-0.43,3554
95AA110003,Massereene_2,,3.39,4838,10,0.03,4718,0.08,4233,-0.47,3667
95AA110004,Massereene_2,,2,4986,10,0.04,4616,0.06,4767,-0.69,4160
95AA110005,Massereene_1,,5.56,4468,9,0.05,4296,0.11,3612,-0.56,3890
95AA110006,Massereene_1,,18.75,2447,5,0.14,2988,0.21,1140,-1.46,4980
95AA110007,Massereene_1,,6.25,4338,9,0.04,4594,0.12,3250,-0.43,3560
95AA110008,Massereene_1,,22.76,1947,4,0.37,994,0.16,2243,-1.22,4857
95AA110009,Massereene_1,,7.12,4182,9,0.14,2930,0.09,4067,-1.44,4974
95AA110010,Massereene_1,,15.29,2905,6,0.23,1926,0.13,2946,-0.45,3596
95AA110011,Massereene_2,,7.03,4202,9,0.07,4066,0.1,3796,-0.13,2657
95AA120001,Parkgate,,10.39,3601,8,0.04,4546,0.07,4501,1.05,498
95AA120002,Parkgate,,9.8,3695,8,0.06,4213,0.08,4359,0.82,794
95AA120003,Parkgate,,16.48,2730,6,0.11,3399,0.15,2518,0.73,915
95AA120004,Parkgate,,7.2,4167,9,0.03,4677,0.05,4943,0.75,893
95AA120005,Parkgate,,14.87,2960,6,0.05,4461,0.09,4098,1.37,165
95AA120006,Parkgate,,11.04,3491,7,0.05,4369,0.07,4540,1.09,448
95AA130001,Randalstown_2,,25.08,1686,4,0.26,1661,0.21,1185,-0.45,3609
95AA130002,Randalstown_2,,13.24,3171,7,0.11,3346,0.14,2710,0.14,1923
95AA130003,Randalstown_2,,8.2,3967,8,0.09,3724,0.1,3887,0,2285
95AA130004,Randalstown_1,,25.82,1601,4,0.28,1550,0.19,1510,0.13,1936
95AA130005,Randalstown_2,,10.43,3593,8,0.15,2869,0.12,3191,-0.61,3987
95AA130006,Randalstown_1,,11.13,3478,7,0.15,2874,0.1,3798,0.06,2119
95AA130007,Randalstown_1,,5.63,4447,9,0.02,4896,0.08,4235,0.19,1827
95AA130008,Randalstown_1,,12.16,3316,7,0.12,3314,0.11,3613,0.51,1266
95AA140001,Shilvodan,,12.27,3303,7,0.09,3654,0.09,4079,0.9,688
95AA140002,Shilvodan,,10.66,3547,8,0.09,3729,0.09,4197,0.71,953
95AA140003,Shilvodan,,9.48,3749,8,0.06,4208,0.08,4398,0.78,851
95AA140004,Shilvodan,,10.89,3509,7,0.06,4232,0.1,3692,0.75,897
95AA140005,Shilvodan,,14.89,2958,6,0.1,3615,0.14,2764,0.71,950
95AA150001,Springfarm_2,,19.23,2371,5,0.24,1856,0.16,2197,-0.2,2859
95AA150002,Springfarm_2,,8.79,3852,8,0.07,4071,0.13,2985,-0.25,3032
95AA150003,Springfarm_1,,9.17,3802,8,0.13,3179,0.11,3535,-0.35,3342
95AA150004,Springfarm_1,,5.63,4449,9,0.02,4884,0.1,3638,-0.14,2708
95AA150005,Springfarm_1,,31.04,1145,3,0.46,550,0.18,1775,-0.54,3838
95AA150006,Springfarm_1,,17.86,2562,6,0.18,2476,0.19,1626,-0.73,4243
95AA150007,Springfarm_2,,43.76,509,2,0.35,1104,0.33,225,-0.18,2817
95AA150008,Springfarm_2,,25.41,1649,4,0.24,1864,0.21,1154,-0.12,2648
95AA160001,Steeple,,17.94,2548,6,0.17,2564,0.18,1695,-0.39,3435
95AA160002,Steeple,,36.44,811,2,0.44,615,0.23,922,-0.4,3455
95AA160003,Steeple,,24.53,1749,4,0.23,2011,0.22,1063,-0.37,3382
95AA160004,Steeple,,12.86,3222,7,0.11,3363,0.16,2290,-0.31,3205
95AA160005,Steeple,,20.45,2217,5,0.21,2190,0.19,1589,-0.26,3054
95AA160006,Steeple,,16.73,2695,6,0.19,2400,0.16,2151,-0.28,3107
95AA170001,Stiles,,3.9,4764,10,0.03,4717,0.07,4446,-0.19,2832
95AA170002,Stiles,,11.1,3482,7,0.17,2569,0.1,3728,-0.23,2971
95AA170003,Stiles,,18.17,2514,6,0.21,2160,0.16,2208,-0.1,2573
95AA170004,Stiles,,6.73,4256,9,0.07,4001,0.09,3996,-0.12,2640
95AA170005,Stiles,,31.31,1120,3,0.28,1522,0.25,772,-0.03,2366
95AA170006,Stiles,,21.84,2051,5,0.25,1738,0.18,1731,-0.25,3030
95AA170007,Stiles,,33.83,957,2,0.38,930,0.23,902,-0.16,2761
95AA180001,Templepatrick,,10.98,3499,7,0.08,3791,0.14,2708,-0.1,2581
95AA180002,Templepatrick,,5.11,4536,10,0.02,4864,0.06,4686,0.28,1651
95AA180003,Templepatrick,,8.48,3917,8,0.04,4557,0.1,3818,0.48,1319
95AA180004,Templepatrick,,15.36,2893,6,0.15,2842,0.16,2127,-0.25,3013
95AA180005,Templepatrick,,5.87,4402,9,0.04,4570,0.05,4910,0.43,1397
95AA180006,Templepatrick,,4.49,4658,10,0.02,4881,0.07,4603,0.1,2030
95AA180007,Templepatrick,,7.98,4006,8,0.08,3770,0.06,4730,0.41,1421
95AA190001,Toome,,18.8,2443,5,0.17,2547,0.11,3516,1.13,412
95AA190002,Toome,,17.51,2604,6,0.17,2631,0.12,3211,0.88,708
95AA190003,Toome,,17.59,2594,6,0.17,2643,0.1,3669,1.08,474
95AA190004,Toome,,18.81,2441,5,0.16,2710,0.05,4837,1.49,121
95AA190005,Toome,,27.37,1444,3,0.21,2156,0.19,1590,1.08,463
95AA190006,Toome,,53.61,252,1,0.69,102,0.23,993,0.63,1059
95BB010001,Ballygowan_1,,8.49,3913,8,0.04,4528,0.08,4207,0.65,1040
95BB010002,Ballygowan_1,,7.65,4080,9,0.04,4661,0.07,4483,0.65,1030
95BB010003,Ballygowan_1,,10.2,3639,8,0.06,4243,0.06,4750,1.01,549
95BB010004,Ballygowan_2,,9.55,3738,8,0.07,3920,0.1,3861,0.42,1412
95BB010005,Ballygowan_2,,18.41,2488,5,0.19,2394,0.14,2585,0.52,1244
95BB010006,Ballygowan_2,,8.23,3964,8,0.08,3900,0.07,4444,0.4,1430
95BB010007,Ballygowan_2,,7.7,4070,9,0.03,4709,0.09,3958,0.45,1368
95BB010008,Ballygowan_1,,20.61,2204,5,0.16,2708,0.17,1999,0.7,956
95BB010009,Ballygowan_2,,6.57,4280,9,0.02,4966,0.07,4521,0.58,1151
95BB020001,Ballyrainey,,16.97,2665,6,0.14,2922,0.18,1674,-0.34,3312
95BB020002,Ballyrainey,,17.02,2660,6,0.22,2110,0.16,2167,-0.56,3885
95BB020003,Ballyrainey,,20.5,2211,5,0.24,1863,0.19,1569,-0.99,4637
95BB020004,Ballyrainey,,44.21,494,1,0.39,878,0.33,221,-0.89,4490
95BB020005,Ballyrainey,,18.68,2459,5,0.2,2214,0.19,1660,-0.76,4286
95BB020006,Ballyrainey,,29.62,1248,3,0.34,1146,0.23,964,-0.81,4376
95BB020007,Ballyrainey,,27.26,1452,3,0.29,1470,0.23,1006,-0.63,4043
95BB020008,Ballyrainey,,34.43,928,2,0.36,1054,0.26,649,-0.52,3778
95BB020009,Ballyrainey,,10.27,3618,8,0.13,3168,0.08,4218,0.31,1597
95BB020010,Ballyrainey,,26.85,1481,3,0.3,1419,0.22,1034,-0.97,4604
95BB030001,Ballywalter_2,,23.58,1855,4,0.2,2297,0.19,1567,0.55,1201
95BB030002,Ballywalter_2,,13.7,3118,7,0.11,3438,0.14,2757,0.36,1514
95BB030003,Ballywalter_2,,12.82,3227,7,0.12,3214,0.11,3540,0.55,1205
95BB030004,Ballywalter_2,,6.58,4278,9,0.02,4897,0.07,4638,0.6,1113
95BB030005,Ballywalter_2,,11.65,3407,7,0.04,4641,0.07,4580,1.22,303
95BB030006,Ballywalter_2,,15.9,2825,6,0.06,4256,0.1,3832,1.36,168
95BB030007,Ballywalter_1,,26.7,1501,3,0.23,1925,0.18,1819,1.02,535
95BB030008,Ballywalter_1,,23.88,1819,4,0.22,2093,0.16,2219,1,566
95BB030009,Ballywalter_1,,17.27,2637,6,0.06,4197,0.15,2341,1.05,501
95BB030010,Ballywalter_1,,26.1,1561,4,0.22,2106,0.19,1500,0.79,833
95BB030011,Ballywalter_1,,30.55,1179,3,0.33,1190,0.18,1835,0.95,616
95BB040001,Bradshaw's Brae_1,,6.42,4302,9,0.12,3285,0.09,3999,-1.03,4687
95BB040002,Bradshaw's Brae_1,,10.05,3661,8,0.16,2780,0.12,3176,-1.17,4824
95BB040003,Bradshaw's Brae_2,,8,4002,8,0.04,4583,0.08,4206,0.57,1154
95BB040004,Bradshaw's Brae_1,,2.26,4963,10,0.03,4724,0.07,4505,-0.72,4223
95BB040005,Bradshaw's Brae_2,,4.44,4667,10,0.02,4901,0.05,4835,0.21,1792
95BB040006,Bradshaw's Brae_2,,7.43,4128,9,0.09,3727,0.1,3809,-0.23,2952
95BB040007,Bradshaw's Brae_1,,8.2,3969,8,0.11,3378,0.11,3499,-0.54,3814
95BB040008,Bradshaw's Brae_2,,3.81,4778,10,0.03,4736,0.09,4191,-0.35,3333
95BB040009,Bradshaw's Brae_2,,3.55,4816,10,0.04,4597,0.09,4125,-0.62,4008
95BB040010,Bradshaw's Brae_1,,28.7,1346,3,0.27,1632,0.25,721,-1.03,4698
95BB050001,Carrowdore_2,,13.03,3201,7,0.09,3656,0.09,4025,1,572
95BB050002,Carrowdore_2,,18.52,2479,5,0.11,3345,0.14,2683,1.09,446
95BB050003,Carrowdore_1,,11.83,3375,7,0.08,3909,0.09,4099,0.94,641
95BB050004,Carrowdore_2,,18.95,2415,5,0.07,3942,0.13,2943,1.35,178
95BB050005,Carrowdore_2,,29.8,1234,3,0.31,1311,0.17,1889,1.02,548
95BB050006,Carrowdore_1,,12.61,3257,7,0.11,3426,0.11,3506,0.6,1109
95BB050007,Carrowdore_1,,16.76,2690,6,0.15,2875,0.12,3065,0.82,784
95BB050008,Carrowdore_2,,18.92,2423,5,0.09,3714,0.16,2235,1.06,492
95BB050009,Carrowdore_1,,12,3344,7,0.06,4136,0.09,4052,1.02,540
95BB060001,Central_Ards,,23.37,1880,4,0.18,2460,0.24,851,-1.09,4754
95BB060002,Central_Ards,,14.72,2979,6,0.19,2387,0.15,2357,-0.76,4288
95BB060003,Central_Ards,,4.02,4743,10,0.04,4488,0.1,3826,-0.92,4536
95BB060004,Central_Ards,,43.36,522,2,0.31,1323,0.37,141,-1.19,4843
95BB060005,Central_Ards,,24.74,1728,4,0.29,1491,0.21,1245,-0.93,4564
95BB060006,Central_Ards,,26.18,1553,4,0.24,1871,0.24,819,-1.23,4861
95BB060007,Central_Ards,,5.72,4427,9,0.08,3777,0.1,3751,-1.02,4682
95BB060008,Central_Ards,,24.12,1788,4,0.38,902,0.16,2103,-1.65,5015
95BB060009,Central_Ards,,50.39,328,1,0.48,477,0.34,194,-0.96,4590
