code,name,LGD,EDM_score,EDM_rank,EDM_decile,Income_score,Income_rank,Employment_score,Employment_rank,Proximity to Services_score,Proximity to Services_rank
95GG160010,Chichester Park_2,,26.54,1519,4,0.3,1388,0.22,1092,-0.98,4620
95GG160011,Chichester Park_2,,20.53,2210,5,0.32,1280,0.16,2279,-0.96,4592
95GG160012,Chichester Park_1,,25.38,1650,4,0.3,1404,0.21,1215,-1.06,4731
95GG160013,Chichester Park_1,,60.59,143,1,0.61,190,0.38,122,-1.14,4793
95GG160014,Chichester Park_1,,47.47,401,1,0.43,656,0.34,192,-1.3,4914
95GG160015,Chichester Park_1,,35.7,855,2,0.47,523,0.22,1040,-0.94,4571
95GG160016,Chichester Park_1,,33.36,986,2,0.4,827,0.24,853,-1.06,4724
95GG170001,Cliftonville_3,,20.22,2249,5,0.24,1910,0.17,1882,-0.24,3007
95GG170002,Cliftonville_2,,11.45,3437,7,0.16,2691,0.13,2920,-0.85,4456
95GG170003,Cliftonville_1,,10.2,3637,8,0.12,3280,0.14,2725,-0.89,4498
95GG170004,Cliftonville_2,,17.3,2632,6,0.17,2540,0.18,1708,-0.65,4092
95GG170005,Cliftonville_1,,22.09,2026,5,0.3,1385,0.18,1818,-0.81,4379
95GG170006,Cliftonville_1,,61.69,127,1,0.78,48,0.31,314,-1.04,4707
95GG170007,Cliftonville_2,,19.73,2317,5,0.16,2770,0.21,1190,-0.71,4179
95GG170008,Cliftonville_3,,49,359,1,0.54,321,0.29,421,-0.3,3165
95GG170009,Cliftonville_3,,37.4,763,2,0.44,611,0.24,825,-0.43,3542
95GG170010,Cliftonville_3,,38.16,733,2,0.45,603,0.25,740,-0.55,3847
95GG170011,Cliftonville_1,,40.9,613,2,0.51,408,0.25,726,-1.03,4690
95GG170012,Cliftonville_1,,29.26,1288,3,0.39,866,0.2,1305,-0.92,4542
95GG170013,Cliftonville_2,,15.17,2926,6,0.22,2076,0.13,2925,-0.29,3136
95GG170014,Cliftonville_2,,14.37,3029,7,0.17,2615,0.15,2392,-0.45,3612
95GG170015,Cliftonville_3,,23.33,1886,4,0.21,2167,0.22,1100,-0.44,3566
95GG170016,Cliftonville_3,,34.55,922,2,0.4,834,0.24,836,-0.43,3539
95GG180001,Clonard_2,,2.84,4913,10,0.07,4042,0.07,4660,-1.33,4929
95GG180002,Clonard_1,,57.48,182,1,0.61,186,0.34,195,-1.3,4910
95GG180003,Clonard_1,,21.64,2073,5,0.26,1697,0.19,1505,-1.11,4773
95GG180004,Clonard_2,,33.83,956,2,0.44,608,0.22,1068,-1.52,4994
95GG180005,Clonard_2,,52.76,275,1,0.59,229,0.31,296,-1.46,4982
95GG180006,Clonard_2,,37.6,752,2,0.42,735,0.27,581,-1.36,4945
95GG180007,Clonard_2,,60.61,142,1,0.66,119,0.35,189,-1.65,5014
95GG180008,Clonard_1,,34.06,946,2,0.38,923,0.25,695,-1.25,4883
95GG180009,Clonard_1,,55.31,221,1,0.57,260,0.34,208,-0.61,3997
95GG180010,Clonard_1,,61.44,130,1,0.65,135,0.36,161,-0.81,4384
95GG180011,Clonard_1,,78.36,19,1,0.93,18,0.51,25,-1.18,4833
95GG180012,Clonard_2,,40.76,619,2,0.49,470,0.26,642,-1.08,4740
95GG180013,Clonard_2,,65.94,84,1,0.69,103,0.39,96,-1.3,4912
95GG180014,Clonard_1,,33.01,1014,3,0.4,807,0.23,912,-1.02,4685
95GG190001,Crumlin_1_Belfast,,74.29,32,1,0.73,67,0.53,21,-1.27,4897
95GG190002,Crumlin_2_Belfast,,58.85,159,1,0.55,306,0.4,88,-1.25,4880
95GG190003,Crumlin_1_Belfast,,49.4,351,1,0.55,307,0.3,348,-1.08,4744
95GG190004,Crumlin_1_Belfast,,51.25,311,1,0.53,365,0.33,226,-1.26,4891
95GG190005,Crumlin_1_Belfast,,53.54,254,1,0.58,251,0.33,246,-1.34,4934
95GG190006,Crumlin_2_Belfast,,45.45,457,1,0.46,555,0.31,309,-1.07,4735
95GG190007,Crumlin_2_Belfast,,72.35,47,1,0.79,45,0.43,62,-1.17,4819
95GG190008,Crumlin_2_Belfast,,78.93,17,1,0.86,26,0.57,12,-1.26,4890
95GG190009,Crumlin_2_Belfast,,80.65,12,1,0.97,12,0.62,11,-1.29,4905
95GG190010,Crumlin_2_Belfast,,41.59,587,2,0.36,1005,0.32,254,-1.35,4940
95GG190011,Crumlin_1_Belfast,,46.22,437,1,0.45,587,0.32,258,-1.36,4944
95GG190012,Crumlin_2_Belfast,,26.05,1567,4,0.27,1570,0.23,988,-1.39,4959
95GG190013,Crumlin_2_Belfast,,23.12,1909,4,0.31,1314,0.19,1645,-1.19,4844
95GG190014,Crumlin_2_Belfast,,70.09,56,1,0.64,149,0.53,19,-0.98,4626
95GG190015,Crumlin_1_Belfast,,65.63,87,1,0.58,244,0.5,27,-1.04,4706
95GG190016,Crumlin_1_Belfast,,31.11,1137,3,0.41,782,0.21,1144,-1.21,4852
95GG190017,Crumlin_1_Belfast,,40.27,645,2,0.44,644,0.28,488,-1.3,4915
95GG190018,Crumlin_1_Belfast,,58.85,158,1,0.54,320,0.4,83,-1.18,4828
95GG200001,Duncairn_2,,74.38,31,1,0.76,58,0.5,29,-0.93,4562
95GG200002,Duncairn_1,,66.27,80,1,0.6,208,0.48,35,-0.82,4395
95GG200003,Duncairn_1,,81.69,9,1,0.98,10,0.69,6,-1.08,4741
95GG200004,Duncairn_1,,56.76,200,1,0.58,248,0.36,162,-1.13,4787
95GG200005,Duncairn_2,,51.04,314,1,0.6,201,0.29,427,-0.97,4616
95GG200006,Duncairn_1,,48.75,367,1,0.46,542,0.32,271,-0.15,2733
95GG200007,Duncairn_1,,18.54,2476,5,0.19,2311,0.18,1706,-0.5,3732
95GG200008,Duncairn_2,,18.53,2478,5,0.24,1841,0.17,2041,-0.73,4229
95GG200009,Duncairn_1,,29.59,1253,3,0.42,731,0.18,1675,-0.36,3363
95GG200010,Duncairn_2,,24.92,1701,4,0.3,1438,0.2,1333,-0.62,4023
95GG200011,Duncairn_1,,47.6,396,1,0.48,476,0.31,326,-0.37,3384
95GG200012,Duncairn_2,,31.78,1090,3,0.36,1043,0.24,870,-0.59,3946
95GG200013,Duncairn_2,,36.18,824,2,0.39,869,0.26,634,-0.6,3977
95GG200014,Duncairn_2,,41.02,610,2,0.44,625,0.28,492,-0.73,4238
95GG200015,Duncairn_1,,45.65,448,1,0.42,729,0.33,239,-0.64,4057
95GG200016,Duncairn_2,,55.02,226,1,0.55,314,0.36,160,-1.12,4779
95GG210001,Falls_2,,72.65,43,1,0.94,15,0.38,103,-1.33,4926
95GG210002,Falls_3,,43.64,515,2,0.46,544,0.3,385,-1.59,5006
95GG210003,Falls_3,,72.93,42,1,0.82,37,0.43,63,-1.32,4919
95GG210004,Falls_3,,77.38,24,1,0.81,39,0.56,14,-1.31,4918
95GG210005,Falls_3,,47.79,390,1,0.58,246,0.28,509,-1.41,4964
95GG210006,Falls_3,,57.76,177,1,0.71,84,0.3,360,-1.34,4932
95GG210007,Falls_1,,40.49,634,2,0.51,427,0.25,709,-1.57,5001
95GG210008,Falls_2,,68.88,59,1,0.76,59,0.39,95,-1.39,4958
95GG210009,Falls_2,,67.51,71,1,0.72,79,0.39,94,-1.37,4946
95GG210010,Falls_2,,74.02,34,1,0.85,30,0.43,57,-1.47,4984
95GG210011,Falls_2,,63.68,101,1,0.63,157,0.39,89,-1.32,4923
95GG210012,Falls_1,,72.42,46,1,0.76,56,0.45,48,-1.59,5005
95GG210013,Falls_1,,40.36,641,2,0.49,462,0.26,672,-1.33,4925
95GG210014,Falls_1,,68.78,61,1,0.73,72,0.4,81,-1.48,4988
95GG210015,Falls_1,,65.1,88,1,0.75,60,0.35,171,-1.3,4913
95GG220001,Falls Park_2,,12.87,3220,7,0.23,1955,0.11,3489,-0.78,4319
95GG220002,Falls Park_1,,21.78,2058,5,0.2,2206,0.22,1116,-1.44,4977
95GG220003,Falls Park_1,,13.61,3130,7,0.14,3043,0.17,2024,-0.95,4587
95GG220004,Falls Park_1,,28.78,1334,3,0.36,1062,0.21,1133,-0.85,4454
95GG220005,Falls Park_1,,49.96,339,1,0.54,337,0.31,310,-0.76,4292
95GG220006,Falls Park_1,,47.68,392,1,0.53,362,0.3,375,-0.88,4483
95GG220007,Falls Park_3,,70.57,52,1,0.7,93,0.44,54,-0.45,3625
95GG220008,Falls Park_3,,20.76,2188,5,0.3,1420,0.16,2104,-0.66,4099
95GG220009,Falls Park_3,,35.8,847,2,0.37,956,0.27,582,-0.75,4264
95GG220010,Falls Park_1,,23.71,1837,4,0.35,1100,0.17,1891,-0.91,4511
95GG220011,Falls Park_3,,26.87,1480,3,0.3,1378,0.22,1070,-0.91,4527
95GG220012,Falls Park_2,,30.56,1176,3,0.27,1622,0.27,580,-1.16,4814
95GG220013,Falls Park_3,,14.94,2954,6,0.18,2524,0.16,2122,-0.93,4563
95GG220014,Falls Park_2,,21.47,2090,5,0.24,1903,0.2,1390,-0.94,4579
95GG220015,Falls Park_2,,27.98,1398,3,0.28,1521,0.24,846,-0.99,4640
95GG220016,Falls Park_2,,13.68,3120,7,0.19,2389,0.14,2651,-0.72,4206
95GG220017,Falls Park_2,,23.42,1873,4,0.29,1457,0.19,1491,-0.83,4417
95GG230001,Finaghy_3,,11.65,3408,7,0.15,2849,0.12,3078,-0.31,3211
95GG230002,Finaghy_2,,11.92,3357,7,0.13,3108,0.14,2604,-0.47,3651
95GG230003,Finaghy_2,,2.27,4961,10,0.03,4740,0.05,4833,-0.41,3498
95GG230004,Finaghy_2,,10.63,3555,8,0.14,3022,0.13,2983,-0.59,3933
95GG230005,Finaghy_2,,6.51,4287,9,0.14,3018,0.07,4557,-0.65,4078
95GG230006,Finaghy_2,,4,4749,10,0.03,4844,0.09,4123,-0.28,3123
95GG230007,Finaghy_3,,5.41,4492,9,0.05,4379,0.1,3652,-0.51,3753
95GG230008,Finaghy_1,,7.6,4091,9,0.06,4114,0.12,3242,-0.34,3299
95GG230009,Finaghy_3,,7.06,4194,9,0.06,4096,0.11,3530,-0.28,3110
95GG230010,Finaghy_1,,3.75,4787,10,0.02,4921,0.05,4887,0.07,2081
95GG230011,Finaghy_3,,7.69,4073,9,0.07,4031,0.11,3597,-0.11,2609
95GG230012,Finaghy_1,,3.97,4753,10,0.03,4667,0.06,4782,-0.03,2374
95GG230013,Finaghy_1,,7.24,4164,9,0.07,4068,0.1,3686,-0.14,2706
95GG230014,Finaghy_3,,6.39,4310,9,0.09,3672,0.07,4646,-0.06,2446
95GG230015,Finaghy_1,,8.64,3877,8,0.1,3575,0.1,3682,-0.1,2584
95GG240001,Fortwilliam_1,,9.31,3780,8,0.12,3225,0.13,3033,-0.93,4554
95GG240002,Fortwilliam_3,,30.22,1209,3,0.34,1169,0.23,935,-0.54,3826
95GG240003,Fortwilliam_3,,15.95,2815,6,0.17,2608,0.17,1972,-0.55,3853
95GG240004,Fortwilliam_1,,4.39,4679,10,0.06,4185,0.09,4102,-0.67,4120
95GG240005,Fortwilliam_1,,47.84,389,1,0.44,637,0.34,196,-0.95,4584
95GG240006,Fortwilliam_3,,17.21,2641,6,0.23,1971,0.16,2217,-0.68,4130
95GG240007,Fortwilliam_2,,16.93,2670,6,0.15,2783,0.19,1624,-0.64,4072
95GG240008,Fortwilliam_2,,10.36,3604,8,0.16,2658,0.11,3404,-0.71,4186
95GG240009,Fortwilliam_2,,25.24,1665,4,0.29,1442,0.2,1314,-0.53,3800
95GG240010,Fortwilliam_2,,11.12,3479,7,0.13,3085,0.14,2750,-0.62,4015
95GG240011,Fortwilliam_1,,15.42,2885,6,0.19,2308,0.16,2254,-0.78,4320
95GG240012,Fortwilliam_2,,30.18,1211,3,0.4,793,0.2,1296,-0.85,4445
95GG240013,Fortwilliam_2,,10.59,3560,8,0.12,3200,0.14,2792,-0.64,4063
95GG240014,Fortwilliam_3,,7.62,4086,9,0.12,3188,0.09,4173,-0.34,3300
95GG240015,Fortwilliam_3,,5,4559,10,0.08,3818,0.07,4511,-0.41,3468
95GG240016,Fortwilliam_1,,7.97,4009,8,0.11,3437,0.11,3468,-0.6,3968
95GG250001,Glen Road_2,,47.45,402,1,0.57,278,0.27,528,-0.56,3888
95GG250002,Glen Road_1,,55.79,216,1,0.65,131,0.3,390,-0.41,3469
95GG250003,Glen Road_1,,50.46,327,1,0.39,890,0.38,102,-0.32,3250
95GG250004,Glen Road_1,,46.15,439,1,0.44,649,0.31,297,-0.23,2982
95GG250005,Glen Road_1,,23.63,1848,4,0.2,2262,0.22,1054,-0.33,3279
95GG250006,Glen Road_1,,22.05,2028,5,0.24,1831,0.2,1454,-0.55,3860
95GG250007,Glen Road_2,,14.88,2959,6,0.2,2263,0.14,2645,-0.42,3519
95GG250008,Glen Road_1,,45.14,470,1,0.43,659,0.31,302,-0.46,3641
95GG250009,Glen Road_3,,44.9,474,1,0.45,597,0.3,382,-0.22,2940
95GG250010,Glen Road_3,,53.06,266,1,0.53,364,0.33,249,-0.07,2499
95GG250011,Glen Road_2,,37.47,761,2,0.43,690,0.25,707,-0.52,3769
95GG250012,Glen Road_3,,46.21,438,1,0.52,389,0.28,497,-0.25,3028
95GG250013,Glen Road_2,,46.07,441,1,0.43,693,0.32,255,-0.44,3582
95GG250014,Glen Road_2,,39.56,674,2,0.42,727,0.27,544,-0.41,3501
95GG250015,Glen Road_3,,48.31,377,1,0.52,388,0.3,378,-0.31,3203
95GG250016,Glen Road_3,,14.87,2961,6,0.17,2542,0.15,2385,-0.38,3418
95GG250017,Glen Road_2,,83.13,4,1,0.98,7,0.73,4,-0.55,3859
95GG260001,Glencairn_2,,24.14,1787,4,0.26,1652,0.2,1281,-0.56,3883
95GG260002,Glencairn_1,,25.62,1620,4,0.25,1773,0.22,1086,-0.33,3281
95GG260003,Glencairn_2,,36.15,825,2,0.31,1317,0.29,409,-0.6,3972
95GG260004,Glencairn_2,,17.34,2628,6,0.27,1607,0.14,2780,-0.51,3764
95GG260005,Glencairn_1,,15.37,2891,6,0.12,3272,0.17,1934,-0.13,2673
95GG260006,Glencairn_1,,64.8,92,1,0.64,147,0.37,130,0.01,2242
95GG260007,Glencairn_1,,62.29,115,1,0.61,188,0.37,136,-0.1,2580
95GG260008,Glencairn_1,,59.5,150,1,0.55,305,0.38,112,-0.19,2842
95GG260009,Glencairn_1,,54.51,235,1,0.57,285,0.33,244,-0.23,2980
95GG260010,Glencairn_2,,53.76,248,1,0.55,297,0.32,283,-0.06,2460
95GG260011,Glencairn_2,,33.65,970,2,0.35,1108,0.24,787,-0.12,2622
95GG260012,Glencairn_1,,56.55,202,1,0.52,381,0.36,155,0.02,2212
95GG260013,Glencairn_2,,24.09,1790,4,0.25,1787,0.21,1220,-0.46,3649
95GG260014,Glencairn_2,,26.25,1549,4,0.22,2030,0.24,808,-0.63,4030
95GG270001,Glencolin_3,,33.81,959,2,0.36,1007,0.25,782,-0.31,3216
95GG270002,Glencolin_3,,21.97,2035,5,0.23,1994,0.2,1443,-0.32,3254
95GG270003,Glencolin_2,,23.86,1820,4,0.29,1458,0.18,1855,-0.01,2288
95GG270004,Glencolin_2,,55.39,219,1,0.43,685,0.4,87,0.09,2055
95GG270005,Glencolin_2,,41.09,606,2,0.5,434,0.22,1114,0.44,1386
95GG270006,Glencolin_4,,55.67,217,1,0.58,238,0.32,260,-0.17,2777
95GG270007,Glencolin_3,,47.89,385,1,0.49,457,0.3,349,-0.23,2964
95GG270008,Glencolin_3,,72.29,48,1,0.73,66,0.41,70,-0.13,2682
95GG270009,Glencolin_3,,33.57,977,2,0.42,720,0.21,1175,-0.2,2866
95GG270010,Glencolin_1,,31.92,1082,3,0.39,846,0.19,1555,0.35,1526
95GG270011,Glencolin_1,,15.1,2939,6,0.13,3167,0.14,2531,0.31,1587
95GG270012,Glencolin_1,,14.93,2955,6,0.16,2667,0.12,3107,0.35,1527
95GG270013,Glencolin_1,,28.89,1322,3,0.34,1160,0.2,1428,0.11,1985
95GG270014,Glencolin_4,,56.98,194,1,0.6,215,0.32,263,-0.02,2342
95GG270015,Glencolin_4,,57.14,190,1,0.51,428,0.38,109,-0.13,2672
95GG270016,Glencolin_4,,49.76,342,1,0.54,339,0.3,383,-0.18,2828
95GG270017,Glencolin_2,,53.53,256,1,0.44,609,0.37,133,0.01,2258
95GG270018,Glencolin_4,,36.63,803,2,0.4,798,0.25,742,-0.24,2985
95GG270019,Glencolin_2,,52.46,285,1,0.54,329,0.31,303,-0.05,2429
95GG280001,Highfield_1,,10.64,3550,8,0.06,4214,0.14,2543,-0.08,2529
95GG280002,Highfield_3,,45.2,466,1,0.53,366,0.26,598,-0.23,2970
95GG280003,Highfield_2,,43.85,505,2,0.52,391,0.26,630,-0.33,3263
95GG280004,Highfield_2,,32.94,1020,3,0.34,1171,0.25,712,-0.42,3517
95GG280005,Highfield_2,,45.95,444,1,0.42,694,0.32,272,-0.32,3233
95GG280006,Highfield_1,,33.21,999,2,0.36,1056,0.24,838,-0.2,2857
95GG280007,Highfield_3,,57.71,178,1,0.57,277,0.36,158,-0.28,3106
95GG280008,Highfield_3,,42.9,537,2,0.51,418,0.26,668,-0.3,3168
95GG280009,Highfield_3,,57.43,184,1,0.61,179,0.32,261,-0.24,3001
95GG280010,Highfield_3,,38.42,723,2,0.49,459,0.22,1023,-0.27,3094
95GG280011,Highfield_3,,29.83,1231,3,0.25,1821,0.26,670,-0.29,3148
95GG280012,Highfield_1,,7.91,4023,9,0.07,4060,0.1,3891,0.12,1980
95GG280013,Highfield_1,,8.95,3833,8,0.08,3782,0.11,3424,-0.07,2480
95GG280014,Highfield_2,,16.09,2795,6,0.11,3425,0.19,1659,-0.2,2872
95GG280015,Highfield_1,,14.17,3060,7,0.1,3514,0.16,2165,-0.01,2324
95GG280016,Highfield_2,,21.21,2120,5,0.19,2392,0.21,1194,-0.62,4025
95GG280017,Highfield_2,,12.41,3284,7,0.07,3976,0.16,2090,-0.23,2979
95GG290001,Island_1,,22.17,2014,5,0.22,2069,0.21,1218,-0.75,4262
95GG290002,Island_1,,31.4,1111,3,0.36,1059,0.23,892,-0.6,3961
95GG290003,Island_1,,43.44,521,2,0.28,1504,0.35,183,0.04,2153
95GG290004,Island_1,,7.53,4101,9,0.15,2885,0.08,4286,-0.64,4058
95GG290005,Island_1,,16.48,2729,6,0.24,1867,0.14,2610,-0.54,3822
95GG290006,Island_2,,16.41,2741,6,0.26,1663,0.14,2799,-0.79,4353
95GG290007,Island_1,,61.35,133,1,0.65,129,0.35,179,-0.61,3986
95GG290008,Island_2,,18.87,2431,5,0.27,1626,0.16,2179,-0.86,4457
95GG290009,Island_2,,30.89,1152,3,0.36,1048,0.23,915,-0.81,4385
95GG290010,Island_2,,29.26,1287,3,0.38,944,0.21,1228,-0.76,4279
95GG290011,Island_1,,64,97,1,0.67,115,0.37,131,-0.7,4175
95GG290012,Island_2,,17.83,2565,6,0.24,1905,0.16,2093,-0.82,4401
95GG290013,Island_1,,67.05,75,1,0.62,176,0.47,40,-0.78,4331
95GG290014,Island_2,,17.19,2644,6,0.21,2141,0.17,1939,-1.05,4712
95GG290015,Island_2,,32.06,1074,3,0.35,1063,0.24,791,-0.81,4377
95GG290016,Island_2,,26.82,1484,3,0.37,972,0.19,1521,-0.91,4532
95GG290017,Island_2,,30.88,1154,3,0.4,794,0.21,1203,-0.83,4410
95GG300001,Knock_3,,10.23,3626,8,0.07,3967,0.15,2509,-0.37,3399
95GG300002,Knock_1,,17.63,2590,6,0.2,2220,0.15,2343,-0.04,2396
95GG300003,Knock_1,,22.97,1923,4,0.22,2027,0.2,1352,-0.18,2810
95GG300004,Knock_1,,25.57,1631,4,0.3,1432,0.19,1560,-0.01,2322
95GG300005,Knock_2,,3.04,4888,10,0.04,4524,0.08,4414,-0.62,4027
95GG300006,Knock_2,,2.07,4980,10,0.03,4662,0.06,4777,-0.6,3970
95GG300007,Knock_2,,3.26,4859,10,0.05,4386,0.05,4934,-0.28,3104
95GG300008,Knock_3,,6.65,4270,9,0.06,4117,0.11,3373,-0.54,3843
95GG300009,Knock_3,,6.01,4375,9,0.04,4543,0.12,3320,-0.48,3695
95GG300010,Knock_2,,4.03,4742,10,0.04,4500,0.08,4260,-0.39,3432
95GG300011,Knock_3,,6.75,4250,9,0.07,3935,0.1,3759,-0.3,3192
95GG300012,Knock_2,,7.42,4129,9,0.07,3938,0.12,3299,-0.48,3702
95GG300013,Knock_3,,6.33,4325,9,0.04,4567,0.12,3313,-0.36,3365
95GG300014,Knock_1,,3.87,4768,10,0.04,4506,0.06,4669,-0.18,2829
95GG300015,Knock_1,,4.4,4676,10,0.04,4532,0.08,4387,-0.19,2838
95GG300016,Knock_1,,45.75,446,1,0.47,509,0.29,411,-0.2,2876
95GG300017,Knock_1,,45.5,454,1,0.34,1150,0.35,173,-0.13,2660
95GG310001,Ladybrook_1,,24.29,1766,4,0.31,1320,0.19,1652,-0.41,3473
95GG310002,Ladybrook_2,,47.2,405,1,0.46,568,0.31,290,-0.31,3219
95GG310003,Ladybrook_2,,20.09,2266,5,0.24,1850,0.17,1970,-0.24,3002
95GG310004,Ladybrook_2,,56.53,203,1,0.57,270,0.34,191,-0.29,3149
95GG310005,Ladybrook_2,,24.68,1737,4,0.27,1609,0.2,1413,-0.18,2825
95GG310006,Ladybrook_1,,21.31,2109,5,0.26,1676,0.18,1839,-0.34,3288
95GG310007,Ladybrook_3,,52.75,276,1,0.68,112,0.26,674,-0.22,2930
95GG310008,Ladybrook_3,,55.88,209,1,0.54,340,0.36,154,-0.39,3441
95GG310009,Ladybrook_3,,25.53,1633,4,0.24,1893,0.23,973,-0.5,3726
95GG310010,Ladybrook_3,,17.73,2578,6,0.21,2193,0.17,1989,-0.45,3613
95GG310011,Ladybrook_2,,18.92,2421,5,0.19,2393,0.19,1586,-0.48,3699
95GG310012,Ladybrook_3,,46.99,411,1,0.55,298,0.27,564,-0.33,3276
95GG310013,Ladybrook_3,,41.66,583,2,0.48,489,0.25,676,-0.25,3023
95GG310014,Ladybrook_1,,9.88,3681,8,0.12,3247,0.13,3036,-0.54,3841
95GG310015,Ladybrook_2,,16.95,2668,6,0.17,2601,0.18,1832,-0.44,3564
95GG310016,Ladybrook_1,,21.76,2060,5,0.2,2272,0.21,1172,-0.68,4131
95GG310017,Ladybrook_1,,16.75,2693,6,0.14,3032,0.19,1641,-0.36,3367
95GG320001,Legoniel_3,,15.19,2922,6,0.18,2498,0.15,2335,-0.4,3454
95GG320002,Legoniel_3,,8.47,3918,8,0.07,3947,0.12,3091,-0.33,3270
95GG320003,Legoniel_3,,23.94,1812,4,0.22,2107,0.22,1018,-0.58,3921
95GG320004,Legoniel_1,,44.74,477,1,0.46,560,0.28,489,0.09,2047
95GG320005,Legoniel_1,,44.57,484,1,0.46,561,0.27,541,0.26,1693
95GG320006,Legoniel_1,,16.9,2676,6,0.14,3004,0.16,2198,0.31,1594
95GG320007,Legoniel_2,,41.05,609,2,0.44,639,0.26,619,-0.02,2357
95GG320008,Legoniel_1,,58.53,164,1,0.62,170,0.32,280,0.06,2128
95GG320009,Legoniel_1,,56.19,207,1,0.51,414,0.36,149,0.03,2181
95GG320010,Legoniel_2,,24.76,1723,4,0.2,2207,0.23,961,-0.32,3224
95GG320011,Legoniel_2,,36.02,831,2,0.26,1728,0.3,336,-0.32,3241
95GG320012,Legoniel_1,,38.55,718,2,0.37,999,0.29,437,-0.43,3537
95GG320013,Legoniel_2,,24.47,1756,4,0.23,1964,0.22,1090,-0.39,3430
95GG320014,Legoniel_2,,22.36,1992,4,0.28,1535,0.18,1746,-0.42,3504
95GG320015,Legoniel_3,,33.38,985,2,0.43,674,0.21,1214,-0.32,3256
95GG320016,Legoniel_2,,29.02,1308,3,0.24,1840,0.25,677,-0.49,3720
95GG320017,Legoniel_3,,27.4,1442,3,0.21,2163,0.25,722,-0.34,3304
95GG320018,Legoniel_3,,10.49,3575,8,0.09,3753,0.14,2622,-0.33,3272
95GG330001,Malone_2,,2.39,4949,10,0.06,4276,0.04,4989,-0.64,4061
95GG330002,Malone_2,,4.14,4723,10,0.08,3800,0.08,4360,-1.15,4807
95GG330003,Malone_1,,4.26,4705,10,0.07,3936,0.08,4294,-0.84,4428
95GG330004,Malone_2,,2.48,4944,10,0.03,4829,0.07,4591,-0.45,3594
95GG330005,Malone_1,,3.33,4852,10,0.03,4665,0.07,4649,-0.25,3031
95GG330006,Malone_3,,2.16,4972,10,0.03,4698,0.07,4639,-0.66,4093
95GG330007,Malone_1,,2.28,4959,10,0.02,4954,0.06,4708,-0.35,3336
95GG330008,Malone_2,,3.87,4770,10,0.04,4651,0.07,4504,-0.2,2865
95GG330009,Malone_2,,3.24,4862,10,0.02,4958,0.07,4496,-0.21,2897
95GG330010,Malone_1,,2.6,4930,10,0.01,4990,0.05,4921,-0.14,2692
95GG330011,Malone_1,,3.36,4844,10,0.03,4686,0.06,4762,-0.17,2793
95GG330012,Malone_3,,10.08,3657,8,0.16,2766,0.12,3213,-1.05,4716
95GG330013,Malone_3,,0.86,5017,10,0.03,4819,0.04,4960,-0.94,4574
95GG330014,Malone_3,,6,4379,9,0.06,4224,0.11,3405,-0.71,4184
95GG330015,Malone_3,,5.54,4473,9,0.13,3053,0.07,4661,-1.21,4851
95GG330016,Malone_3,,0.41,5022,10,0.02,4943,0.04,5004,-1.07,4738
95GG330017,Malone_3,,1.47,5005,10,0.04,4592,0.05,4871,-0.96,4597
95GG340001,Musgrave_3,,5.07,4548,10,0.09,3639,0.06,4746,-0.37,3381
95GG340002,Musgrave_2,,9.12,3807,8,0.1,3475,0.12,3290,-0.32,3238
95GG340003,Musgrave_3,,15.56,2872,6,0.15,2919,0.17,1993,-0.29,3140
95GG340004,Musgrave_2,,12.48,3275,7,0.13,3154,0.15,2435,-0.44,3579
95GG340005,Musgrave_2,,12.11,3324,7,0.14,2975,0.13,2907,-0.22,2939
95GG340006,Musgrave_3,,6.27,4331,9,0.06,4141,0.1,3850,-0.24,3004
95GG340007,Musgrave_3,,2.24,4965,10,0.03,4768,0.05,4864,-0.39,3425
95GG340008,Musgrave_3,,7.96,4012,8,0.13,3170,0.1,3866,-0.49,3709
95GG340009,Musgrave_2,,9.34,3777,8,0.09,3646,0.12,3207,-0.21,2884
95GG340010,Musgrave_1,,13.11,3192,7,0.18,2488,0.13,2978,-0.34,3310
95GG340011,Musgrave_1,,24.92,1703,4,0.28,1558,0.21,1254,-0.54,3842
95GG340012,Musgrave_1,,20.6,2205,5,0.25,1790,0.18,1671,-0.75,4270
95GG340013,Musgrave_1,,26.71,1500,3,0.27,1603,0.22,1082,-0.3,3177
95GG340014,Musgrave_1,,27.61,1427,3,0.36,1052,0.2,1408,-0.47,3675
95GG340015,Musgrave_3,,10.55,3566,8,0.18,2458,0.1,3808,-0.46,3643
95GG340016,Musgrave_2,,10.14,3646,8,0.12,3284,0.12,3227,-0.24,2984
95GG350001,New Lodge_1,,50.8,318,1,0.6,200,0.29,426,-1.47,4985
95GG350002,New Lodge_2,,43.45,520,2,0.54,319,0.26,665,-1.41,4967
95GG350003,New Lodge_1,,54.57,234,1,0.54,330,0.36,159,-1.28,4903
95GG350004,New Lodge_1,,66.11,82,1,0.87,25,0.33,233,-1.14,4803
95GG350005,New Lodge_1,,59.35,153,1,0.66,117,0.33,234,-1.09,4756
95GG350006,New Lodge_3,,41.77,580,2,0.48,482,0.27,553,-1.17,4826
95GG350007,New Lodge_3,,72.51,44,1,0.84,34,0.41,74,-1.15,4804
95GG350008,New Lodge_3,,35.12,886,2,0.49,467,0.21,1197,-1.29,4906
95GG350009,New Lodge_2,,57.57,181,1,0.61,195,0.35,184,-1.26,4895
95GG350010,New Lodge_2,,54.16,241,1,0.6,206,0.32,275,-1.32,4922
