area,persons_not_stated,persons_other_denoms,persons_total,males_not_stated,males_other_denoms,males_total,females_not_stated,females_other_denoms,females_total
NORTHERN IRELAND,274584,112822,387406,137777,54935,192712,136807,57887,194694
Belfast,60672,21381,82053,29667,10049,39716,31005,11332,42337
