SA2011,lgd1993
N00003870,NEWRY and MOURNE
N00003869,NEWRY and MOURNE
N00003864,NEWRY and MOURNE
N00003873,NEWRY and MOURNE
N00003866,NEWRY and MOURNE
N00003865,NEWRY and MOURNE
N00003769,NEWRY and MOURNE
N00003774,NEWRY and MOURNE
N00003736,NEWRY and MOURNE
N00003734,NEWRY and MOURNE
N00003735,NEWRY and MOURNE
N00003738,NEWRY and MOURNE
N00003772,NEWRY and MOURNE
N00003773,NEWRY and MOURNE
N00003863,NEWRY and MOURNE
N00003741,NEWRY and MOURNE
N00003872,NEWRY and MOURNE
N00003779,NEWRY and MOURNE
N00003681,NEWRY and MOURNE
N00003778,NEWRY and MOURNE
N00003682,NEWRY and MOURNE
N00003679,NEWRY and MOURNE
N00003678,NEWRY and MOURNE
N00003739,NEWRY and MOURNE
N00003742,NEWRY and MOURNE
N00003737,NEWRY and MOURNE
N00003740,NEWRY and MOURNE
N00003756,NEWRY and MOURNE
N00003754,NEWRY and MOURNE
N00003755,NEWRY and MOURNE
N00003786,NEWRY and MOURNE
N00003775,NEWRY and MOURNE
N00003770,NEWRY and MOURNE
N00003771,NEWRY and MOURNE
N00003768,NEWRY and MOURNE
N00003788,NEWRY and MOURNE
N00003787,NEWRY and MOURNE
N00003710,NEWRY and MOURNE
N00003708,NEWRY and MOURNE
N00003707,NEWRY and MOURNE
N00003853,NEWRY and MOURNE
N00003711,NEWRY and MOURNE
N00003792,NEWRY and MOURNE
N00003791,NEWRY and MOURNE
N00003798,NEWRY and MOURNE
N00003795,NEWRY and MOURNE
N00003796,NEWRY and MOURNE
N00003797,NEWRY and MOURNE
N00003794,NEWRY and MOURNE
N00003793,NEWRY and MOURNE
N00003849,NEWRY and MOURNE
N00003850,NEWRY and MOURNE
N00003723,NEWRY and MOURNE
N00003726,NEWRY and MOURNE
N00003725,NEWRY and MOURNE
N00003721,NEWRY and MOURNE
N00003722,NEWRY and MOURNE
N00003731,NEWRY and MOURNE
N00003732,NEWRY and MOURNE
N00003733,NEWRY and MOURNE
N00003729,NEWRY and MOURNE
N00003730,NEWRY and MOURNE
N00003728,NEWRY and MOURNE
N00003828,NEWRY and MOURNE
N00003830,NEWRY and MOURNE
N00003724,NEWRY and MOURNE
N00003727,NEWRY and MOURNE
N00003854,NEWRY and MOURNE
N00003851,NEWRY and MOURNE
N00003855,NEWRY and MOURNE
N00003852,NEWRY and MOURNE
N00003856,NEWRY and MOURNE
N00003706,NEWRY and MOURNE
N00003829,NEWRY and MOURNE
N00003875,NEWRY and MOURNE
N00000453,ARMAGH
N00000431,ARMAGH
N00000407,ARMAGH
N00000363,ARMAGH
N00003832,NEWRY and MOURNE
N00003831,NEWRY and MOURNE
N00003833,NEWRY and MOURNE
N00000364,ARMAGH
N00000365,ARMAGH
N00000382,ARMAGH
N00000380,ARMAGH
N00000384,ARMAGH
N00000383,ARMAGH
N00000385,ARMAGH
N00000402,ARMAGH
N00000400,ARMAGH
N00000405,ARMAGH
N00000404,ARMAGH
N00000403,ARMAGH
N00000401,ARMAGH
N00000381,ARMAGH
N00000360,ARMAGH
N00000362,ARMAGH
N00000438,ARMAGH
N00000361,ARMAGH
N00000440,ARMAGH
N00000439,ARMAGH
N00000416,ARMAGH
N00000415,ARMAGH
N00000441,ARMAGH
N00000442,ARMAGH
N00000437,ARMAGH
N00000373,ARMAGH
N00000374,ARMAGH
N00000389,ARMAGH
N00000386,ARMAGH
N00000388,ARMAGH
N00000375,ARMAGH
N00000377,ARMAGH
N00000472,ARMAGH
N00000376,ARMAGH
N00000471,ARMAGH
N00000409,ARMAGH
N00000378,ARMAGH
N00000379,ARMAGH
N00000372,ARMAGH
N00000410,ARMAGH
N00000390,ARMAGH
N00000408,ARMAGH
N00000406,ARMAGH
N00000434,ARMAGH
N00000433,ARMAGH
N00000435,ARMAGH
N00000436,ARMAGH
N00000430,ARMAGH
N00000391,ARMAGH
N00000432,ARMAGH
N00000450,ARMAGH
N00000454,ARMAGH
N00000463,ARMAGH
N00000799,BANBRIDGE
N00000728,BANBRIDGE
N00000794,BANBRIDGE
N00000796,BANBRIDGE
N00000797,BANBRIDGE
N00000795,BANBRIDGE
N00000798,BANBRIDGE
N00000451,ARMAGH
N00000449,ARMAGH
N00000452,ARMAGH
N00003879,NEWRY and MOURNE
N00003874,NEWRY and MOURNE
N00003878,NEWRY and MOURNE
N00003876,NEWRY and MOURNE
N00003688,NEWRY and MOURNE
N00003683,NEWRY and MOURNE
N00003709,NEWRY and MOURNE
N00003705,NEWRY and MOURNE
N00003686,NEWRY and MOURNE
N00003685,NEWRY and MOURNE
N00003684,NEWRY and MOURNE
N00003753,NEWRY and MOURNE
N00003759,NEWRY and MOURNE
N00003689,NEWRY and MOURNE
N00003687,NEWRY and MOURNE
N00003877,NEWRY and MOURNE
N00003758,NEWRY and MOURNE
N00003757,NEWRY and MOURNE
N00003760,NEWRY and MOURNE
N00003677,NEWRY and MOURNE
N00003676,NEWRY and MOURNE
N00003781,NEWRY and MOURNE
N00003780,NEWRY and MOURNE
N00003680,NEWRY and MOURNE
N00003777,NEWRY and MOURNE
N00003783,NEWRY and MOURNE
N00003776,NEWRY and MOURNE
N00003884,NEWRY and MOURNE
N00003886,NEWRY and MOURNE
N00003885,NEWRY and MOURNE
N00003782,NEWRY and MOURNE
N00003751,NEWRY and MOURNE
N00003750,NEWRY and MOURNE
N00003882,NEWRY and MOURNE
N00003881,NEWRY and MOURNE
N00003749,NEWRY and MOURNE
N00003748,NEWRY and MOURNE
N00003765,NEWRY and MOURNE
N00003880,NEWRY and MOURNE
N00003767,NEWRY and MOURNE
N00003766,NEWRY and MOURNE
N00003763,NEWRY and MOURNE
N00003762,NEWRY and MOURNE
N00003823,NEWRY and MOURNE
N00003761,NEWRY and MOURNE
N00003764,NEWRY and MOURNE
N00003824,NEWRY and MOURNE
N00003827,NEWRY and MOURNE
N00003857,NEWRY and MOURNE
N00003859,NEWRY and MOURNE
N00003862,NEWRY and MOURNE
N00000809,BANBRIDGE
N00000810,BANBRIDGE
N00000812,BANBRIDGE
N00000807,BANBRIDGE
N00000811,BANBRIDGE
N00000808,BANBRIDGE
N00000806,BANBRIDGE
N00000787,BANBRIDGE
N00000783,BANBRIDGE
N00000740,BANBRIDGE
N00000739,BANBRIDGE
N00000718,BANBRIDGE
N00000770,BANBRIDGE
N00000769,BANBRIDGE
N00000730,BANBRIDGE
N00000767,BANBRIDGE
N00000729,BANBRIDGE
N00000734,BANBRIDGE
N00000771,BANBRIDGE
N00000768,BANBRIDGE
N00000737,BANBRIDGE
N00000736,BANBRIDGE
N00000738,BANBRIDGE
N00000804,BANBRIDGE
N00000735,BANBRIDGE
N00000720,BANBRIDGE
N00000716,BANBRIDGE
N00000719,BANBRIDGE
N00000715,BANBRIDGE
N00000823,BANBRIDGE
N00000821,BANBRIDGE
N00000824,BANBRIDGE
N00000717,BANBRIDGE
N00000820,BANBRIDGE
N00000819,BANBRIDGE
N00000766,BANBRIDGE
N00000727,BANBRIDGE
N00000733,BANBRIDGE
N00000732,BANBRIDGE
N00000731,BANBRIDGE
N00000758,BANBRIDGE
N00000759,BANBRIDGE
N00000763,BANBRIDGE
N00000761,BANBRIDGE
N00000765,BANBRIDGE
N00000762,BANBRIDGE
N00000822,BANBRIDGE
N00000817,BANBRIDGE
N00000816,BANBRIDGE
N00000760,BANBRIDGE
N00000814,BANBRIDGE
N00000818,BANBRIDGE
N00000815,BANBRIDGE
N00000813,BANBRIDGE
N00000805,BANBRIDGE
N00000792,BANBRIDGE
N00002261,CRAIGAVON
N00002258,CRAIGAVON
N00002259,CRAIGAVON
N00002257,CRAIGAVON
N00002260,CRAIGAVON
N00000801,BANBRIDGE
N00000803,BANBRIDGE
N00000802,BANBRIDGE
N00000756,BANBRIDGE
N00000754,BANBRIDGE
N00000755,BANBRIDGE
N00000749,BANBRIDGE
N00000757,BANBRIDGE
N00000751,BANBRIDGE
N00000748,BANBRIDGE
N00000752,BANBRIDGE
N00000750,BANBRIDGE
N00000746,BANBRIDGE
N00000747,BANBRIDGE
N00000742,BANBRIDGE
N00000743,BANBRIDGE
N00000744,BANBRIDGE
N00000745,BANBRIDGE
N00000741,BANBRIDGE
N00000800,BANBRIDGE
N00003448,LISBURN
N00003449,LISBURN
N00003393,LISBURN
N00003463,LISBURN
N00003469,LISBURN
N00003444,LISBURN
N00003452,LISBURN
N00003451,LISBURN
N00003443,LISBURN
N00003447,LISBURN
N00003446,LISBURN
N00003450,LISBURN
N00003481,LISBURN
N00003482,LISBURN
N00003478,LISBURN
N00003479,LISBURN
N00003474,LISBURN
N00003477,LISBURN
N00003480,LISBURN
N00003476,LISBURN
N00002172,CRAIGAVON
N00002173,CRAIGAVON
N00002332,CRAIGAVON
N00002333,CRAIGAVON
N00002330,CRAIGAVON
N00002326,CRAIGAVON
N00002334,CRAIGAVON
N00002335,CRAIGAVON
N00003475,LISBURN
N00002262,CRAIGAVON
N00002263,CRAIGAVON
N00002377,CRAIGAVON
N00002381,CRAIGAVON
N00002378,CRAIGAVON
N00002384,CRAIGAVON
N00002385,CRAIGAVON
N00002383,CRAIGAVON
N00002382,CRAIGAVON
N00002379,CRAIGAVON
N00002376,CRAIGAVON
N00002207,CRAIGAVON
N00002265,CRAIGAVON
N00002264,CRAIGAVON
N00002267,CRAIGAVON
N00002278,CRAIGAVON
N00002279,CRAIGAVON
N00002268,CRAIGAVON
N00002380,CRAIGAVON
N00002341,CRAIGAVON
N00002336,CRAIGAVON
N00002228,CRAIGAVON
N00002225,CRAIGAVON
N00002343,CRAIGAVON
N00002339,CRAIGAVON
N00002337,CRAIGAVON
N00002342,CRAIGAVON
N00002355,CRAIGAVON
N00002353,CRAIGAVON
N00002269,CRAIGAVON
N00002266,CRAIGAVON
N00002272,CRAIGAVON
N00002271,CRAIGAVON
N00002277,CRAIGAVON
N00002356,CRAIGAVON
N00002274,CRAIGAVON
N00002354,CRAIGAVON
N00002270,CRAIGAVON
N00002242,CRAIGAVON
N00002244,CRAIGAVON
N00002357,CRAIGAVON
N00002358,CRAIGAVON
N00002359,CRAIGAVON
N00002245,CRAIGAVON
N00002240,CRAIGAVON
N00002241,CRAIGAVON
N00002224,CRAIGAVON
N00002243,CRAIGAVON
N00002236,CRAIGAVON
N00002238,CRAIGAVON
N00002239,CRAIGAVON
N00002237,CRAIGAVON
N00002344,CRAIGAVON
N00002345,CRAIGAVON
N00002352,CRAIGAVON
N00002347,CRAIGAVON
N00002349,CRAIGAVON
N00002348,CRAIGAVON
N00002346,CRAIGAVON
N00002223,CRAIGAVON
N00002222,CRAIGAVON
N00002226,CRAIGAVON
N00002227,CRAIGAVON
N00002320,CRAIGAVON
N00002318,CRAIGAVON
N00002221,CRAIGAVON
N00002338,CRAIGAVON
N00002340,CRAIGAVON
N00002319,CRAIGAVON
N00002323,CRAIGAVON
N00002322,CRAIGAVON
N00002324,CRAIGAVON
N00002317,CRAIGAVON
N00002321,CRAIGAVON
N00002350,CRAIGAVON
N00002325,CRAIGAVON
N00002327,CRAIGAVON
N00002328,CRAIGAVON
N00002329,CRAIGAVON
N00002331,CRAIGAVON
N00002386,CRAIGAVON
N00002282,CRAIGAVON
N00002283,CRAIGAVON
N00002284,CRAIGAVON
N00002288,CRAIGAVON
N00002392,CRAIGAVON
N00002287,CRAIGAVON
N00002286,CRAIGAVON
N00002281,CRAIGAVON
N00002351,CRAIGAVON
N00002285,CRAIGAVON
N00002171,CRAIGAVON
N00002175,CRAIGAVON
N00002176,CRAIGAVON
N00002391,CRAIGAVON
N00002395,CRAIGAVON
N00002393,CRAIGAVON
N00002394,CRAIGAVON
N00002389,CRAIGAVON
N00002387,CRAIGAVON
N00002390,CRAIGAVON
N00002388,CRAIGAVON
N00002251,CRAIGAVON
N00002249,CRAIGAVON
N00002250,CRAIGAVON
N00002247,CRAIGAVON
N00002246,CRAIGAVON
N00002254,CRAIGAVON
N00002253,CRAIGAVON
N00002307,CRAIGAVON
N00002303,CRAIGAVON
N00002248,CRAIGAVON
N00002273,CRAIGAVON
N00002275,CRAIGAVON
N00002276,CRAIGAVON
N00002305,CRAIGAVON
N00002301,CRAIGAVON
N00002306,CRAIGAVON
N00002304,CRAIGAVON
N00002280,CRAIGAVON
N00002300,CRAIGAVON
N00002313,CRAIGAVON
N00002315,CRAIGAVON
N00002314,CRAIGAVON
N00002292,CRAIGAVON
N00002291,CRAIGAVON
N00002299,CRAIGAVON
N00002298,CRAIGAVON
N00002197,CRAIGAVON
N00002200,CRAIGAVON
N00002230,CRAIGAVON
N00002198,CRAIGAVON
N00002201,CRAIGAVON
N00002199,CRAIGAVON
N00002231,CRAIGAVON
N00002229,CRAIGAVON
N00002235,CRAIGAVON
N00002233,CRAIGAVON
N00002232,CRAIGAVON
N00002188,CRAIGAVON
N00002191,CRAIGAVON
N00002362,CRAIGAVON
N00002363,CRAIGAVON
N00002193,CRAIGAVON
N00002216,CRAIGAVON
N00002361,CRAIGAVON
N00002215,CRAIGAVON
N00002365,CRAIGAVON
N00002364,CRAIGAVON
N00002366,CRAIGAVON
N00002184,CRAIGAVON
N00002367,CRAIGAVON
N00002186,CRAIGAVON
N00002185,CRAIGAVON
N00002234,CRAIGAVON
N00002183,CRAIGAVON
N00002290,CRAIGAVON
N00002310,CRAIGAVON
N00002309,CRAIGAVON
N00002289,CRAIGAVON
N00002293,CRAIGAVON
N00002297,CRAIGAVON
N00002296,CRAIGAVON
N00002295,CRAIGAVON
N00002294,CRAIGAVON
N00002180,CRAIGAVON
N00002205,CRAIGAVON
N00002179,CRAIGAVON
N00002187,CRAIGAVON
N00002360,CRAIGAVON
N00002212,CRAIGAVON
N00002218,CRAIGAVON
N00002217,CRAIGAVON
N00002219,CRAIGAVON
N00002220,CRAIGAVON
N00002214,CRAIGAVON
N00002182,CRAIGAVON
N00002181,CRAIGAVON
N00002203,CRAIGAVON
N00002312,CRAIGAVON
N00002311,CRAIGAVON
N00002316,CRAIGAVON
N00002308,CRAIGAVON
N00002302,CRAIGAVON
N00002208,CRAIGAVON
N00002210,CRAIGAVON
N00002209,CRAIGAVON
N00002206,CRAIGAVON
N00002256,CRAIGAVON
N00000789,BANBRIDGE
N00002204,CRAIGAVON
N00000774,BANBRIDGE
N00000776,BANBRIDGE
N00000773,BANBRIDGE
N00000791,BANBRIDGE
N00000790,BANBRIDGE
N00000764,BANBRIDGE
N00000793,BANBRIDGE
N00000772,BANBRIDGE
N00000465,ARMAGH
N00000464,ARMAGH
N00000469,ARMAGH
N00000422,ARMAGH
N00000467,ARMAGH
N00000468,ARMAGH
N00000775,BANBRIDGE
N00000466,ARMAGH
N00000420,ARMAGH
N00000421,ARMAGH
N00000417,ARMAGH
N00000418,ARMAGH
N00000393,ARMAGH
N00000392,ARMAGH
N00000457,ARMAGH
N00000455,ARMAGH
N00000458,ARMAGH
N00000419,ARMAGH
N00002213,CRAIGAVON
N00000398,ARMAGH
N00002211,CRAIGAVON
N00002192,CRAIGAVON
N00002194,CRAIGAVON
N00002190,CRAIGAVON
N00000425,ARMAGH
N00000396,ARMAGH
N00000399,ARMAGH
N00000397,ARMAGH
N00000424,ARMAGH
N00000426,ARMAGH
N00000443,ARMAGH
N00000395,ARMAGH
N00000461,ARMAGH
N00000462,ARMAGH
N00000460,ARMAGH
N00000459,ARMAGH
N00000394,ARMAGH
N00000456,ARMAGH
N00000446,ARMAGH
N00000445,ARMAGH
N00000476,ARMAGH
N00000470,ARMAGH
N00000475,ARMAGH
N00000473,ARMAGH
N00000359,ARMAGH
N00000474,ARMAGH
N00000387,ARMAGH
N00000356,ARMAGH
N00000357,ARMAGH
N00000348,ARMAGH
N00000347,ARMAGH
N00000448,ARMAGH
N00000345,ARMAGH
N00000349,ARMAGH
N00000346,ARMAGH
N00000444,ARMAGH
N00000447,ARMAGH
N00000344,ARMAGH
N00000353,ARMAGH
N00000355,ARMAGH
N00000358,ARMAGH
N00000354,ARMAGH
N00000350,ARMAGH
N00000351,ARMAGH
N00002822,DUNGANNON
N00000367,ARMAGH
N00000352,ARMAGH
N00000368,ARMAGH
N00000371,ARMAGH
N00000369,ARMAGH
N00002893,DUNGANNON
N00002895,DUNGANNON
N00002891,DUNGANNON
N00002894,DUNGANNON
N00000366,ARMAGH
N00002821,DUNGANNON
N00002820,DUNGANNON
N00002825,DUNGANNON
N00002824,DUNGANNON
N00002899,DUNGANNON
N00002900,DUNGANNON
N00002901,DUNGANNON
N00002823,DUNGANNON
N00002897,DUNGANNON
N00002814,DUNGANNON
N00002819,DUNGANNON
N00002815,DUNGANNON
N00002816,DUNGANNON
N00002885,DUNGANNON
N00002903,DUNGANNON
N00002886,DUNGANNON
N00002862,DUNGANNON
N00002863,DUNGANNON
N00002858,DUNGANNON
N00002861,DUNGANNON
N00002898,DUNGANNON
N00002864,DUNGANNON
N00002859,DUNGANNON
