SA2011,lgd1993
N00001570,BELFAST
N00000937,BELFAST
N00000938,BELFAST
N00001114,BELFAST
N00001108,BELFAST
N00001115,BELFAST
N00000931,BELFAST
N00000932,BELFAST
N00000933,BELFAST
N00000939,BELFAST
N00000940,BELFAST
N00001568,BELFAST
N00000926,BELFAST
N00000928,BELFAST
N00000929,BELFAST
N00000930,BELFAST
N00000927,BELFAST
N00000935,BELFAST
N00000934,BELFAST
N00001147,BELFAST
N00000986,BELFAST
N00000989,BELFAST
N00000990,BELFAST
N00000988,BELFAST
N00000987,BELFAST
N00000985,BELFAST
N00000983,BELFAST
N00001148,BELFAST
N00001116,BELFAST
N00001145,BELFAST
N00001146,BELFAST
N00001153,BELFAST
N00001151,BELFAST
N00001436,BELFAST
N00001435,BELFAST
N00001113,BELFAST
N00001106,BELFAST
N00001111,BELFAST
N00001112,BELFAST
N00001107,BELFAST
N00000936,BELFAST
N00001109,BELFAST
N00001110,BELFAST
N00001433,BELFAST
N00001623,BELFAST
N00001626,BELFAST
N00001627,BELFAST
N00001628,BELFAST
N00001625,BELFAST
N00001634,BELFAST
N00001624,BELFAST
N00001122,BELFAST
N00001118,BELFAST
N00001432,BELFAST
N00001431,BELFAST
N00001434,BELFAST
N00001119,BELFAST
N00001123,BELFAST
N00001120,BELFAST
N00001117,BELFAST
N00001121,BELFAST
N00001124,BELFAST
N00001125,BELFAST
N00001129,BELFAST
N00001639,BELFAST
N00001127,BELFAST
N00000854,BELFAST
N00001555,BELFAST
N00000853,BELFAST
N00000847,BELFAST
N00000846,BELFAST
N00000845,BELFAST
N00000852,BELFAST
N00000849,BELFAST
N00000851,BELFAST
N00000848,BELFAST
N00000841,BELFAST
N00000844,BELFAST
N00000843,BELFAST
N00000842,BELFAST
N00001230,BELFAST
N00001635,BELFAST
N00001225,BELFAST
N00001637,BELFAST
N00001636,BELFAST
N00001638,BELFAST
N00001630,BELFAST
N00001640,BELFAST
N00001632,BELFAST
N00001633,BELFAST
N00001631,BELFAST
N00001629,BELFAST
N00001224,BELFAST
N00001226,BELFAST
N00001217,BELFAST
N00001218,BELFAST
N00001256,BELFAST
N00001249,BELFAST
N00001223,BELFAST
N00001228,BELFAST
N00001229,BELFAST
N00001319,BELFAST
N00001321,BELFAST
N00001324,BELFAST
N00001323,BELFAST
N00001322,BELFAST
N00001318,BELFAST
N00001320,BELFAST
N00001222,BELFAST
N00001221,BELFAST
N00001227,BELFAST
N00001220,BELFAST
N00001313,BELFAST
N00001312,BELFAST
N00001315,BELFAST
N00001316,BELFAST
N00000912,BELFAST
N00001317,BELFAST
N00000911,BELFAST
N00000909,BELFAST
N00000910,BELFAST
N00000908,BELFAST
N00000917,BELFAST
N00000918,BELFAST
N00001099,BELFAST
N00000919,BELFAST
N00001104,BELFAST
N00001101,BELFAST
N00001102,BELFAST
N00001103,BELFAST
N00000850,BELFAST
N00001105,BELFAST
N00001097,BELFAST
N00001094,BELFAST
N00001092,BELFAST
N00001093,BELFAST
N00001095,BELFAST
N00001091,BELFAST
N00001096,BELFAST
N00001089,BELFAST
N00001098,BELFAST
N00001100,BELFAST
N00001090,BELFAST
N00001086,BELFAST
N00001050,BELFAST
N00001048,BELFAST
N00000922,BELFAST
N00000915,BELFAST
N00000924,BELFAST
N00000916,BELFAST
N00000914,BELFAST
N00000913,BELFAST
N00000925,BELFAST
N00000923,BELFAST
N00000920,BELFAST
N00000921,BELFAST
N00001060,BELFAST
N00001049,BELFAST
N00001047,BELFAST
N00001046,BELFAST
N00001059,BELFAST
N00001057,BELFAST
N00001056,BELFAST
N00001308,BELFAST
N00001309,BELFAST
N00000907,BELFAST
N00000906,BELFAST
N00001314,BELFAST
N00001311,BELFAST
N00001310,BELFAST
N00004061,NEWTOWNABBEY
N00003974,NEWTOWNABBEY
N00003975,NEWTOWNABBEY
N00003973,NEWTOWNABBEY
N00003980,NEWTOWNABBEY
N00003976,NEWTOWNABBEY
N00003978,NEWTOWNABBEY
N00003977,NEWTOWNABBEY
N00003979,NEWTOWNABBEY
N00004011,NEWTOWNABBEY
N00000942,BELFAST
N00000944,BELFAST
N00000943,BELFAST
N00004097,NEWTOWNABBEY
N00004005,NEWTOWNABBEY
N00004002,NEWTOWNABBEY
N00004001,NEWTOWNABBEY
N00004003,NEWTOWNABBEY
N00004004,NEWTOWNABBEY
N00004006,NEWTOWNABBEY
N00004096,NEWTOWNABBEY
N00004108,NEWTOWNABBEY
N00004105,NEWTOWNABBEY
N00003986,NEWTOWNABBEY
N00003989,NEWTOWNABBEY
N00004104,NEWTOWNABBEY
N00003887,NEWTOWNABBEY
N00004107,NEWTOWNABBEY
N00004106,NEWTOWNABBEY
N00004109,NEWTOWNABBEY
N00004101,NEWTOWNABBEY
N00004103,NEWTOWNABBEY
N00004102,NEWTOWNABBEY
N00004098,NEWTOWNABBEY
N00004099,NEWTOWNABBEY
N00004094,NEWTOWNABBEY
N00004092,NEWTOWNABBEY
N00004093,NEWTOWNABBEY
N00003888,NEWTOWNABBEY
N00004095,NEWTOWNABBEY
N00000947,BELFAST
N00000949,BELFAST
N00000948,BELFAST
N00000953,BELFAST
N00000955,BELFAST
N00000952,BELFAST
N00000954,BELFAST
N00004100,NEWTOWNABBEY
N00000956,BELFAST
N00000945,BELFAST
N00000941,BELFAST
N00000951,BELFAST
N00001039,BELFAST
N00001042,BELFAST
N00001053,BELFAST
N00001058,BELFAST
N00001055,BELFAST
N00001054,BELFAST
N00001051,BELFAST
N00001052,BELFAST
N00001088,BELFAST
N00001087,BELFAST
N00001084,BELFAST
N00001083,BELFAST
N00001189,BELFAST
N00001198,BELFAST
N00001036,BELFAST
N00001035,BELFAST
N00001200,BELFAST
N00001201,BELFAST
N00001038,BELFAST
N00001037,BELFAST
N00001040,BELFAST
N00001032,BELFAST
N00001034,BELFAST
N00001033,BELFAST
N00001197,BELFAST
N00001045,BELFAST
N00001044,BELFAST
N00001043,BELFAST
N00001041,BELFAST
N00000946,BELFAST
N00000950,BELFAST
N00001133,BELFAST
N00004219,NORTH DOWN
N00004242,NORTH DOWN
N00004236,NORTH DOWN
N00004237,NORTH DOWN
N00004239,NORTH DOWN
N00004240,NORTH DOWN
N00004241,NORTH DOWN
N00004283,NORTH DOWN
N00004284,NORTH DOWN
N00004235,NORTH DOWN
N00004278,NORTH DOWN
N00004277,NORTH DOWN
N00004288,NORTH DOWN
N00004289,NORTH DOWN
N00004276,NORTH DOWN
N00004279,NORTH DOWN
N00004285,NORTH DOWN
N00004280,NORTH DOWN
N00004281,NORTH DOWN
N00004238,NORTH DOWN
N00004282,NORTH DOWN
N00004271,NORTH DOWN
N00004275,NORTH DOWN
N00004274,NORTH DOWN
N00004272,NORTH DOWN
N00004273,NORTH DOWN
N00004293,NORTH DOWN
N00004292,NORTH DOWN
N00004270,NORTH DOWN
N00004287,NORTH DOWN
N00004291,NORTH DOWN
N00004294,NORTH DOWN
N00000968,BELFAST
N00000970,BELFAST
N00000969,BELFAST
N00000973,BELFAST
N00000971,BELFAST
N00000972,BELFAST
N00000974,BELFAST
N00001446,BELFAST
N00000963,BELFAST
N00000967,BELFAST
N00000964,BELFAST
N00000957,BELFAST
N00001447,BELFAST
N00004290,NORTH DOWN
N00004286,NORTH DOWN
N00001824,CASTLEREAGH
N00001820,CASTLEREAGH
N00001829,CASTLEREAGH
N00001828,CASTLEREAGH
N00001827,CASTLEREAGH
N00001826,CASTLEREAGH
N00001780,CASTLEREAGH
N00001781,CASTLEREAGH
N00001782,CASTLEREAGH
N00001783,CASTLEREAGH
N00001860,CASTLEREAGH
N00001858,CASTLEREAGH
N00001859,CASTLEREAGH
N00001786,CASTLEREAGH
N00001784,CASTLEREAGH
N00001789,CASTLEREAGH
N00001778,CASTLEREAGH
N00001788,CASTLEREAGH
N00001787,CASTLEREAGH
N00001785,CASTLEREAGH
N00001832,CASTLEREAGH
N00001833,CASTLEREAGH
N00001861,CASTLEREAGH
N00001835,CASTLEREAGH
N00001834,CASTLEREAGH
N00001836,CASTLEREAGH
N00001863,CASTLEREAGH
N00001751,CASTLEREAGH
N00001862,CASTLEREAGH
N00001857,CASTLEREAGH
N00001855,CASTLEREAGH
N00001854,CASTLEREAGH
N00001825,CASTLEREAGH
N00001821,CASTLEREAGH
N00001822,CASTLEREAGH
N00001823,CASTLEREAGH
N00001856,CASTLEREAGH
N00001750,CASTLEREAGH
N00001757,CASTLEREAGH
N00001073,BELFAST
N00001921,CASTLEREAGH
N00001923,CASTLEREAGH
N00001925,CASTLEREAGH
N00001922,CASTLEREAGH
N00001072,BELFAST
N00001920,CASTLEREAGH
N00001074,BELFAST
N00001075,BELFAST
N00001078,BELFAST
N00001076,BELFAST
N00001077,BELFAST
N00001445,BELFAST
N00001454,BELFAST
N00001453,BELFAST
N00001452,BELFAST
N00001450,BELFAST
N00001448,BELFAST
N00001449,BELFAST
N00000960,BELFAST
N00001459,BELFAST
N00001457,BELFAST
N00001456,BELFAST
N00001281,BELFAST
N00001282,BELFAST
N00001451,BELFAST
N00001455,BELFAST
N00001071,BELFAST
N00001069,BELFAST
N00001070,BELFAST
N00001067,BELFAST
N00001066,BELFAST
N00001852,CASTLEREAGH
N00001853,CASTLEREAGH
N00001068,BELFAST
N00001062,BELFAST
N00001061,BELFAST
N00001283,BELFAST
N00001284,BELFAST
N00001279,BELFAST
N00001285,BELFAST
N00000861,BELFAST
N00000857,BELFAST
N00000856,BELFAST
N00000855,BELFAST
N00000858,BELFAST
N00000859,BELFAST
N00000860,BELFAST
N00000997,BELFAST
N00000996,BELFAST
N00001000,BELFAST
N00001376,BELFAST
N00001286,BELFAST
N00001287,BELFAST
N00001288,BELFAST
N00001289,BELFAST
N00001290,BELFAST
N00001379,BELFAST
N00001375,BELFAST
N00000995,BELFAST
N00001003,BELFAST
N00001005,BELFAST
N00001002,BELFAST
N00001508,BELFAST
N00001513,BELFAST
N00001511,BELFAST
N00001607,BELFAST
N00001604,BELFAST
N00001605,BELFAST
N00001510,BELFAST
N00001512,BELFAST
N00001615,BELFAST
N00001507,BELFAST
N00001502,BELFAST
N00001509,BELFAST
N00001501,BELFAST
N00001499,BELFAST
N00001505,BELFAST
N00001498,BELFAST
N00001504,BELFAST
N00001503,BELFAST
N00000991,BELFAST
N00001506,BELFAST
N00000994,BELFAST
N00001004,BELFAST
N00001001,BELFAST
N00000998,BELFAST
N00000999,BELFAST
N00000993,BELFAST
N00000992,BELFAST
N00001273,BELFAST
N00001270,BELFAST
N00001264,BELFAST
N00001266,BELFAST
N00001271,BELFAST
N00000883,BELFAST
N00000881,BELFAST
N00000882,BELFAST
N00000885,BELFAST
N00000878,BELFAST
N00001268,BELFAST
N00000884,BELFAST
N00001267,BELFAST
N00001263,BELFAST
N00001496,BELFAST
N00001495,BELFAST
N00001492,BELFAST
N00001487,BELFAST
N00001488,BELFAST
N00001486,BELFAST
N00001489,BELFAST
N00001491,BELFAST
N00001497,BELFAST
N00001490,BELFAST
N00001493,BELFAST
N00001494,BELFAST
N00001272,BELFAST
N00001269,BELFAST
N00000870,BELFAST
N00000868,BELFAST
N00000869,BELFAST
N00000865,BELFAST
N00000867,BELFAST
N00000866,BELFAST
N00000871,BELFAST
N00000872,BELFAST
N00000863,BELFAST
N00000864,BELFAST
N00000862,BELFAST
N00001460,BELFAST
N00001458,BELFAST
N00000961,BELFAST
N00000959,BELFAST
N00000958,BELFAST
N00000966,BELFAST
N00000962,BELFAST
N00000965,BELFAST
N00001483,BELFAST
N00001481,BELFAST
N00001485,BELFAST
N00001482,BELFAST
N00001480,BELFAST
N00001265,BELFAST
N00001484,BELFAST
N00001131,BELFAST
N00001132,BELFAST
N00001136,BELFAST
N00001135,BELFAST
N00001193,BELFAST
N00001199,BELFAST
N00001191,BELFAST
N00001134,BELFAST
N00001141,BELFAST
N00001562,BELFAST
N00001563,BELFAST
N00001081,BELFAST
N00001139,BELFAST
N00001140,BELFAST
N00001196,BELFAST
N00001194,BELFAST
N00001192,BELFAST
N00001190,BELFAST
N00001188,BELFAST
N00001195,BELFAST
N00001080,BELFAST
N00001082,BELFAST
N00001079,BELFAST
N00001085,BELFAST
N00001561,BELFAST
N00001560,BELFAST
N00001559,BELFAST
N00001552,BELFAST
N00001556,BELFAST
N00001554,BELFAST
N00001557,BELFAST
N00001126,BELFAST
N00001546,BELFAST
N00001549,BELFAST
N00001548,BELFAST
N00001547,BELFAST
N00001553,BELFAST
N00001564,BELFAST
N00001558,BELFAST
N00001545,BELFAST
N00001137,BELFAST
N00001142,BELFAST
N00001143,BELFAST
N00001130,BELFAST
N00001138,BELFAST
N00001144,BELFAST
N00001359,BELFAST
N00001358,BELFAST
N00001355,BELFAST
N00001356,BELFAST
N00001357,BELFAST
N00001361,BELFAST
N00001360,BELFAST
N00001362,BELFAST
N00001350,BELFAST
N00001354,BELFAST
N00001551,BELFAST
N00001550,BELFAST
N00001128,BELFAST
N00001441,BELFAST
N00001442,BELFAST
N00001444,BELFAST
N00001437,BELFAST
N00001438,BELFAST
N00001443,BELFAST
N00001440,BELFAST
N00001150,BELFAST
N00001156,BELFAST
N00001439,BELFAST
N00001155,BELFAST
N00001352,BELFAST
N00001353,BELFAST
N00001351,BELFAST
N00000877,BELFAST
N00000875,BELFAST
N00000879,BELFAST
N00000873,BELFAST
N00001415,BELFAST
N00001419,BELFAST
N00001418,BELFAST
N00000874,BELFAST
N00000880,BELFAST
N00000876,BELFAST
N00001500,BELFAST
N00001611,BELFAST
N00001612,BELFAST
N00001610,BELFAST
N00001620,BELFAST
N00001616,BELFAST
N00001619,BELFAST
N00001613,BELFAST
N00001614,BELFAST
N00001621,BELFAST
N00001622,BELFAST
N00001617,BELFAST
N00001608,BELFAST
N00001618,BELFAST
N00001423,BELFAST
N00001420,BELFAST
N00001028,BELFAST
N00001422,BELFAST
N00001425,BELFAST
N00001024,BELFAST
N00001023,BELFAST
N00001421,BELFAST
N00001424,BELFAST
N00001416,BELFAST
N00001417,BELFAST
N00001152,BELFAST
N00001154,BELFAST
N00001149,BELFAST
N00001428,BELFAST
N00001427,BELFAST
N00001430,BELFAST
N00001426,BELFAST
N00001429,BELFAST
N00001601,BELFAST
N00001599,BELFAST
N00001006,BELFAST
N00001007,BELFAST
N00001603,BELFAST
N00001585,BELFAST
N00001586,BELFAST
N00001590,BELFAST
N00001580,BELFAST
N00001466,BELFAST
N00001591,BELFAST
N00001009,BELFAST
N00001008,BELFAST
N00001014,BELFAST
N00001471,BELFAST
N00001015,BELFAST
N00001468,BELFAST
N00001470,BELFAST
N00000900,BELFAST
N00001012,BELFAST
N00001011,BELFAST
N00001017,BELFAST
N00001019,BELFAST
N00001018,BELFAST
N00001022,BELFAST
N00001025,BELFAST
N00001026,BELFAST
N00001021,BELFAST
N00001016,BELFAST
N00001030,BELFAST
N00001029,BELFAST
N00001031,BELFAST
N00001020,BELFAST
N00001010,BELFAST
N00001013,BELFAST
N00001027,BELFAST
N00001381,BELFAST
N00001396,BELFAST
N00001392,BELFAST
N00001393,BELFAST
N00001394,BELFAST
N00001382,BELFAST
N00001383,BELFAST
N00001385,BELFAST
N00000890,BELFAST
N00000891,BELFAST
N00000897,BELFAST
N00001380,BELFAST
N00000901,BELFAST
N00000899,BELFAST
N00000903,BELFAST
N00000902,BELFAST
N00000904,BELFAST
N00000905,BELFAST
N00000896,BELFAST
N00000895,BELFAST
N00000898,BELFAST
N00000894,BELFAST
N00000892,BELFAST
N00001402,BELFAST
N00001403,BELFAST
N00001407,BELFAST
N00000888,BELFAST
N00000887,BELFAST
N00000886,BELFAST
N00000889,BELFAST
N00001405,BELFAST
N00001406,BELFAST
N00001408,BELFAST
N00001412,BELFAST
N00001413,BELFAST
N00001940,CASTLEREAGH
N00001414,BELFAST
N00001410,BELFAST
N00001409,BELFAST
N00001404,BELFAST
N00001399,BELFAST
N00001478,BELFAST
N00001479,BELFAST
N00001476,BELFAST
N00001477,BELFAST
N00001475,BELFAST
N00001401,BELFAST
N00001473,BELFAST
N00000893,BELFAST
N00001469,BELFAST
N00001467,BELFAST
N00001472,BELFAST
N00001474,BELFAST
N00001463,BELFAST
N00001462,BELFAST
N00001461,BELFAST
N00001464,BELFAST
N00001465,BELFAST
N00001517,BELFAST
N00001899,CASTLEREAGH
N00001896,CASTLEREAGH
N00001895,CASTLEREAGH
N00001893,CASTLEREAGH
N00001897,CASTLEREAGH
N00001765,CASTLEREAGH
N00001898,CASTLEREAGH
N00001764,CASTLEREAGH
N00001762,CASTLEREAGH
N00001766,CASTLEREAGH
N00001763,CASTLEREAGH
N00001915,CASTLEREAGH
N00001877,CASTLEREAGH
N00001876,CASTLEREAGH
N00001914,CASTLEREAGH
N00001913,CASTLEREAGH
N00001911,CASTLEREAGH
N00001918,CASTLEREAGH
N00001917,CASTLEREAGH
N00001842,CASTLEREAGH
N00001916,CASTLEREAGH
N00001912,CASTLEREAGH
N00001400,BELFAST
N00001411,BELFAST
N00001865,CASTLEREAGH
N00001839,CASTLEREAGH
N00001870,CASTLEREAGH
N00001864,CASTLEREAGH
N00001840,CASTLEREAGH
N00001843,CASTLEREAGH
N00001841,CASTLEREAGH
N00001844,CASTLEREAGH
N00001845,CASTLEREAGH
N00001846,CASTLEREAGH
N00001777,CASTLEREAGH
N00001772,CASTLEREAGH
N00001773,CASTLEREAGH
N00001775,CASTLEREAGH
N00001879,CASTLEREAGH
N00001878,CASTLEREAGH
N00001875,CASTLEREAGH
N00001874,CASTLEREAGH
N00001776,CASTLEREAGH
N00001769,CASTLEREAGH
N00001770,CASTLEREAGH
N00001771,CASTLEREAGH
N00001768,CASTLEREAGH
N00001767,CASTLEREAGH
N00001774,CASTLEREAGH
N00001905,CASTLEREAGH
N00001891,CASTLEREAGH
N00001932,CASTLEREAGH
N00001933,CASTLEREAGH
N00001890,CASTLEREAGH
N00001868,CASTLEREAGH
N00001866,CASTLEREAGH
N00001883,CASTLEREAGH
N00001867,CASTLEREAGH
N00001869,CASTLEREAGH
N00001819,CASTLEREAGH
N00001937,CASTLEREAGH
N00001936,CASTLEREAGH
N00001941,CASTLEREAGH
N00001939,CASTLEREAGH
N00001938,CASTLEREAGH
N00001935,CASTLEREAGH
N00001808,CASTLEREAGH
N00001806,CASTLEREAGH
N00001809,CASTLEREAGH
N00001807,CASTLEREAGH
N00001813,CASTLEREAGH
N00001812,CASTLEREAGH
N00001815,CASTLEREAGH
N00001816,CASTLEREAGH
N00001818,CASTLEREAGH
N00001817,CASTLEREAGH
N00001882,CASTLEREAGH
N00001880,CASTLEREAGH
N00001884,CASTLEREAGH
N00001814,CASTLEREAGH
N00001811,CASTLEREAGH
N00001810,CASTLEREAGH
N00001384,BELFAST
N00001391,BELFAST
N00001390,BELFAST
N00001388,BELFAST
N00001364,BELFAST
N00001366,BELFAST
N00001389,BELFAST
N00001395,BELFAST
N00001387,BELFAST
N00001386,BELFAST
N00001398,BELFAST
N00001397,BELFAST
N00001609,BELFAST
N00001606,BELFAST
N00001367,BELFAST
N00001363,BELFAST
N00001365,BELFAST
N00001370,BELFAST
N00001369,BELFAST
N00001372,BELFAST
N00001368,BELFAST
N00001373,BELFAST
N00001378,BELFAST
N00001377,BELFAST
N00001374,BELFAST
N00001371,BELFAST
N00001881,CASTLEREAGH
N00001892,CASTLEREAGH
N00001888,CASTLEREAGH
N00001887,CASTLEREAGH
N00001885,CASTLEREAGH
N00001276,BELFAST
N00001274,BELFAST
N00001280,BELFAST
N00001275,BELFAST
N00001277,BELFAST
N00001278,BELFAST
N00001063,BELFAST
N00001064,BELFAST
N00001848,CASTLEREAGH
N00001851,CASTLEREAGH
N00001927,CASTLEREAGH
N00001934,CASTLEREAGH
N00001931,CASTLEREAGH
N00001930,CASTLEREAGH
N00001928,CASTLEREAGH
N00001065,BELFAST
N00001886,CASTLEREAGH
N00001889,CASTLEREAGH
N00001929,CASTLEREAGH
N00001759,CASTLEREAGH
N00001919,CASTLEREAGH
N00001850,CASTLEREAGH
N00001849,CASTLEREAGH
N00001847,CASTLEREAGH
N00001926,CASTLEREAGH
N00001924,CASTLEREAGH
N00001754,CASTLEREAGH
N00001752,CASTLEREAGH
N00001758,CASTLEREAGH
N00001753,CASTLEREAGH
N00001837,CASTLEREAGH
N00001838,CASTLEREAGH
N00001831,CASTLEREAGH
N00001830,CASTLEREAGH
N00001756,CASTLEREAGH
N00001755,CASTLEREAGH
N00000203,ARDS
N00000205,ARDS
N00001906,CASTLEREAGH
N00001901,CASTLEREAGH
N00001908,CASTLEREAGH
N00001910,CASTLEREAGH
N00001909,CASTLEREAGH
N00001907,CASTLEREAGH
N00000269,ARDS
N00000135,ARDS
N00001902,CASTLEREAGH
N00001904,CASTLEREAGH
N00001794,CASTLEREAGH
N00001802,CASTLEREAGH
N00001801,CASTLEREAGH
N00001804,CASTLEREAGH
N00001805,CASTLEREAGH
N00001796,CASTLEREAGH
N00001797,CASTLEREAGH
N00001803,CASTLEREAGH
N00001800,CASTLEREAGH
N00001791,CASTLEREAGH
N00001793,CASTLEREAGH
N00001792,CASTLEREAGH
N00001903,CASTLEREAGH
N00001873,CASTLEREAGH
N00001871,CASTLEREAGH
N00001872,CASTLEREAGH
N00001790,CASTLEREAGH
N00001761,CASTLEREAGH
N00001760,CASTLEREAGH
N00001894,CASTLEREAGH
N00003333,LISBURN
N00001799,CASTLEREAGH
N00003332,LISBURN
N00003334,LISBURN
N00003335,LISBURN
N00003327,LISBURN
N00003385,LISBURN
N00003383,LISBURN
N00003378,LISBURN
N00003379,LISBURN
N00003380,LISBURN
N00003381,LISBURN
N00003370,LISBURN
N00003374,LISBURN
N00003373,LISBURN
N00003368,LISBURN
N00003386,LISBURN
N00003427,LISBURN
N00003428,LISBURN
N00003377,LISBURN
N00003376,LISBURN
N00003375,LISBURN
N00003432,LISBURN
N00003426,LISBURN
N00003361,LISBURN
N00003367,LISBURN
N00003433,LISBURN
N00003314,LISBURN
N00003315,LISBURN
N00003313,LISBURN
N00003498,LISBURN
N00003502,LISBURN
N00003497,LISBURN
N00003505,LISBURN
N00003499,LISBURN
N00003430,LISBURN
N00003431,LISBURN
N00003429,LISBURN
N00003504,LISBURN
N00001174,BELFAST
N00001515,BELFAST
N00003330,LISBURN
N00003331,LISBURN
N00003329,LISBURN
N00003328,LISBURN
N00001518,BELFAST
N00001514,BELFAST
N00001527,BELFAST
N00001187,BELFAST
N00001175,BELFAST
N00001186,BELFAST
N00001177,BELFAST
N00001176,BELFAST
N00001184,BELFAST
N00001173,BELFAST
N00001185,BELFAST
N00001183,BELFAST
N00001525,BELFAST
N00001526,BELFAST
N00001529,BELFAST
N00001530,BELFAST
N00001516,BELFAST
N00001528,BELFAST
N00001521,BELFAST
N00001522,BELFAST
N00001519,BELFAST
N00001338,BELFAST
N00001339,BELFAST
N00001340,BELFAST
N00001180,BELFAST
N00001181,BELFAST
N00001178,BELFAST
N00001348,BELFAST
N00001342,BELFAST
N00001343,BELFAST
N00001341,BELFAST
N00001346,BELFAST
N00001325,BELFAST
N00001523,BELFAST
N00001524,BELFAST
N00001520,BELFAST
N00001326,BELFAST
N00001327,BELFAST
N00001330,BELFAST
N00001329,BELFAST
N00001331,BELFAST
N00001337,BELFAST
N00001328,BELFAST
N00001335,BELFAST
N00001584,BELFAST
N00001332,BELFAST
N00001336,BELFAST
N00001333,BELFAST
N00001334,BELFAST
N00001581,BELFAST
N00001582,BELFAST
N00001589,BELFAST
N00001579,BELFAST
N00001583,BELFAST
N00001588,BELFAST
N00001592,BELFAST
N00001595,BELFAST
N00001597,BELFAST
N00001587,BELFAST
N00001596,BELFAST
N00001594,BELFAST
N00001593,BELFAST
N00001602,BELFAST
N00001600,BELFAST
N00001598,BELFAST
N00000984,BELFAST
N00000979,BELFAST
N00000976,BELFAST
N00000978,BELFAST
N00000977,BELFAST
N00000980,BELFAST
N00000982,BELFAST
N00000975,BELFAST
N00001160,BELFAST
N00000981,BELFAST
N00001157,BELFAST
N00001162,BELFAST
N00001164,BELFAST
N00001170,BELFAST
N00001544,BELFAST
N00001169,BELFAST
N00001171,BELFAST
N00001172,BELFAST
N00001205,BELFAST
N00001167,BELFAST
N00001165,BELFAST
N00001166,BELFAST
N00000836,BELFAST
N00000838,BELFAST
N00000832,BELFAST
N00000840,BELFAST
N00000839,BELFAST
N00001163,BELFAST
N00001158,BELFAST
N00001349,BELFAST
N00001347,BELFAST
N00000831,BELFAST
N00000828,BELFAST
N00001345,BELFAST
N00001294,BELFAST
N00000829,BELFAST
N00000835,BELFAST
N00000825,BELFAST
N00001301,BELFAST
N00001300,BELFAST
N00001306,BELFAST
N00001305,BELFAST
N00001303,BELFAST
N00001304,BELFAST
N00000827,BELFAST
N00000826,BELFAST
N00001238,BELFAST
N00001239,BELFAST
N00001216,BELFAST
N00001245,BELFAST
N00001244,BELFAST
N00001214,BELFAST
N00001215,BELFAST
N00001212,BELFAST
N00001209,BELFAST
N00001211,BELFAST
N00001210,BELFAST
N00000830,BELFAST
N00000833,BELFAST
N00000834,BELFAST
N00001206,BELFAST
N00000837,BELFAST
N00001208,BELFAST
N00001207,BELFAST
N00001204,BELFAST
N00001203,BELFAST
N00001168,BELFAST
N00001202,BELFAST
N00001213,BELFAST
N00001242,BELFAST
N00001234,BELFAST
N00001232,BELFAST
N00001233,BELFAST
N00001235,BELFAST
N00001236,BELFAST
N00001237,BELFAST
N00001243,BELFAST
N00001241,BELFAST
N00001240,BELFAST
N00001302,BELFAST
N00001307,BELFAST
N00003495,LISBURN
N00003494,LISBURN
N00003491,LISBURN
N00003493,LISBURN
N00003490,LISBURN
N00003492,LISBURN
N00003294,LISBURN
N00003303,LISBURN
N00003304,LISBURN
N00003305,LISBURN
N00003302,LISBURN
N00003401,LISBURN
N00003402,LISBURN
N00003400,LISBURN
N00003399,LISBURN
N00003398,LISBURN
N00003301,LISBURN
N00003496,LISBURN
N00003397,LISBURN
N00001296,BELFAST
N00001298,BELFAST
N00001299,BELFAST
N00003345,LISBURN
N00001297,BELFAST
N00001295,BELFAST
N00001293,BELFAST
N00001344,BELFAST
N00001291,BELFAST
N00001292,BELFAST
N00001179,BELFAST
N00003348,LISBURN
N00003347,LISBURN
N00003346,LISBURN
N00003341,LISBURN
N00003338,LISBURN
N00003342,LISBURN
N00003337,LISBURN
N00001182,BELFAST
N00003344,LISBURN
N00003503,LISBURN
N00003500,LISBURN
N00003501,LISBURN
N00003339,LISBURN
N00003340,LISBURN
N00003516,LISBURN
N00003514,LISBURN
N00003343,LISBURN
N00003405,LISBURN
N00003403,LISBURN
N00003515,LISBURN
N00003519,LISBURN
N00003518,LISBURN
N00003404,LISBURN
N00003300,LISBURN
N00003298,LISBURN
N00003312,LISBURN
N00003517,LISBURN
N00003520,LISBURN
N00003306,LISBURN
N00003311,LISBURN
N00003297,LISBURN
N00003308,LISBURN
N00003299,LISBURN
N00003296,LISBURN
N00003295,LISBURN
N00003293,LISBURN
N00003281,LISBURN
N00003276,LISBURN
N00003280,LISBURN
N00003307,LISBURN
N00003309,LISBURN
N00003316,LISBURN
N00003460,LISBURN
N00003310,LISBURN
N00003459,LISBURN
N00003458,LISBURN
N00003454,LISBURN
N00003461,LISBURN
N00003455,LISBURN
N00003360,LISBURN
N00003457,LISBURN
N00003453,LISBURN
N00003456,LISBURN
N00003462,LISBURN
N00003261,LISBURN
N00003257,LISBURN
N00003258,LISBURN
N00003260,LISBURN
N00003277,LISBURN
N00003253,LISBURN
N00003250,LISBURN
N00003252,LISBURN
N00003279,LISBURN
N00003275,LISBURN
N00003274,LISBURN
N00003412,LISBURN
N00003413,LISBURN
N00003256,LISBURN
N00003438,LISBURN
N00003437,LISBURN
N00003436,LISBURN
N00003441,LISBURN
N00003439,LISBURN
N00003440,LISBURN
N00003251,LISBURN
N00003255,LISBURN
