SA2011,OA_CODE_dominant,OA_CODE_point
N00000001,95AA010011,95AA010011
N00000002,95AA010001,95AA010001
N00000003,95AA010002,95AA010002
N00000004,95AA010003,95AA010003
N00000005,95AA010007,95AA010007
N00000006,95AA010011,95AA010011
N00000007,95AA010004,95AA010004
N00000008,95AA010008,95AA010008
N00000009,95AA010006,95AA010006
N00000010,95AA010009,95AA010009
N00000011,95AA020001,95AA020001
N00000012,95AA020002,95AA020002
N00000013,95AA020003,95AA020003
N00000014,95AA020004,95AA020004
N00000015,95AA020005,95AA020005
N00000016,95AA020006,95AA020006
N00000017,95AA030001,95AA030001
N00000018,95AA030002,95AA030002
N00000019,95AA030003,95AA030003
N00000020,95AA030004,95AA030004
N00000021,95AA030005,95AA030005
N00000022,95AA030006,95AA030006
N00000023,95AA030007,95AA030007
N00000024,95AA040001,95AA040003
N00000025,95AA040002,95AA040002
N00000026,95AA040003,95AA040001
N00000027,95AA040004,95AA040004
N00000028,95AA040005,95AA040005
N00000029,95AA040006,95AA040006
N00000030,95AA040007,95AA040007
N00000031,95AA050001,95AA050001
N00000032,95AA050002,95AA050002
N00000033,95AA050003,95AA050003
N00000034,95AA050004,95AA050004
N00000035,95AA050005,95AA050005
N00000036,95AA050006,95AA050006
N00000037,95AA060002,95AA060002
N00000038,95AA060004,95AA060004
N00000039,95AA060007,95AA060007
N00000040,95AA060001,95AA060001
N00000041,95AA060003,95AA060003
N00000042,95AA060005,95AA060005
N00000043,95AA060008,95AA060008
N00000044,95AA060009,95AA060001
N00000045,95AA070001,95AA070001
N00000046,95AA070002,95AA070002
N00000047,95AA070003,95AA070003
N00000048,95AA070004,95AA070004
N00000049,95AA070005,95AA070005
N00000050,95AA070006,95AA070006
N00000051,95AA080001,95AA080001
N00000052,95AA080002,95AA080002
N00000053,95AA080003,95AA080003
N00000054,95AA080004,95AA080004
N00000055,95AA080005,95AA080005
N00000056,95AA080006,95AA080006
N00000057,95AA090001,95AA090001
N00000058,95AA090002,95AA090002
N00000059,95AA090003,95AA090003
N00000060,95AA090004,95AA090004
N00000061,95AA090005,95AA090005
N00000062,95AA090006,95AA090006
N00000063,95AA090007,95AA090007
N00000064,95AA100001,95AA100001
N00000065,95AA100002,95AA100002
N00000066,95AA100003,95AA100003
N00000067,95AA100004,95AA100004
N00000068,95AA100005,95AA100005
N00000069,95AA100006,95AA100006
N00000070,95AA110005,95AA110005
N00000071,95AA110006,95AA110006
N00000072,95AA110010,95AA110010
N00000073,95AA110009,95AA110009
N00000074,95AA110001,95AA110001
N00000075,95AA110002,95AA110001
N00000076,95AA110003,95AA110003
N00000077,95AA110004,95AA110004
N00000078,95AA110011,95AA110011
N00000079,95AA120001,95AA120001
N00000080,95AA120002,95AA120002
N00000081,95AA120003,95AA120003
N00000082,95AA120004,95AA120004
N00000083,95AA120005,95AA120005
N00000084,95AA120006,95AA120006
N00000085,95AA130004,95AA130004
N00000086,95AA130006,95AA130006
N00000087,95AA130008,95AA130008
N00000088,95AA130001,95AA130001
N00000089,95AA130002,95AA130002
N00000090,95AA130003,95AA130003
N00000091,95AA130005,95AA130005
N00000092,95AA140001,95AA140001
N00000093,95AA140002,95AA140003
N00000094,95AA140003,95AA140003
N00000095,95AA140004,95AA140004
N00000096,95AA140005,95AA140005
N00000097,95AA150003,95AA150003
N00000098,95AA150004,95AA150004
N00000099,95AA150005,95AA150005
N00000100,95AA150006,95AA150006
N00000101,95AA150001,95AA150001
N00000102,95AA150002,95AA150002
N00000103,95AA150007,95AA150004
N00000104,95AA150008,95AA150008
N00000105,95AA160001,95AA160001
N00000106,95AA160002,95AA160002
N00000107,95AA160003,95AA160003
N00000108,95AA160004,95AA160004
N00000109,95AA160005,95AA160005
N00000110,95AA160006,95AA160006
N00000111,95AA170001,95AA170001
N00000112,95AA170002,95AA170002
N00000113,95AA170003,95AA170003
N00000114,95AA170004,95AA170004
N00000115,95AA170005,95AA170005
N00000116,95AA170006,95AA170006
N00000117,95AA170007,95AA170007
N00000118,95AA180001,95AA180001
N00000119,95AA180002,95AA180002
