DZ2021_cd,OA_CODE,weight
N20000001,95AA140001,0.5107346915941483
N20000001,95AA120005,0.4516401982664622
N20000001,95AA140005,0.037495240231909276
N20000001,95DD190001,5.3062566925062974e-05
N20000001,95DD190002,3.221600327990675e-05
N20000001,95DD160001,2.5721509137691757e-05
N20000001,95DD160003,1.4226213460440408e-05
N20000001,95DD190005,4.6615546072956845e-06
N20000002,95WW130005,0.999566648000241
N20000002,95DD160004,0.0002130538903695091
N20000002,95DD160005,0.0001779264509228816
N20000002,95AA120005,3.5138491585565014e-05
N20000002,95AA120006,3.882242755878847e-06
N20000002,95WW060002,2.4650458006955206e-06
N20000002,95QQ140001,1.1838092593477763e-06
N20000003,95AA070002,0.8554091650183245
N20000003,95AA070003,0.1346390131963304
N20000003,95AA070001,0.009800891376400878
N20000003,95DD170007,8.384745661101092e-05
N20000003,95DD170006,4.222376249459302e-05
N20000003,95DD170002,2.4029415090708882e-05
N20000004,95AA140004,0.48220649612999145
N20000004,95AA140003,0.44052370534989416
N20000004,95AA140001,0.07648884352366968
N20000004,95AA140002,0.0006088381283594833
N20000004,95DD190003,0.00013112181562211642
N20000004,95DD190005,3.6047224576761005e-05
N20000004,95DD170002,4.093683623290813e-06
N20000005,95AA120006,0.4872622174381912
N20000005,95AA120005,0.45100098536349453
N20000005,95AA120001,0.06166610338107893
N20000005,95DD160005,3.662933938028919e-05
N20000005,95WW130005,2.4270137524429998e-05
N20000005,95WW130009,7.225345062323701e-06
N20000005,95DD160001,2.5880812329148307e-06
N20000006,95AA140002,0.3507413580511908
N20000006,95AA140005,0.3389144346316772
N20000006,95AA140003,0.24311316405411346
N20000006,95AA140001,0.0506405452104715
N20000006,95AA140004,0.01659049805254695
N20000007,95AA190001,0.4836193896123142
N20000007,95AA190002,0.3901532094413663
N20000007,95AA070001,0.12617498723504664
N20000007,95DD170001,2.4033694724098753e-05
N20000007,95AA190003,2.2617609045757936e-05
N20000007,95TT010006,3.017356820507097e-06
N20000007,95DD170007,2.7550307714791744e-06
N20000008,95AA140004,0.34518817996414003
N20000008,95AA070003,0.20087083357525948
N20000008,95AA070001,0.15169321062988902
N20000008,95AA070002,0.09467098224052369
N20000008,95AA140002,0.07831018303417965
N20000008,95AA130005,0.0462280328965035
N20000008,95AA050004,0.03896461316787457
N20000008,95AA130002,0.023051065073278292
N20000008,95AA130007,0.008909605412533205
N20000008,95AA070004,0.006978914849289785
N20000008,95AA070005,0.002800291253090125
N20000008,95AA070006,0.002334035215642594
N20000009,95AA070001,0.841777516103916
N20000009,95AA070002,0.14432275095142133
N20000009,95AA050003,0.01358765200032418
N20000009,95AA190001,0.0002183186625930488
N20000009,95AA070003,9.298687314377676e-05
N20000010,95AA120001,0.3895974737767727
N20000010,95AA140005,0.27739536947342047
N20000010,95AA120005,0.24707464124332343
N20000010,95AA120004,0.08434825383841214
N20000010,95AA120006,0.0015139886859880168
N20000010,95AA140001,5.801175746178955e-05
N20000010,95AA080002,8.265544753781977e-06
N20000010,95AA150007,3.995679867148502e-06
N20000011,95AA070004,0.4737822466683569
N20000011,95AA070005,0.4322580989438338
N20000011,95AA070006,0.06817081811675704
N20000011,95AA130005,0.02482700390637702
N20000011,95AA130001,0.0007605277621187546
N20000011,95AA070003,0.00020130460255760683
N20000012,95AA070003,0.5782253577028879
N20000012,95AA070006,0.31432390903112783
N20000012,95AA130001,0.06093585782603705
N20000012,95AA070005,0.04651397964524472
N20000013,95AA140005,0.5010464807883175
N20000013,95AA140002,0.20241671809378314
N20000013,95AA140003,0.11356758017153594
N20000013,95AA140001,0.0980090992723748
N20000013,95AA110001,0.07797620659531561
N20000013,95AA130008,0.006983429057086809
N20000014,95AA050004,0.5952707767119539
N20000014,95AA070006,0.27382711330682363
N20000014,95AA130004,0.060919497491508705
N20000014,95AA070003,0.027170079695994512
N20000014,95AA050005,0.022506425693090356
N20000014,95AA130005,0.016792134561403906
N20000014,95AA050006,0.0035139725392265508
N20000015,95AA190002,0.556227530587296
N20000015,95AA190006,0.3204533446453816
N20000015,95AA190005,0.12186547498473434
N20000015,95AA190003,0.0014511217278118298
N20000015,95TT010006,1.4464454939595088e-06
N20000015,95TT010004,1.187501853228845e-06
N20000016,95AA130005,0.4825385356643201
N20000016,95AA130001,0.26607791639674044
N20000016,95AA130006,0.1071944559404878
N20000016,95AA130003,0.08588873449185075
N20000016,95AA070004,0.03964962431281088
N20000016,95AA130007,0.01621024819666023
N20000016,95AA070006,0.0012075612749851278
N20000016,95AA130004,0.0011457830838683106
N20000016,95AA070005,8.714063827573933e-05
N20000017,95AA130005,0.5102344161069338
N20000017,95AA130003,0.3234787887711007
N20000017,95AA130006,0.15497747462661657
N20000017,95AA130002,0.009985140695715503
N20000017,95AA130007,0.0013241797996349663
N20000018,95AA130002,0.7261317194207727
N20000018,95AA130007,0.19173676675118262
N20000018,95AA130003,0.08213151382803727
N20000019,95AA130004,0.5384330045422723
N20000019,95AA130005,0.2908088953284418
N20000019,95AA130001,0.15447592468803378
N20000019,95AA070006,0.016200338517839474
N20000019,95AA130006,8.15552435125338e-05
N20000020,95AA130004,0.5157225046957548
N20000020,95AA050005,0.3246083724350679
N20000020,95AA050006,0.15966439574073807
N20000020,95AA050004,4.727128439778117e-06
N20000021,95AA130007,0.7861967389160455
N20000021,95AA130002,0.13153088404331356
N20000021,95AA130006,0.08217299315352493
N20000021,95AA130003,9.938388711519739e-05
N20000022,95AA190003,0.7425418383989145
N20000022,95AA190005,0.21317697872221406
N20000022,95AA190002,0.04428118287887596
N20000023,95AA050002,0.572205818693697
N20000023,95AA050006,0.31330742711963533
N20000023,95AA130004,0.09461347549337763
N20000023,95AA050003,0.01030848104805258
N20000023,95AA050005,0.009564797645242285
N20000024,95AA190003,0.34166533860046233
N20000024,95AA190005,0.27463320493850474
N20000024,95AA190001,0.15868247404782618
N20000024,95AA050003,0.11309471715398438
N20000024,95AA190004,0.04619351162324301
N20000024,95AA190002,0.03489328130268056
N20000024,95AA070001,0.029340177268888438
N20000024,95AA190006,0.001497295064410363
N20000025,95AA130008,0.6965164611996196
N20000025,95AA110001,0.3034798414233001
N20000025,95AA140002,3.6973771002464378e-06
N20000026,95AA120001,0.3561052313233855
N20000026,95AA120002,0.34583509342742935
N20000026,95AA120006,0.24924840542011348
N20000026,95AA120003,0.048614004887509686
N20000026,95AA180003,0.00019195696961845458
N20000026,95WW130004,3.1562146299571082e-06
N20000026,95AA180001,1.5934250622915004e-06
N20000027,95AA110001,0.9999999999999996
N20000028,95AA050003,0.7332807813009438
N20000028,95AA050002,0.0729186018997028
N20000028,95AA050004,0.06124443552756712
N20000028,95AA050001,0.06047131879860123
N20000028,95AA070001,0.059301645265056324
N20000028,95AA050006,0.010120130063662924
N20000028,95AA190003,0.0026630871444658136
N20000029,95AA130008,0.6231893471336092
N20000029,95AA130007,0.2043598272788026
N20000029,95AA140002,0.1054659684990328
N20000029,95AA130002,0.02915879086626954
N20000029,95AA130006,0.023221867810605503
N20000029,95AA130004,0.014154445474834607
N20000029,95AA140004,0.00022806143144833309
N20000029,95AA050002,0.00021862827797556364
N20000029,95AA130003,2.9877469385622075e-06
N20000030,95AA120004,0.7411935032476565
N20000030,95AA120001,0.18428716963186592
N20000030,95AA120002,0.04091915249041984
N20000030,95AA120003,0.03280829851959285
N20000030,95AA140005,0.0006324813249219372
N20000030,95AA180007,6.0304561815293286e-05
N20000030,95AA180005,4.4997031166468186e-05
N20000030,95AA080002,4.3662117468691603e-05
N20000030,95AA180001,1.0313601214202417e-05
N20000031,95AA120003,0.4895116868923627
N20000031,95AA120002,0.3547151568932893
N20000031,95AA120001,0.15577315621434737
N20000032,95AA050001,0.589756687951765
N20000032,95AA130007,0.25038505428328217
N20000032,95AA050002,0.11686256209139674
N20000032,95AA130008,0.029449437624823407
N20000032,95AA130004,0.006726764029482072
N20000032,95AA130006,0.005592641642878993
N20000032,95AA050003,0.0012268523763690844
N20000033,95AA190004,0.7024025747337229
N20000033,95AA050003,0.18938768701066822
N20000033,95AA190003,0.05264985910598103
N20000033,95AA190005,0.04039003240547657
N20000033,95AA050001,0.015169846744149812
N20000034,95AA050001,0.5664117228357595
N20000034,95AA050003,0.2886530998052506
N20000034,95AA190004,0.14493517735898995
N20000035,95AA150007,0.7777640776290685
N20000035,95AA150004,0.11678969723774973
N20000035,95AA150008,0.05455520577610401
N20000035,95AA110011,0.050714986550363536
N20000035,95AA110001,0.00016069928685203555
N20000035,95AA150001,1.3749371474451373e-05
N20000035,95AA140005,1.5841483887967065e-06
N20000036,95AA150007,1.0000000000000004
N20000037,95AA150001,0.5251223005711537
N20000037,95AA150007,0.2026747535807259
N20000037,95AA150002,0.1784563078620025
N20000037,95AA150008,0.09126174129485187
N20000037,95AA150004,0.0024848966912711288
N20000038,95AA150007,0.4365971055065264
N20000038,95AA080002,0.4091842200457792
N20000038,95AA150004,0.1220976808559112
N20000038,95AA080001,0.03210364995469523
N20000038,95AA140005,1.7247902384213965e-05
N20000039,95AA150004,0.7600774443277933
N20000039,95AA150007,0.20621689377941552
N20000039,95AA150002,0.03357220406887879
N20000039,95AA150003,0.00013345782391105212
N20000040,95AA150001,0.565010808963645
N20000040,95AA150002,0.2450650925379465
N20000040,95AA150008,0.15146988536011985
N20000040,95AA150003,0.038399332651460893
N20000040,95AA150004,5.4880486797614917e-05
N20000041,95AA110001,0.7995799976105856
N20000041,95AA150003,0.12521275639222448
N20000041,95AA110011,0.03547189657689761
N20000041,95AA110002,0.024141801143089173
N20000041,95AA150002,0.012217204012777403
N20000041,95AA150004,0.0028208667617736515
N20000041,95AA150001,0.0004043826852857725
N20000041,95AA150008,0.00015020629326779745
N20000042,95AA080002,0.6377937325968543
N20000042,95AA150004,0.3604269126416155
N20000042,95AA150007,0.0017746206068326084
N20000042,95AA160005,4.130097636563692e-06
N20000043,95AA150004,0.6264999739641114
N20000043,95AA150003,0.3735000260358907
N20000044,95AA130008,0.5405403367541387
N20000044,95AA110001,0.19133864053598704
N20000044,95AA110002,0.10512916006608668
N20000044,95AA020001,0.09736868379259672
N20000044,95AA110005,0.03326117815716989
N20000044,95AA110006,0.019431622214289224
N20000044,95AA110004,0.005140742074026886
N20000044,95AA020003,0.00383459148855555
N20000044,95AA020005,0.003677875252885255
N20000044,95AA110003,0.00015096728532644653
N20000044,95AA150003,0.00012563617432490246
N20000045,95AA110003,0.6641271067212215
N20000045,95AA110004,0.32268614758316244
N20000045,95AA150003,0.008358418427355407
N20000045,95AA110002,0.0030833143675272445
N20000045,95AA150006,0.0017363300813274603
N20000045,95AA110005,8.682819417981777e-06
N20000046,95AA160005,0.7141888837696936
N20000046,95AA160004,0.15335677282409932
N20000046,95AA160006,0.1279043175262408
N20000046,95AA160001,0.004515279380095162
N20000046,95AA080002,3.2785398066904436e-05
N20000046,95AA160002,1.4366892954926625e-06
N20000047,95AA150005,0.5423924046264417
N20000047,95AA150004,0.1708280909216897
N20000047,95AA090007,0.08980522919364307
N20000047,95AA160004,0.07493122010996783
N20000047,95AA150003,0.07396695801125147
N20000047,95AA160005,0.03289422491529465
N20000047,95AA160001,0.014828418307916523
N20000047,95AA110003,0.00035184090731031446
N20000047,95AA080002,1.6130064804164421e-06
N20000048,95AA110005,0.4065527230483995
N20000048,95AA110002,0.2691609316245451
N20000048,95AA110001,0.24506527592530336
N20000048,95AA110004,0.07922042832600579
N20000049,95AA150006,0.4254197011700017
N20000049,95AA110004,0.30096465642084275
