OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95FF130005,N20000649,N20000649
95FF130006,N20000629,N20000644
95FF140001,N20000563,N20000563
95FF140002,N20000579,N20000579
95FF140003,N20000579,N20000579
95FF140004,N20000579,N20000586
95FF140005,N20000588,N20000586
95FF140006,N20000585,N20000586
95FF150001,N20000657,N20000659
95FF150002,N20000657,N20000662
95FF150003,N20000660,N20000660
95FF150004,N20000660,N20000660
95FF150005,N20000658,N20000661
95FF150006,N20000662,N20000662
95FF150007,N20000658,N20000663
95FF160001,N20000614,N20000603
95FF160002,N20000604,N20000604
95FF160003,N20000614,N20000608
95FF160004,N20000607,N20000607
95FF160005,N20000610,N20000610
95FF160006,N20000614,N20000610
95FF160007,N20000610,N20000612
95FF170001,N20000631,N20000631
95FF170002,N20000620,N20000641
95FF170003,N20000612,N20000612
95FF170004,N20000620,N20000620
95FF170005,N20000608,N20000608
95FF170006,N20000620,N20000620
95GG010001,N20001367,N20001367
95GG010002,N20001364,N20001364
95GG010003,N20001236,N20001236
95GG010004,N20001238,N20001238
95GG010005,N20001364,N20001364
95GG010006,N20001368,N20001366
95GG010007,N20001345,N20001345
95GG010008,N20001342,N20001342
95GG010009,N20001354,N20001354
95GG010010,N20001354,N20001354
95GG010011,N20001361,N20001361
95GG010012,N20001357,N20001357
95GG010013,N20001361,N20001361
95GG010014,N20001235,N20001235
95GG010015,N20001364,N20001364
95GG010016,N20001366,N20001366
95GG020001,N20000768,N20000768
95GG020002,N20000748,N20000748
95GG020003,N20000753,N20000753
95GG020004,N20000752,N20000752
95GG020005,N20000756,N20000756
95GG020006,N20000755,N20000755
95GG020007,N20000758,N20000758
95GG020008,N20000755,N20000751
95GG020009,N20000768,N20000765
95GG020010,N20000770,N20000767
95GG020011,N20000760,N20000760
95GG020012,N20000760,N20000760
95GG020013,N20000758,N20000758
95GG020014,N20000767,N20000767
95GG020015,N20000762,N20000762
95GG020016,N20000756,N20000762
95GG020017,N20000743,N20000743
95GG020018,N20000748,N20000748
95GG020019,N20000753,N20000753
95GG020020,N20000752,N20000752
95GG030001,N20000969,N20000969
95GG030002,N20000969,N20000969
95GG030003,N20000966,N20000966
95GG030004,N20000881,N20000881
95GG030005,N20000972,N20000973
95GG030006,N20000973,N20000973
95GG030007,N20000890,N20000890
95GG030008,N20000883,N20000889
95GG030009,N20000975,N20000976
95GG030010,N20000881,N20000881
95GG030011,N20000889,N20000889
95GG030012,N20000975,N20000975
95GG030013,N20000972,N20000902
95GG030014,N20000975,N20000985
95GG030015,N20000976,N20000976
95GG030016,N20000976,N20000984
95GG030017,N20000984,N20000984
95GG030018,N20000984,N20000984
95GG030019,N20000964,N20000964
95GG030020,N20000964,N20000966
95GG040001,N20000892,N20000892
95GG040002,N20000892,N20000893
95GG040003,N20000885,N20000887
95GG040004,N20000882,N20000882
95GG040005,N20000886,N20000886
95GG040006,N20000886,N20000886
95GG040007,N20000900,N20000900
95GG040008,N20000873,N20000873
95GG040009,N20000905,N20000894
95GG040010,N20000887,N20000887
95GG040011,N20000885,N20000904
95GG040012,N20000904,N20000904
95GG040013,N20000884,N20000884
95GG040014,N20000894,N20000894
95GG040015,N20000896,N20000896
95GG040016,N20000896,N20000896
95GG040017,N20000885,N20000885
95GG050001,N20001164,N20001164
95GG050002,N20001159,N20001159
95GG050003,N20001163,N20001163
95GG050004,N20001164,N20001164
95GG050005,N20001165,N20001165
95GG050006,N20001165,N20001165
95GG050007,N20001166,N20001166
95GG050008,N20001138,N20001138
95GG050009,N20001147,N20001147
95GG050010,N20001138,N20001141
95GG050011,N20001146,N20001146
95GG050012,N20001147,N20001147
95GG050013,N20001145,N20001154
95GG050014,N20001147,N20001146
95GG050015,N20001154,N20001154
95GG050016,N20001158,N20001158
95GG050017,N20001158,N20001158
95GG050018,N20001160,N20001160
95GG050019,N20001155,N20001155
95GG050020,N20001155,N20001155
95GG060001,N20000820,N20000820
95GG060002,N20000711,N20000711
95GG060003,N20000819,N20000819
95GG060004,N20000720,N20000720
95GG060005,N20000716,N20000716
95GG060006,N20000717,N20000717
95GG060007,N20000820,N20000820
95GG060008,N20000718,N20000718
95GG060009,N20000717,N20000717
95GG060010,N20000723,N20000723
95GG060011,N20000716,N20000716
95GG060012,N20000722,N20000722
95GG060013,N20000722,N20000722
95GG060014,N20000730,N20000720
95GG060015,N20000727,N20000727
95GG060016,N20000723,N20000723
95GG060017,N20000727,N20000727
95GG060018,N20000729,N20000729
95GG060019,N20000730,N20000730
95GG060020,N20000714,N20000714
95GG070001,N20001428,N20001436
95GG070002,N20001436,N20001442
95GG070003,N20001303,N20001303
95GG070004,N20001304,N20001304
95GG070005,N20001442,N20001442
95GG070006,N20001311,N20001311
95GG070007,N20001303,N20001303
95GG070008,N20001303,N20001307
95GG070009,N20001307,N20001307
95GG070010,N20001312,N20001316
95GG070011,N20001311,N20001311
95GG070012,N20001315,N20001315
95GG070013,N20001322,N20001322
95GG070014,N20001318,N20001318
95GG070015,N20001321,N20001321
95GG070016,N20001322,N20001322
95GG070017,N20001324,N20001322
95GG080001,N20000825,N20000795
95GG080002,N20000790,N20000790
95GG080003,N20000792,N20000792
95GG080004,N20000793,N20000793
95GG080005,N20000790,N20000790
95GG080006,N20000793,N20000792
95GG080007,N20000796,N20000796
95GG080008,N20000791,N20000791
95GG080009,N20000794,N20000794
95GG080010,N20000794,N20000794
95GG080011,N20000797,N20000794
95GG080012,N20000787,N20000787
95GG080013,N20000787,N20000787
95GG080014,N20000788,N20000788
95GG080015,N20000789,N20000788
95GG080016,N20000789,N20000789
95GG090001,N20000957,N20000957
95GG090002,N20000950,N20000951
95GG090003,N20000956,N20000956
95GG090004,N20000956,N20000956
95GG090005,N20000956,N20000957
95GG090006,N20000958,N20000958
95GG090007,N20000958,N20000958
95GG090008,N20000962,N20000962
95GG090009,N20000958,N20000958
95GG090010,N20000963,N20000963
95GG090011,N20000962,N20000962
95GG090012,N20000945,N20000945
95GG090013,N20000948,N20000948
95GG090014,N20000947,N20000947
95GG090015,N20000946,N20000946
95GG090016,N20000949,N20000949
95GG090017,N20000949,N20000949
95GG090018,N20000950,N20000950
95GG090019,N20000949,N20000949
95GG090020,N20000950,N20000950
95GG100001,N20001096,N20001096
95GG100002,N20001149,N20001117
95GG100003,N20001116,N20001116
95GG100004,N20001117,N20001117
95GG100005,N20001111,N20001111
95GG100006,N20001108,N20001106
95GG100007,N20001129,N20001116
95GG100008,N20001128,N20001128
95GG100009,N20001149,N20001149
95GG100010,N20001129,N20001129
95GG100011,N20001092,N20001092
95GG100012,N20001096,N20001096
95GG100013,N20001098,N20001098
95GG100014,N20001106,N20001106
95GG100015,N20001104,N20001104
95GG100016,N20001104,N20001104
95GG110001,N20000916,N20000916
95GG110002,N20000923,N20000923
95GG110003,N20000909,N20000897
95GG110004,N20000917,N20000917
95GG110005,N20000923,N20000923
95GG110006,N20000926,N20000926
95GG110007,N20000926,N20000926
95GG110008,N20000929,N20000929
95GG110009,N20000891,N20000891
95GG110010,N20000891,N20000891
95GG110011,N20000897,N20000897
95GG110012,N20000898,N20000898
95GG110013,N20000899,N20000899
95GG110014,N20000909,N20000909
95GG110015,N20000909,N20000907
95GG110016,N20000906,N20000906
95GG110017,N20000899,N20000917
95GG110018,N20000909,N20000909
95GG110019,N20000899,N20000911
95GG110020,N20000907,N20000907
95GG110021,N20000920,N20000916
95GG120001,N20001120,N20001120
95GG120002,N20001127,N20001127
95GG120003,N20001123,N20001123
95GG120004,N20001135,N20001135
95GG120005,N20001120,N20001130
95GG120006,N20001136,N20001134
95GG120007,N20001131,N20001131
95GG120008,N20001134,N20001131
95GG120009,N20001136,N20001112
95GG120010,N20001130,N20001130
95GG120011,N20001142,N20001134
95GG120012,N20001136,N20001136
95GG120013,N20001131,N20001131
95GG120014,N20001135,N20001135
95GG120015,N20001136,N20001136
95GG120016,N20001137,N20001137
95GG120017,N20001151,N20001142
95GG120018,N20001094,N20001094
95GG120019,N20001109,N20001109
95GG120020,N20001110,N20001110
95GG120021,N20001103,N20001112
95GG120022,N20001103,N20001107
95GG120023,N20001101,N20001101
95GG120024,N20001107,N20001107
95GG120025,N20001113,N20001113
95GG120026,N20001105,N20001107
95GG120027,N20001123,N20001123
95GG120028,N20001114,N20001114
95GG120029,N20001118,N20001118
95GG120030,N20001119,N20001119
95GG130001,N20000803,N20000803
95GG130002,N20000825,N20000801
95GG130003,N20000804,N20000804
95GG130004,N20000825,N20000813
95GG130005,N20000811,N20000811
95GG130006,N20000810,N20000810
95GG130007,N20000811,N20000811
95GG130008,N20000821,N20000813
95GG130009,N20000817,N20000811
95GG130010,N20000797,N20000797
95GG130011,N20000797,N20000798
95GG130012,N20000797,N20000800
95GG130013,N20000798,N20000798
95GG130014,N20000800,N20000800
95GG130015,N20000797,N20000797
95GG130016,N20000800,N20000800
95GG130017,N20000801,N20000801
95GG140001,N20000808,N20000808
95GG140002,N20000807,N20000807
95GG140003,N20000809,N20000816
95GG140004,N20000814,N20000814
95GG140005,N20000816,N20000816
95GG140006,N20000809,N20000805
95GG140007,N20000827,N20000816
95GG140008,N20000796,N20000796
95GG140009,N20000796,N20000805
95GG140010,N20000799,N20000799
95GG140011,N20000796,N20000802
95GG140012,N20000796,N20000809
95GG140013,N20000802,N20000802
95GG140014,N20000807,N20000807
95GG140015,N20000805,N20000805
95GG150001,N20000981,N20000981
95GG150002,N20000986,N20000986
95GG150003,N20000988,N20000988
95GG150004,N20000997,N20000997
95GG150005,N20000980,N20000980
95GG150006,N20000988,N20000988
95GG150007,N20000997,N20000997
95GG150008,N20001005,N20001005
95GG150009,N20001001,N20001001
95GG150010,N20001010,N20001001
95GG150011,N20001010,N20001005
95GG150012,N20000960,N20000977
95GG150013,N20000977,N20000977
95GG150014,N20000960,N20000960
95GG150015,N20000980,N20000980
95GG150016,N20000979,N20000979
95GG150017,N20000982,N20000982
95GG150018,N20000981,N20000981
95GG150019,N20000978,N20000978
95GG150020,N20000982,N20000982
95GG160001,N20000827,N20000827
95GG160002,N20000833,N20000831
95GG160003,N20000827,N20000815
95GG160004,N20000818,N20000818
95GG160005,N20000815,N20000815
95GG160006,N20000824,N20000824
95GG160007,N20000824,N20000824
95GG160008,N20000827,N20000834
95GG160009,N20000827,N20000830
95GG160010,N20000830,N20000830
95GG160011,N20000838,N20000838
95GG160012,N20000839,N20000839
95GG160013,N20000836,N20000836
95GG160014,N20000833,N20000836
95GG160015,N20000839,N20000841
95GG160016,N20000840,N20000836
95GG170001,N20000733,N20000733
95GG170002,N20000734,N20000735
95GG170003,N20000741,N20000734
95GG170004,N20000740,N20000740
95GG170005,N20000735,N20000735
95GG170006,N20000746,N20000749
95GG170007,N20000735,N20000735
95GG170008,N20000733,N20000739
95GG170009,N20000744,N20000744
95GG170010,N20000744,N20000744
95GG170011,N20000746,N20000746
95GG170012,N20000741,N20000741
95GG170013,N20000726,N20000726
95GG170014,N20000732,N20000732
95GG170015,N20000732,N20000732
95GG170016,N20000733,N20000733
95GG180001,N20001421,N20001421
95GG180002,N20001435,N20001435
95GG180003,N20001428,N20001428
95GG180004,N20001439,N20001439
95GG180005,N20001434,N20001434
95GG180006,N20001439,N20001439
95GG180007,N20001443,N20001443
95GG180008,N20001441,N20001441
95GG180009,N20001428,N20001428
95GG180010,N20001420,N20001420
95GG180011,N20001427,N20001427
95GG180012,N20001425,N20001419
95GG180013,N20001421,N20001426
95GG180014,N20001427,N20001428
95GG190001,N20001399,N20001399
95GG190002,N20001383,N20001383
95GG190003,N20001397,N20001397
95GG190004,N20001398,N20001395
95GG190005,N20001399,N20001398
95GG190006,N20001393,N20001393
95GG190007,N20000776,N20000776
95GG190008,N20000767,N20000767
95GG190009,N20000776,N20000776
95GG190010,N20001383,N20001390
95GG190011,N20001387,N20001387
95GG190012,N20001387,N20001387
95GG190013,N20001390,N20001390
95GG190014,N20001385,N20001385
95GG190015,N20001397,N20001397
95GG190016,N20001390,N20001390
95GG190017,N20001395,N20001395
95GG190018,N20001399,N20001399
95GG200001,N20000851,N20000851
95GG200002,N20000852,N20000853
95GG200003,N20000825,N20000854
95GG200004,N20000853,N20000853
95GG200005,N20000852,N20000852
95GG200006,N20000825,N20000844
95GG200007,N20000835,N20000835
95GG200008,N20000841,N20000841
95GG200009,N20000842,N20000842
95GG200010,N20000842,N20000842
95GG200011,N20000825,N20000844
95GG200012,N20000845,N20000845
95GG200013,N20000847,N20000847
95GG200014,N20000848,N20000848
95GG200015,N20000850,N20000850
95GG200016,N20000852,N20000852
95GG210001,N20001433,N20001429
95GG210002,N20001079,N20001418
95GG210003,N20001414,N20001423
95GG210004,N20001421,N20001429
95GG210005,N20001430,N20001430
95GG210006,N20001429,N20001429
95GG210007,N20001445,N20001437
95GG210008,N20001432,N20001432
95GG210009,N20001438,N20001438
95GG210010,N20001432,N20001440
95GG210011,N20001444,N20001444
95GG210012,N20001440,N20001440
95GG210013,N20001445,N20001445
95GG210014,N20001445,N20001444
95GG210015,N20001444,N20001444
95GG220001,N20001347,N20001347
95GG220002,N20001336,N20001340
95GG220003,N20001350,N20001350
95GG220004,N20001320,N20001327
95GG220005,N20001336,N20001322
95GG220006,N20001336,N20001336
95GG220007,N20001328,N20001328
95GG220008,N20001331,N20001331
95GG220009,N20001320,N20001326
95GG220010,N20001336,N20001330
95GG220011,N20001329,N20001329
95GG220012,N20001333,N20001333
95GG220013,N20001331,N20001331
95GG220014,N20001334,N20001334
95GG220015,N20001333,N20001334
95GG220016,N20001340,N20001340
95GG220017,N20001340,N20001340
95GG230001,N20001221,N20001215
95GG230002,N20001197,N20001204
95GG230003,N20001204,N20001204
95GG230004,N20001204,N20001209
95GG230005,N20001202,N20001202
95GG230006,N20001233,N20001212
95GG230007,N20001233,N20001209
95GG230008,N20001215,N20001215
95GG230009,N20001220,N20001215
95GG230010,N20001233,N20001230
95GG230011,N20001220,N20001220
95GG230012,N20001230,N20001230
95GG230013,N20001233,N20001220
95GG230014,N20001230,N20001230
95GG230015,N20001233,N20001220
95GG240001,N20000822,N20000826
95GG240002,N20000821,N20000821
95GG240003,N20000817,N20000823
95GG240004,N20000823,N20000823
95GG240005,N20000831,N20000831
95GG240006,N20000829,N20000823
95GG240007,N20000835,N20000835
95GG240008,N20000828,N20000828
95GG240009,N20000829,N20000829
95GG240010,N20000835,N20000835
95GG240011,N20000826,N20000826
95GG240012,N20000832,N20000832
95GG240013,N20000837,N20000837
95GG240014,N20000817,N20000817
95GG240015,N20000812,N20000812
95GG240016,N20000817,N20000822
95GG250001,N20001352,N20001352
95GG250002,N20001328,N20001328
95GG250003,N20001332,N20001339
95GG250004,N20001343,N20001343
95GG250005,N20001339,N20001339
95GG250006,N20001337,N20001337
95GG250007,N20001339,N20001339
95GG250008,N20001337,N20001342
95GG250009,N20001349,N20001349
95GG250010,N20001344,N20001348
95GG250011,N20001342,N20001342
95GG250012,N20001344,N20001344
95GG250013,N20001349,N20001349
95GG250014,N20001355,N20001355
95GG250015,N20001356,N20001353
95GG250016,N20001356,N20001236
95GG250017,N20001355,N20001355
95GG260001,N20001379,N20001379
95GG260002,N20001378,N20001378
95GG260003,N20001375,N20001375
95GG260004,N20001379,N20001379
95GG260005,N20001378,N20001380
95GG260006,N20001378,N20001369
95GG260007,N20001370,N20001372
95GG260008,N20001370,N20001370
95GG260009,N20001370,N20001370
95GG260010,N20001372,N20001372
95GG260011,N20001373,N20001373
95GG260012,N20001378,N20001378
95GG260013,N20001376,N20001374
95GG260014,N20001374,N20001374
95GG270001,N20001362,N20001362
95GG270002,N20001362,N20001362
95GG270003,N20001360,N20001360
95GG270004,N20001360,N20001360
95GG270005,N20001351,N20001351
95GG270006,N20001358,N20001356
95GG270007,N20001363,N20001363
95GG270008,N20001365,N20001365
95GG270009,N20001363,N20001363
95GG270010,N20001309,N20001309
95GG270011,N20001309,N20001309
95GG270012,N20001309,N20001309
95GG270013,N20001309,N20001341
95GG270014,N20001346,N20001346
95GG270015,N20001358,N20001358
95GG270016,N20001338,N20001348
95GG270017,N20001346,N20001346
95GG270018,N20001356,N20001356
95GG270019,N20001359,N20001359
95GG280001,N20001402,N20001391
95GG280002,N20001403,N20001403
95GG280003,N20001405,N20001405
95GG280004,N20001401,N20001422
95GG280005,N20001401,N20001405
95GG280006,N20001378,N20001416
95GG280007,N20001416,N20001416
95GG280008,N20001417,N20001417
95GG280009,N20001424,N20001424
95GG280010,N20001416,N20001416
95GG280011,N20001424,N20001424
95GG280012,N20001378,N20001388
95GG280013,N20001380,N20001380
95GG280014,N20001392,N20001392
95GG280015,N20001378,N20001402
95GG280016,N20001401,N20001401
95GG280017,N20001386,N20001386
95GG290001,N20000867,N20000871
95GG290002,N20000867,N20000875
95GG290003,N20000857,N20000882
95GG290004,N20000874,N20000874
95GG290005,N20000870,N20000870
95GG290006,N20000869,N20000872
95GG290007,N20000877,N20000877
95GG290008,N20000879,N20000876
95GG290009,N20000879,N20000879
95GG290010,N20000880,N20000880
95GG290011,N20000880,N20000880
95GG290012,N20000876,N20000872
95GG290013,N20000877,N20000877
95GG290014,N20000891,N20000878
95GG290015,N20000883,N20000883
95GG290016,N20000888,N20000888
95GG290017,N20000888,N20000888
95GG300001,N20000990,N20000990
95GG300002,N20001009,N20001009
95GG300003,N20001003,N20001003
95GG300004,N20001009,N20001009
95GG300005,N20000983,N20000983
95GG300006,N20000983,N20000983
95GG300007,N20000995,N20000995
95GG300008,N20000987,N20000987
95GG300009,N20000987,N20000987
95GG300010,N20000993,N20000993
95GG300011,N20000994,N20000994
95GG300012,N20000993,N20000993
95GG300013,N20000994,N20000994
95GG300014,N20000995,N20000995
95GG300015,N20000995,N20001010
95GG300016,N20001000,N20001000
95GG300017,N20001000,N20001000
95GG310001,N20001253,N20001253
95GG310002,N20001247,N20001247
95GG310003,N20001251,N20001251
95GG310004,N20001249,N20001249
95GG310005,N20001254,N20001247
95GG310006,N20001253,N20001253
95GG310007,N20001242,N20001242
95GG310008,N20001240,N20001240
95GG310009,N20001237,N20001237
95GG310010,N20001247,N20001247
95GG310011,N20001244,N20001244
95GG310012,N20001249,N20001249
95GG310013,N20001242,N20001242
95GG310014,N20001253,N20001244
95GG310015,N20001244,N20001244
95GG310016,N20001245,N20001245
95GG310017,N20001251,N20001251
95GG320001,N20001373,N20001373
95GG320002,N20001371,N20001371
95GG320003,N20001373,N20001373
95GG320004,N20000711,N20000713
95GG320005,N20000711,N20000715
95GG320006,N20000712,N20000715
95GG320007,N20000721,N20000721
95GG320008,N20000713,N20000719
95GG320009,N20000725,N20000725
95GG320010,N20000728,N20000728
95GG320011,N20000728,N20000728
95GG320012,N20000731,N20000731
95GG320013,N20000730,N20000730
95GG320014,N20000730,N20000730
95GG320015,N20000737,N20000737
95GG320016,N20000736,N20000736
95GG320017,N20000742,N20000742
95GG320018,N20001371,N20001371
95GG330001,N20001185,N20001185
95GG330002,N20001183,N20001183
95GG330003,N20001186,N20001186
95GG330004,N20001185,N20001185
95GG330005,N20001194,N20001191
95GG330006,N20001185,N20001185
95GG330007,N20001189,N20001189
95GG330008,N20001193,N20001193
95GG330009,N20001196,N20001196
95GG330010,N20001198,N20001198
95GG330011,N20001198,N20001198
95GG330012,N20001179,N20001179
95GG330013,N20001167,N20001167
95GG330014,N20001167,N20001169
95GG330015,N20001179,N20001179
95GG330016,N20001180,N20001180
95GG330017,N20001182,N20001181
95GG340001,N20001184,N20001184
95GG340002,N20001192,N20001192
95GG340003,N20001184,N20001184
95GG340004,N20001192,N20001192
95GG340005,N20001190,N20001190
95GG340006,N20001201,N20001201
95GG340007,N20001195,N20001195
95GG340008,N20001195,N20001195
95GG340009,N20001197,N20001197
95GG340010,N20001203,N20001203
95GG340011,N20001203,N20001203
95GG340012,N20001205,N20001205
95GG340013,N20001210,N20001210
95GG340014,N20001205,N20001205
95GG340015,N20001184,N20001186
95GG340016,N20001190,N20001190
95GG350001,N20000781,N20000781
95GG350002,N20000783,N20000783
95GG350003,N20000784,N20000784
95GG350004,N20000786,N20000786
95GG350005,N20000785,N20000785
95GG350006,N20000764,N20000764
95GG350007,N20000766,N20000766
95GG350008,N20000773,N20000766
95GG350009,N20000771,N20000771
95GG350010,N20000771,N20000771
95GG350011,N20000769,N20000769
95GG350012,N20000779,N20000779
95GG350013,N20000773,N20000779
95GG350014,N20000779,N20000780
95GG350015,N20000778,N20000778
95GG350016,N20000783,N20000782
95GG350017,N20000781,N20000781
95GG360001,N20001020,N20001022
95GG360002,N20001019,N20001019
95GG360003,N20001023,N20001023
95GG360004,N20000937,N20000937
95GG360005,N20001020,N20001020
95GG360006,N20001022,N20001022
95GG360007,N20001028,N20001028
95GG360008,N20001028,N20001028
95GG360009,N20001025,N20001025
95GG360010,N20001033,N20001033
95GG360011,N20001034,N20001034
95GG360012,N20001033,N20001033
95GG360013,N20001031,N20001031
95GG360014,N20000935,N20000935
95GG360015,N20001017,N20001017
95GG360016,N20001020,N20001020
95GG360017,N20000937,N20000935
95GG360018,N20001018,N20001018
95GG360019,N20001020,N20001017
95GG370001,N20001027,N20001027
95GG370002,N20001121,N20001121
95GG370003,N20001021,N20001021
95GG370004,N20001029,N20001029
95GG370005,N20001121,N20001024
95GG370006,N20001024,N20001027
95GG370007,N20001029,N20001029
95GG370008,N20001030,N20001027
95GG370009,N20001026,N20001026
95GG370010,N20001038,N20001038
95GG370011,N20001032,N20001032
95GG370012,N20001035,N20001035
95GG370013,N20001037,N20001037
95GG370014,N20001042,N20001042
95GG370015,N20001037,N20001036
95GG370016,N20001037,N20001037
95GG370017,N20001042,N20001035
95GG370018,N20000942,N20000942
95GG370019,N20001021,N20001021
95GG370020,N20001026,N20001026
95GG380001,N20001187,N20001187
95GG380002,N20001070,N20001072
95GG380003,N20001072,N20001072
95GG380004,N20001073,N20001073
95GG380005,N20001072,N20001072
95GG380006,N20001076,N20001076
95GG380007,N20001200,N20001200
95GG380008,N20001053,N20001053
95GG380009,N20001063,N20001063
95GG380010,N20001059,N20001059
95GG380011,N20001061,N20001061
95GG380012,N20001066,N20001066
95GG380013,N20001057,N20001057
95GG380014,N20001062,N20001062
95GG380015,N20001057,N20001057
95GG380016,N20001063,N20001063
95GG380017,N20001070,N20001070
95GG380018,N20001073,N20001073
95GG390001,N20001093,N20001093
95GG390002,N20001083,N20001083
95GG390003,N20001094,N20001101
95GG390004,N20001084,N20001095
95GG390005,N20001095,N20001100
95GG390006,N20001090,N20001090
95GG390007,N20001108,N20001099
95GG390008,N20001097,N20001097
95GG390009,N20001108,N20001108
95GG390010,N20001100,N20001100
95GG390011,N20001079,N20001083
95GG390012,N20001084,N20001084
95GG390013,N20001081,N20001081
95GG390014,N20001083,N20001083
95GG390015,N20001079,N20001085
95GG390016,N20001094,N20001086
95GG390017,N20001081,N20001081
95GG390018,N20001084,N20001093
95GG390019,N20001091,N20001091
95GG390020,N20001090,N20001093
95GG390021,N20001087,N20001087
95GG390022,N20001090,N20001090
95GG390023,N20001097,N20001097
95GG390024,N20001108,N20001095
95GG400001,N20001411,N20001411
95GG400002,N20001408,N20001408
95GG400003,N20001407,N20001407
95GG400004,N20001406,N20001406
95GG400005,N20001410,N20001410
95GG400006,N20001412,N20001412
95GG400007,N20001418,N20001418
95GG400008,N20001409,N20001409
95GG400009,N20001411,N20001408
95GG400010,N20001410,N20001410
95GG400011,N20001421,N20001421
95GG400012,N20001389,N20001389
95GG400013,N20001396,N20001389
95GG400014,N20001398,N20001398
95GG400015,N20001396,N20001396
95GG410001,N20000974,N20000974
95GG410002,N20000967,N20000982
95GG410003,N20000960,N20000955
95GG410004,N20000953,N20000953
95GG410005,N20000952,N20000953
95GG410006,N20000953,N20000952
95GG410007,N20000959,N20000959
95GG410008,N20000967,N20000955
95GG410009,N20000967,N20000959
95GG410010,N20000960,N20000965
95GG410011,N20000960,N20000965
95GG410012,N20000971,N20000971
95GG410013,N20000970,N20000970
95GG410014,N20000967,N20000971
95GG410015,N20000968,N20000968
95GG410016,N20000967,N20000971
95GG410017,N20000970,N20000975
95GG420001,N20001151,N20001151
95GG420002,N20001168,N20001157
95GG420003,N20001151,N20001151
95GG420004,N20001162,N20001162
95GG420005,N20001153,N20001153
95GG420006,N20001162,N20001162
95GG420007,N20001168,N20001168
95GG420008,N20001172,N20001169
95GG420009,N20001176,N20001176
95GG420010,N20001168,N20001170
95GG420011,N20001170,N20001170
95GG420012,N20001174,N20001174
95GG420013,N20001175,N20001175
95GG420014,N20001173,N20001175
95GG420015,N20001178,N20001174
95GG420016,N20001178,N20001174
95GG420017,N20001176,N20001176
95GG420018,N20001178,N20001178
95GG420019,N20001178,N20001177
95GG430001,N20000856,N20000858
95GG430002,N20000856,N20000856
95GG430003,N20000859,N20000860
95GG430004,N20000856,N20000856
95GG430005,N20000858,N20000858
95GG430006,N20000859,N20000859
95GG430007,N20000863,N20000863
95GG430008,N20000860,N20000860
95GG430009,N20000862,N20000862
95GG430010,N20000860,N20000862
95GG430011,N20000861,N20000861
95GG430012,N20000869,N20000869
95GG430013,N20000867,N20000867
95GG430014,N20000865,N20000865
95GG430015,N20000866,N20000866
95GG430016,N20000868,N20000866
95GG430017,N20000867,N20000867
95GG430018,N20000866,N20000866
95GG430019,N20000869,N20000869
95GG440001,N20000910,N20000910
95GG440002,N20000908,N20000908
95GG440003,N20000908,N20000908
95GG440004,N20000914,N20000914
95GG440005,N20000900,N20000915
95GG440006,N20000921,N20000925
95GG440007,N20000919,N20000919
95GG440008,N20000937,N20000927
95GG440009,N20000927,N20000936
95GG440010,N20000930,N20000930
95GG440011,N20000936,N20000936
95GG440012,N20000933,N20000933
95GG440013,N20000937,N20000932
95GG440014,N20000936,N20000936
95GG440015,N20000900,N20000900
95GG440016,N20000903,N20000903
95GG440017,N20000905,N20000905
95GG440018,N20000903,N20000903
95GG450001,N20001201,N20001194
95GG450002,N20001218,N20001218
95GG450003,N20001208,N20001208
95GG450004,N20001208,N20001208
95GG450005,N20001213,N20001213
95GG450006,N20001211,N20001211
95GG450007,N20001218,N20001214
95GG450008,N20001216,N20001216
95GG450009,N20001219,N20001219
95GG450010,N20001211,N20001211
95GG450011,N20001233,N20001226
95GG450012,N20001219,N20001231
95GG450013,N20001226,N20001226
95GG450014,N20001199,N20001199
95GG450015,N20001217,N20001217
95GG450016,N20001207,N20001207
95GG450017,N20001207,N20001207
95GG460001,N20001298,N20001299
95GG460002,N20001298,N20001298
95GG460003,N20001297,N20001297
95GG460004,N20001309,N20001308
95GG460005,N20001298,N20001298
95GG460006,N20001308,N20001308
95GG460007,N20001298,N20001298
95GG460008,N20001309,N20001323
95GG460009,N20001320,N20001317
95GG460010,N20001320,N20001320
95GG460011,N20001317,N20001317
95GG460012,N20001325,N20001325
95GG460013,N20001325,N20001325
95GG460014,N20001323,N20001325
95GG460015,N20001326,N20001326
95GG470001,N20000849,N20000849
95GG470002,N20000734,N20000745
95GG470003,N20000745,N20000745
95GG470004,N20000754,N20000754
95GG470005,N20000750,N20000750
95GG470006,N20000849,N20000849
95GG470007,N20000761,N20000761
95GG470008,N20000757,N20000757
95GG470009,N20000750,N20000750
95GG470010,N20000759,N20000759
95GG470011,N20000764,N20000772
95GG470012,N20000775,N20000775
95GG470013,N20000761,N20000761
95GG470014,N20000775,N20000774
95GG470015,N20000775,N20000783
95GG470016,N20000840,N20000840
95GG470017,N20000734,N20000738
95GG470018,N20000843,N20000848
95GG470019,N20000843,N20000848
95GG470020,N20000846,N20000846
95GG480001,N20001314,N20001314
95GG480002,N20001302,N20001302
95GG480003,N20001300,N20001300
95GG480004,N20001301,N20001306
95GG480005,N20001305,N20001305
95GG480006,N20001301,N20001301
95GG480007,N20001302,N20001302
95GG480008,N20001310,N20001310
95GG480009,N20001316,N20001316
95GG480010,N20001313,N20001313
