OA_CODE,DZ2021_cd_dominant,DZ2021_cd_point
95AA150006,N20000049,N20000049
95AA150007,N20000038,N20000036
95AA150008,N20000035,N20000035
95AA160001,N20000054,N20000054
95AA160002,N20000050,N20000050
95AA160003,N20000050,N20000050
95AA160004,N20000047,N20000046
95AA160005,N20000046,N20000046
95AA160006,N20000050,N20000050
95AA170001,N20000065,N20000065
95AA170002,N20000056,N20000060
95AA170003,N20000059,N20000059
95AA170004,N20000064,N20000064
95AA170005,N20000053,N20000053
95AA170006,N20000053,N20000053
95AA170007,N20000053,N20000056
95AA180001,N20000258,N20000257
95AA180002,N20000260,N20000260
95AA180003,N20000261,N20000261
95AA180004,N20000258,N20000259
95AA180005,N20000258,N20000258
95AA180006,N20000258,N20000258
95AA180007,N20000258,N20000263
95AA190001,N20000007,N20000007
95AA190002,N20000007,N20000007
95AA190003,N20000024,N20000024
95AA190004,N20000033,N20000033
95AA190005,N20000024,N20000024
95AA190006,N20000015,N20000015
95BB010001,N20003458,N20003462
95BB010002,N20003461,N20003463
95BB010003,N20003471,N20003471
95BB010004,N20003456,N20003464
95BB010005,N20003456,N20003465
95BB010006,N20003471,N20003463
95BB010007,N20003463,N20003463
95BB010008,N20003471,N20003468
95BB010009,N20003466,N20003466
95BB020001,N20003535,N20003526
95BB020002,N20003535,N20003535
95BB020003,N20003518,N20003521
95BB020004,N20003521,N20003521
95BB020005,N20003524,N20003524
95BB020006,N20003527,N20003521
95BB020007,N20003527,N20003526
95BB020008,N20003527,N20003527
95BB020009,N20003523,N20003523
95BB020010,N20003521,N20003521
95BB030001,N20003754,N20003754
95BB030002,N20003752,N20003752
95BB030003,N20003747,N20003747
95BB030004,N20003746,N20003752
95BB030005,N20003755,N20003755
95BB030006,N20003755,N20003755
95BB030007,N20003755,N20003753
95BB030008,N20003747,N20003749
95BB030009,N20003747,N20003748
95BB030010,N20003751,N20003750
95BB030011,N20003747,N20003750
95BB040001,N20003516,N20003516
95BB040002,N20003516,N20003508
95BB040003,N20003475,N20003475
95BB040004,N20003523,N20003508
95BB040005,N20003523,N20003523
95BB040006,N20003483,N20003483
95BB040007,N20003490,N20003490
95BB040008,N20003475,N20003494
95BB040009,N20003490,N20003490
95BB040010,N20003500,N20003500
95BB050001,N20003737,N20003737
95BB050002,N20003743,N20003743
95BB050003,N20003746,N20003744
95BB050004,N20003743,N20003743
95BB050005,N20003741,N20003742
95BB050006,N20003744,N20003744
95BB050007,N20003746,N20003741
95BB050008,N20003745,N20003745
95BB050009,N20003746,N20003747
95BB060001,N20003518,N20003518
95BB060002,N20003529,N20003529
95BB060003,N20003522,N20003522
95BB060004,N20003503,N20003503
95BB060005,N20003502,N20003502
95BB060006,N20003504,N20003504
95BB060007,N20003502,N20003503
95BB060008,N20003513,N20003513
95BB060009,N20003512,N20003512
95BB060010,N20003509,N20003509
95BB060011,N20003510,N20003510
95BB070001,N20003445,N20003444
95BB070002,N20003443,N20003443
95BB070003,N20003440,N20003449
95BB070004,N20003450,N20003450
95BB070005,N20003450,N20003450
95BB070006,N20003433,N20003433
95BB070007,N20003450,N20003449
95BB070008,N20003439,N20003439
95BB070009,N20003438,N20003438
95BB070010,N20003447,N20003445
95BB080001,N20003436,N20003436
95BB080002,N20003440,N20003440
95BB080003,N20003435,N20003435
95BB080004,N20003438,N20003438
95BB080005,N20003441,N20003441
95BB080006,N20003436,N20003436
95BB080007,N20003433,N20003434
95BB080008,N20003433,N20003432
95BB080009,N20003434,N20003434
95BB090001,N20003456,N20003448
95BB090002,N20003433,N20003442
95BB090003,N20003451,N20003451
95BB090004,N20003433,N20003448
95BB090005,N20003446,N20003446
95BB090006,N20003456,N20003448
95BB090007,N20003456,N20003452
95BB090008,N20003433,N20003433
95BB090009,N20003437,N20003437
95BB100001,N20003711,N20003711
95BB100002,N20003713,N20003713
95BB100003,N20003718,N20003718
95BB100004,N20003718,N20003718
95BB100005,N20003726,N20003685
95BB100006,N20003721,N20003721
95BB100007,N20003685,N20003693
95BB100008,N20003685,N20003704
95BB100009,N20003713,N20003700
95BB100010,N20003713,N20003707
95BB100011,N20003704,N20003707
95BB110001,N20003715,N20003715
95BB110002,N20003722,N20003722
95BB110003,N20003726,N20003720
95BB110004,N20003720,N20003720
95BB110005,N20003722,N20003722
95BB110006,N20003723,N20003723
95BB110007,N20003725,N20003718
95BB110008,N20003724,N20003724
95BB110009,N20003725,N20003725
95BB110010,N20003726,N20003727
95BB110011,N20003727,N20003725
95BB120001,N20003474,N20003474
95BB120002,N20003482,N20003486
95BB120003,N20003493,N20003485
95BB120004,N20003493,N20003485
95BB120005,N20003495,N20003495
95BB120006,N20003493,N20003493
95BB120007,N20003499,N20003499
95BB120008,N20003474,N20003474
95BB120009,N20003475,N20003478
95BB130001,N20003514,N20003514
95BB130002,N20003514,N20003514
95BB130003,N20003507,N20003507
95BB130004,N20003506,N20003506
95BB130005,N20003519,N20003515
95BB130006,N20003519,N20003519
95BB130007,N20003514,N20003514
95BB130008,N20003517,N20003517
95BB130009,N20003525,N20003525
95BB130010,N20003740,N20003520
95BB130011,N20003528,N20003528
95BB130012,N20003740,N20003528
95BB130013,N20003507,N20003507
95BB140001,N20003467,N20003467
95BB140002,N20003459,N20003470
95BB140003,N20003467,N20003467
95BB140004,N20003469,N20003469
95BB140005,N20003469,N20003469
95BB140006,N20003469,N20003473
95BB140007,N20003473,N20003473
95BB140008,N20003473,N20003473
95BB150001,N20003773,N20003773
95BB150002,N20003771,N20003772
95BB150003,N20003774,N20003774
95BB150004,N20003756,N20003756
95BB150005,N20003760,N20003760
95BB150006,N20003759,N20003759
95BB150007,N20003760,N20003760
95BB150008,N20003763,N20003763
95BB160001,N20003458,N20003454
95BB160002,N20003459,N20003459
95BB160003,N20003467,N20003467
95BB160004,N20003458,N20003453
95BB160005,N20003456,N20003456
95BB160006,N20003457,N20003457
95BB160007,N20003456,N20003456
95BB160008,N20003458,N20003458
95BB170001,N20003740,N20003740
95BB170002,N20003731,N20003731
95BB170003,N20003739,N20003492
95BB170004,N20003739,N20003739
95BB170005,N20003492,N20003492
95BB170006,N20003738,N20003738
95BB170007,N20003740,N20003738
95BB170008,N20003505,N20003505
95BB170009,N20003505,N20003505
95BB170010,N20003515,N20003515
95BB170011,N20003515,N20003515
95BB180001,N20003730,N20003733
95BB180002,N20003736,N20003736
95BB180003,N20003730,N20003730
95BB180004,N20003732,N20003732
95BB180005,N20003737,N20003734
95BB180006,N20003734,N20003735
95BB180007,N20003735,N20003735
95BB180008,N20003728,N20003728
95BB180009,N20003730,N20003730
95BB180010,N20003730,N20003729
95BB190001,N20003477,N20003484
95BB190002,N20003481,N20003481
95BB190003,N20003484,N20003484
95BB190004,N20003491,N20003491
95BB190005,N20003488,N20003488
95BB190006,N20003488,N20003488
95BB190007,N20003501,N20003501
95BB190008,N20003497,N20003488
95BB190009,N20003491,N20003491
95BB190010,N20003498,N20003498
95BB190011,N20003489,N20003506
95BB190012,N20003497,N20003492
95BB190013,N20003506,N20003506
95BB190014,N20003477,N20003477
95BB200001,N20003780,N20003780
95BB200002,N20003773,N20003775
95BB200003,N20003774,N20003774
95BB200004,N20003773,N20003776
95BB200005,N20003777,N20003777
95BB200006,N20003775,N20003775
95BB200007,N20003780,N20003778
95BB200008,N20003779,N20003779
95BB200009,N20003780,N20003779
95BB210001,N20003767,N20003767
95BB210002,N20003765,N20003766
95BB210003,N20003761,N20003761
95BB210004,N20003762,N20003762
95BB210005,N20003767,N20003768
95BB210006,N20003768,N20003766
95BB210007,N20003767,N20003767
95BB210008,N20003770,N20003769
95BB210009,N20003761,N20003758
95BB210010,N20003761,N20003758
95BB210011,N20003767,N20003765
95BB220001,N20003530,N20003530
95BB220002,N20003531,N20003531
95BB220003,N20003531,N20003531
95BB220004,N20003533,N20003533
95BB220005,N20003532,N20003532
95BB220006,N20003532,N20003532
95BB220007,N20003533,N20003533
95BB220008,N20003536,N20003536
95BB220009,N20003535,N20003536
95BB230001,N20003502,N20003502
95BB230002,N20003474,N20003476
95BB230003,N20003476,N20003476
95BB230004,N20003480,N20003480
95BB230005,N20003479,N20003479
95BB230006,N20003487,N20003487
95BB230007,N20003482,N20003482
95BB230008,N20003487,N20003487
95BB230009,N20003496,N20003496
95CC010001,N20000303,N20000304
95CC010002,N20000303,N20000303
95CC010003,N20000302,N20000303
95CC010004,N20000309,N20000313
95CC010005,N20000312,N20000312
95CC010006,N20000302,N20000312
95CC020001,N20000301,N20000301
95CC020002,N20000299,N20000299
95CC020003,N20000300,N20000300
95CC020004,N20000302,N20000302
95CC020005,N20000305,N20000305
95CC020006,N20000310,N20000310
95CC030001,N20000322,N20000322
95CC030002,N20000317,N20000322
95CC030003,N20000317,N20000316
95CC030004,N20000313,N20000313
95CC030005,N20000319,N20000319
95CC030006,N20000318,N20000317
95CC030007,N20000321,N20000321
95CC040001,N20000707,N20000707
95CC040002,N20000705,N20000705
95CC040003,N20000701,N20000701
95CC040004,N20000709,N20000706
95CC040005,N20000709,N20000710
95CC040006,N20000710,N20000710
95CC050001,N20000295,N20000297
95CC050002,N20000300,N20000297
95CC050003,N20000298,N20000298
95CC050004,N20000295,N20000295
95CC050005,N20000369,N20000369
95CC050006,N20000296,N20000296
95CC060001,N20000339,N20000334
95CC060002,N20000339,N20000337
95CC060003,N20000331,N20000336
95CC060004,N20000325,N20000325
95CC060005,N20000331,N20000328
95CC060006,N20000332,N20000332
95CC060007,N20000333,N20000333
95CC060008,N20000332,N20000332
95CC070001,N20000354,N20000354
95CC070002,N20000710,N20000350
95CC070003,N20000353,N20000353
95CC070004,N20000347,N20000346
95CC070005,N20000355,N20000355
95CC070006,N20000354,N20000354
95CC070007,N20000350,N20000350
95CC080001,N20000327,N20000327
95CC080002,N20000323,N20000323
95CC080003,N20000329,N20000329
95CC080004,N20000327,N20000327
95CC080005,N20000329,N20000329
95CC080006,N20000331,N20000330
95CC080007,N20000331,N20000331
95CC090001,N20000689,N20000687
95CC090002,N20000681,N20000681
95CC090003,N20000685,N20000685
95CC090004,N20000681,N20000687
95CC090005,N20000691,N20000691
95CC090006,N20000689,N20000689
95CC090007,N20000676,N20000676
95CC100001,N20000674,N20000681
95CC100002,N20000418,N20000418
95CC100003,N20000416,N20000416
95CC100004,N20000418,N20000681
95CC100005,N20000665,N20000664
95CC100006,N20000664,N20000664
95CC110001,N20000352,N20000352
95CC110002,N20000351,N20000351
95CC110003,N20000352,N20000351
95CC110004,N20000348,N20000348
95CC110005,N20000349,N20000349
95CC110006,N20000349,N20000349
95CC120001,N20000699,N20000699
95CC120002,N20000702,N20000702
95CC120003,N20000703,N20000703
95CC120004,N20000699,N20000699
95CC120005,N20000709,N20000709
95CC120006,N20000688,N20000688
95CC120007,N20000688,N20000688
95CC130001,N20000342,N20000342
95CC130002,N20000346,N20000346
95CC130003,N20000347,N20000347
95CC130004,N20000340,N20000340
95CC130005,N20000338,N20000305
95CC130006,N20000344,N20000344
95CC140001,N20000678,N20000678
95CC140002,N20000685,N20000685
95CC140003,N20000676,N20000685
95CC140004,N20000672,N20000667
95CC140005,N20000667,N20000670
95CC140006,N20000675,N20000675
95CC140007,N20000680,N20000680
95CC150001,N20000367,N20000367
95CC150002,N20000401,N20000401
95CC150003,N20000383,N20000383
95CC150004,N20000418,N20000408
95CC150005,N20000363,N20000363
95CC150006,N20000367,N20000367
95CC150007,N20000367,N20000383
95CC160001,N20000703,N20000703
95CC160002,N20000708,N20000708
95CC160003,N20000691,N20000696
95CC160004,N20000696,N20000696
95CC160005,N20000689,N20000697
95CC160006,N20000700,N20000700
95CC160007,N20000695,N20000700
95CC170001,N20000343,N20000343
95CC170002,N20000343,N20000343
95CC170003,N20000338,N20000341
95CC170004,N20000345,N20000345
95CC170005,N20000341,N20000341
95CC170006,N20000341,N20000339
95CC180001,N20000302,N20000306
95CC180002,N20000304,N20000308
95CC180003,N20000307,N20000307
95CC180004,N20000311,N20000311
95CC180005,N20000304,N20000306
95CC180006,N20000315,N20000315
95CC180007,N20000313,N20000313
95CC190001,N20000694,N20000694
95CC190002,N20000692,N20000647
95CC190003,N20000654,N20000654
95CC190004,N20000692,N20000692
95CC190005,N20000704,N20000704
95CC190006,N20000694,N20000694
95CC200001,N20000689,N20000673
95CC200002,N20000671,N20000671
95CC200003,N20000669,N20000671
95CC200004,N20000671,N20000673
95CC200005,N20000681,N20000677
95CC200006,N20000689,N20000677
95CC200007,N20000665,N20000669
95CC200008,N20000665,N20000666
95CC200009,N20000681,N20000668
95CC210001,N20000685,N20000682
95CC210002,N20000672,N20000683
95CC210003,N20000692,N20000686
95CC210004,N20000692,N20000686
95CC210005,N20000420,N20000672
95CC210006,N20000678,N20000678
95CC210007,N20000679,N20000679
95CC210008,N20000684,N20000684
95CC220001,N20000324,N20000325
95CC220002,N20000326,N20000326
95CC220003,N20000324,N20000324
95CC220004,N20000314,N20000314
95CC220005,N20000315,N20000315
95CC220006,N20000315,N20000320
95CC220007,N20000326,N20000326
95DD010001,N20002621,N20002621
95DD010002,N20002615,N20002615
95DD010003,N20002623,N20002623
95DD010004,N20002609,N20002609
95DD010005,N20002609,N20002609
95DD010006,N20002618,N20002610
95DD020001,N20002564,N20002564
95DD020002,N20002564,N20002574
