SA2011,age_band,religion_brought_up_in,count
N00000001,0-24,Catholic,67
N00000001,0-24,Protestant and Other Christian,216
N00000001,0-24,Other religions and none,239
N00000001,25-44,Catholic,83
N00000001,25-44,Protestant and Other Christian,281
N00000001,25-44,Other religions and none,188
N00000001,45+,Catholic,11
N00000001,45+,Protestant and Other Christian,19
N00000001,45+,Other religions and none,9
N00000002,0-24,Catholic,84
N00000002,0-24,Protestant and Other Christian,19
N00000002,0-24,Other religions and none,6
N00000002,25-44,Catholic,79
N00000002,25-44,Protestant and Other Christian,19
N00000002,25-44,Other religions and none,6
N00000002,45+,Catholic,72
N00000002,45+,Protestant and Other Christian,64
N00000002,45+,Other religions and none,2
N00000003,0-24,Catholic,42
N00000003,0-24,Protestant and Other Christian,31
N00000003,0-24,Other religions and none,3
N00000003,25-44,Catholic,23
N00000003,25-44,Protestant and Other Christian,25
N00000003,25-44,Other religions and none,1
N00000003,45+,Catholic,47
N00000003,45+,Protestant and Other Christian,63
N00000003,45+,Other religions and none,2
N00000004,0-24,Catholic,145
N00000004,0-24,Protestant and Other Christian,67
N00000004,0-24,Other religions and none,23
N00000004,25-44,Catholic,72
N00000004,25-44,Protestant and Other Christian,59
N00000004,25-44,Other religions and none,3
N00000004,45+,Catholic,103
N00000004,45+,Protestant and Other Christian,141
N00000004,45+,Other religions and none,3
N00000005,0-24,Catholic,74
N00000005,0-24,Protestant and Other Christian,42
N00000005,0-24,Other religions and none,20
N00000005,25-44,Catholic,47
N00000005,25-44,Protestant and Other Christian,50
N00000005,25-44,Other religions and none,6
N00000005,45+,Catholic,64
N00000005,45+,Protestant and Other Christian,69
N00000005,45+,Other religions and none,2
N00000006,0-24,Catholic,51
N00000006,0-24,Protestant and Other Christian,17
N00000006,0-24,Other religions and none,7
N00000006,25-44,Catholic,45
N00000006,25-44,Protestant and Other Christian,24
N00000006,25-44,Other religions and none,1
N00000006,45+,Catholic,55
N00000006,45+,Protestant and Other Christian,46
N00000006,45+,Other religions and none,5
N00000007,0-24,Catholic,19
N00000007,0-24,Protestant and Other Christian,48
N00000007,0-24,Other religions and none,11
N00000007,25-44,Catholic,17
N00000007,25-44,Protestant and Other Christian,39
N00000007,25-44,Other religions and none,4
N00000007,45+,Catholic,26
N00000007,45+,Protestant and Other Christian,79
N00000007,45+,Other religions and none,2
N00000008,0-24,Catholic,26
N00000008,0-24,Protestant and Other Christian,32
N00000008,0-24,Other religions and none,15
N00000008,25-44,Catholic,32
N00000008,25-44,Protestant and Other Christian,46
N00000008,25-44,Other religions and none,14
N00000008,45+,Catholic,30
N00000008,45+,Protestant and Other Christian,84
N00000008,45+,Other religions and none,9
N00000009,0-24,Catholic,38
N00000009,0-24,Protestant and Other Christian,150
N00000009,0-24,Other religions and none,38
N00000009,25-44,Catholic,70
N00000009,25-44,Protestant and Other Christian,181
N00000009,25-44,Other religions and none,31
N00000009,45+,Catholic,33
N00000009,45+,Protestant and Other Christian,182
N00000009,45+,Other religions and none,4
N00000010,0-24,Catholic,13
N00000010,0-24,Protestant and Other Christian,51
N00000010,0-24,Other religions and none,14
N00000010,25-44,Catholic,7
N00000010,25-44,Protestant and Other Christian,42
N00000010,25-44,Other religions and none,5
N00000010,45+,Catholic,10
N00000010,45+,Protestant and Other Christian,98
N00000010,45+,Other religions and none,2
N00000011,0-24,Catholic,21
N00000011,0-24,Protestant and Other Christian,38
N00000011,0-24,Other religions and none,11
N00000011,25-44,Catholic,22
N00000011,25-44,Protestant and Other Christian,40
N00000011,25-44,Other religions and none,4
N00000011,45+,Catholic,49
N00000011,45+,Protestant and Other Christian,107
N00000011,45+,Other religions and none,1
N00000012,0-24,Catholic,23
N00000012,0-24,Protestant and Other Christian,37
N00000012,0-24,Other religions and none,6
N00000012,25-44,Catholic,23
N00000012,25-44,Protestant and Other Christian,45
N00000012,25-44,Other religions and none,5
N00000012,45+,Catholic,38
N00000012,45+,Protestant and Other Christian,82
N00000012,45+,Other religions and none,5
N00000013,0-24,Catholic,19
N00000013,0-24,Protestant and Other Christian,37
N00000013,0-24,Other religions and none,12
N00000013,25-44,Catholic,30
N00000013,25-44,Protestant and Other Christian,37
N00000013,25-44,Other religions and none,2
N00000013,45+,Catholic,40
N00000013,45+,Protestant and Other Christian,91
N00000013,45+,Other religions and none,0
N00000014,0-24,Catholic,54
N00000014,0-24,Protestant and Other Christian,59
N00000014,0-24,Other religions and none,18
N00000014,25-44,Catholic,66
N00000014,25-44,Protestant and Other Christian,84
N00000014,25-44,Other religions and none,18
N00000014,45+,Catholic,60
N00000014,45+,Protestant and Other Christian,97
N00000014,45+,Other religions and none,4
N00000015,0-24,Catholic,12
N00000015,0-24,Protestant and Other Christian,34
N00000015,0-24,Other religions and none,5
N00000015,25-44,Catholic,11
N00000015,25-44,Protestant and Other Christian,37
N00000015,25-44,Other religions and none,3
N00000015,45+,Catholic,51
N00000015,45+,Protestant and Other Christian,72
N00000015,45+,Other religions and none,1
N00000016,0-24,Catholic,10
N00000016,0-24,Protestant and Other Christian,31
N00000016,0-24,Other religions and none,11
N00000016,25-44,Catholic,12
N00000016,25-44,Protestant and Other Christian,41
N00000016,25-44,Other religions and none,6
N00000016,45+,Catholic,29
N00000016,45+,Protestant and Other Christian,79
N00000016,45+,Other religions and none,4
N00000017,0-24,Catholic,19
N00000017,0-24,Protestant and Other Christian,87
N00000017,0-24,Other religions and none,26
N00000017,25-44,Catholic,18
N00000017,25-44,Protestant and Other Christian,60
N00000017,25-44,Other religions and none,13
N00000017,45+,Catholic,6
N00000017,45+,Protestant and Other Christian,107
N00000017,45+,Other religions and none,4
N00000018,0-24,Catholic,8
N00000018,0-24,Protestant and Other Christian,54
N00000018,0-24,Other religions and none,18
N00000018,25-44,Catholic,13
N00000018,25-44,Protestant and Other Christian,47
N00000018,25-44,Other religions and none,3
N00000018,45+,Catholic,6
N00000018,45+,Protestant and Other Christian,77
N00000018,45+,Other religions and none,3
N00000019,0-24,Catholic,4
N00000019,0-24,Protestant and Other Christian,58
N00000019,0-24,Other religions and none,17
N00000019,25-44,Catholic,3
N00000019,25-44,Protestant and Other Christian,52
N00000019,25-44,Other religions and none,12
N00000019,45+,Catholic,6
N00000019,45+,Protestant and Other Christian,107
N00000019,45+,Other religions and none,2
N00000020,0-24,Catholic,12
N00000020,0-24,Protestant and Other Christian,64
N00000020,0-24,Other religions and none,11
N00000020,25-44,Catholic,4
N00000020,25-44,Protestant and Other Christian,53
N00000020,25-44,Other religions and none,10
N00000020,45+,Catholic,7
N00000020,45+,Protestant and Other Christian,74
N00000020,45+,Other religions and none,1
N00000021,0-24,Catholic,9
N00000021,0-24,Protestant and Other Christian,49
N00000021,0-24,Other religions and none,20
N00000021,25-44,Catholic,16
N00000021,25-44,Protestant and Other Christian,55
N00000021,25-44,Other religions and none,9
N00000021,45+,Catholic,17
N00000021,45+,Protestant and Other Christian,90
N00000021,45+,Other religions and none,4
N00000022,0-24,Catholic,12
N00000022,0-24,Protestant and Other Christian,61
N00000022,0-24,Other religions and none,15
N00000022,25-44,Catholic,9
N00000022,25-44,Protestant and Other Christian,45
N00000022,25-44,Other religions and none,6
N00000022,45+,Catholic,15
N00000022,45+,Protestant and Other Christian,101
N00000022,45+,Other religions and none,5
N00000023,0-24,Catholic,3
N00000023,0-24,Protestant and Other Christian,30
N00000023,0-24,Other religions and none,18
N00000023,25-44,Catholic,6
N00000023,25-44,Protestant and Other Christian,49
N00000023,25-44,Other religions and none,6
N00000023,45+,Catholic,2
N00000023,45+,Protestant and Other Christian,102
N00000023,45+,Other religions and none,2
N00000024,0-24,Catholic,25
N00000024,0-24,Protestant and Other Christian,134
N00000024,0-24,Other religions and none,28
N00000024,25-44,Catholic,21
N00000024,25-44,Protestant and Other Christian,117
N00000024,25-44,Other religions and none,7
N00000024,45+,Catholic,18
N00000024,45+,Protestant and Other Christian,179
N00000024,45+,Other religions and none,4
N00000025,0-24,Catholic,22
N00000025,0-24,Protestant and Other Christian,99
N00000025,0-24,Other religions and none,14
N00000025,25-44,Catholic,15
N00000025,25-44,Protestant and Other Christian,70
N00000025,25-44,Other religions and none,6
N00000025,45+,Catholic,32
N00000025,45+,Protestant and Other Christian,191
N00000025,45+,Other religions and none,11
N00000026,0-24,Catholic,35
N00000026,0-24,Protestant and Other Christian,103
N00000026,0-24,Other religions and none,15
N00000026,25-44,Catholic,29
N00000026,25-44,Protestant and Other Christian,71
N00000026,25-44,Other religions and none,6
N00000026,45+,Catholic,38
N00000026,45+,Protestant and Other Christian,163
N00000026,45+,Other religions and none,6
N00000027,0-24,Catholic,128
N00000027,0-24,Protestant and Other Christian,63
N00000027,0-24,Other religions and none,12
N00000027,25-44,Catholic,98
N00000027,25-44,Protestant and Other Christian,45
N00000027,25-44,Other religions and none,9
N00000027,45+,Catholic,83
N00000027,45+,Protestant and Other Christian,93
N00000027,45+,Other religions and none,9
N00000028,0-24,Catholic,64
N00000028,0-24,Protestant and Other Christian,14
N00000028,0-24,Other religions and none,8
N00000028,25-44,Catholic,37
N00000028,25-44,Protestant and Other Christian,9
N00000028,25-44,Other religions and none,4
N00000028,45+,Catholic,70
N00000028,45+,Protestant and Other Christian,29
N00000028,45+,Other religions and none,1
N00000029,0-24,Catholic,14
N00000029,0-24,Protestant and Other Christian,101
N00000029,0-24,Other religions and none,22
N00000029,25-44,Catholic,11
N00000029,25-44,Protestant and Other Christian,73
N00000029,25-44,Other religions and none,12
N00000029,45+,Catholic,16
N00000029,45+,Protestant and Other Christian,144
N00000029,45+,Other religions and none,10
N00000030,0-24,Catholic,28
N00000030,0-24,Protestant and Other Christian,83
N00000030,0-24,Other religions and none,8
N00000030,25-44,Catholic,21
