Ward Code,Ward Name,LGD Name,Multiple Deprivation Measure Score,Rank of Multiple Deprivation Measure Domain,Income Domain Score,Rank of Income Domain,Employment Domain Score,Rank of Employment Domain,Health Domain Score,Rank of Health Domain,Education Domain Score,Rank of Education Domain,Access Domain Score,Rank of Access Domain,Social Environment Domain Score,Rank of Social Environment Domain,Housing Domain Score,Rank of Housing Domain,MDM_decile
101,Aldergrove,Antrim,11.1698145498987,414,5.17186321800744,560,10.0921843353804,392,0.0559017039781405,259,-0.603157912722082,425,0.651970167774889,145,-0.94313311473834,501,0.318746285318765,81,8
102,Balloo,Antrim,14.8856282160144,348,18.3246799852801,417,12.823577572471,250,-0.399067291965625,403,0.578546725014361,150,-0.277642492344066,328,0.5066595967329,147,0.198877139976996,513,7
103,Ballycraigy,Antrim,20.638120003502,250,31.2647752930724,207,11.9390891495658,295,-0.311722459031158,385,1.07918304511088,65,-0.220151028141016,311,0.257669824457535,197,0.211012196527981,475,5
104,Clady,Antrim,5.26801792383398,514,8.42379891020125,530,6.17154794668935,535,-1.34126809556465,548,-0.851332399584071,471,0.699275193412798,131,-0.311987949739364,359,0.117640891484277,566,10
105,Cranfield,Antrim,8.6294268812992,454,20.3762262491477,385,9.38895438624873,430,-0.560919291556008,440,-0.542490896872399,411,0.355400996707698,206,-0.400593685954693,382,0.207175092385702,487,9
106,Crumlin,Antrim,12.2864286169476,398,20.2346745709792,386,9.10910581341196,439,0.204279614504887,201,-0.0882547493038581,306,0.264056936050442,227,-0.190879110380004,328,0.229281469274781,412,8
107,Drumanaway,Antrim,12.0659566074086,402,19.7965840254609,393,10.278096927507,384,-0.467348814335993,424,0.28132695812152,210,0.342072408871536,212,-0.270071407942537,349,0.25244493729192,318,8
108,Fountain Hill,Antrim,25.0348141399346,189,38.4711356200108,119,12.1971684559469,278,0.191339773508917,207,0.797903841293484,101,-0.421897677083169,373,0.642512000396725,122,0.231535633962195,397,4
109,Greystone,Antrim,8.77890698418686,450,20.5497568692045,381,7.80722125495447,475,-0.900172407660794,506,-0.0993163140641928,310,-0.29014776637875,332,0.384452866075998,165,0.23845224621532,372,8
110,Massereene,Antrim,7.69941822384721,475,13.6238726149634,467,5.54247798588287,550,-0.0955994074491615,315,-0.108798778285519,311,-0.635612665883067,431,0.612859557339833,126,0.195024417221514,529,9
111,New Park,Antrim,23.006582449945,218,31.9663381642249,192,12.9048036868193,246,-0.0596269305955435,306,1.12272182718429,61,-0.019342085254679,265,0.00838627786324615,277,0.207393693733901,486,4
112,Randalstown,Antrim,8.26741860551189,462,18.2719078170069,419,9.13907281602974,437,-0.774685957999685,485,-0.60048231957484,422,0.230275665555033,230,0.0646275865319567,262,0.251212823948759,327,9
113,Rathenraw,Antrim,39.6569931730123,69,44.5691682710145,70,15.5295041728253,128,0.747960418515849,86,1.32999731049685,44,-0.0184429668108394,263,1.22454809830562,46,0.24485208482021,348,2
114,Springfarm,Antrim,19.6378650849891,261,25.3474130383281,304,10.9268088534439,354,0.62111874930526,101,0.54981172558019,157,-0.0516278826454392,274,0.161981484320061,230,0.252859304591835,315,5
115,Steeple,Antrim,18.5878396623728,280,27.3028200618316,269,11.4479953653657,326,0.0685123284527976,255,0.53413792876425,161,-0.588684124376696,424,0.910263576853023,77,0.291879698319456,163,5
116,Stiles,Antrim,15.7949809732433,330,26.6986594832031,277,10.6015345580069,372,-0.288978068614133,377,0.503750835618157,168,-0.302365674295346,336,1.16098400173711,50,0.159753437930898,564,6
117,Tardree,Antrim,6.50575285662983,494,10.7164757876995,504,6.91661547914488,510,-1.28078783564597,546,-1.05380359696144,501,0.821434010578646,106,-0.573040465536828,424,0.250452974410973,332,9
118,Templepatrick,Antrim,5.76716733601452,506,7.10463798254695,545,6.02186509987509,537,-0.989844606647758,516,-1.29424168717071,523,0.555450925504875,161,-0.544532228956586,415,0.293690094425698,156,9
119,Toome,Antrim,16.023736682946,324,31.9395645900637,194,9.87004297393747,406,-0.478941181738877,428,-0.561062742783794,416,1.01235995884415,75,-0.454466030119518,394,0.280993907860609,201,6
201,Ballygowan,Ards,5.69495876713857,507,10.1842121704074,511,6.54906235171009,526,-0.900029677834278,505,-0.773425804419554,461,0.483468734792019,179,-0.681412477261498,445,0.256238113558498,304,9
202,Ballywalter,Ards,13.9312819651302,369,19.218492167466,403,11.8749114381082,298,-0.429976666616935,413,0.072064985105719,261,0.589194073554376,154,0.208613052433581,218,0.251490381377889,324,7
203,Bradshaw's Brae,Ards,4.21435470697453,531,7.88535764084439,535,6.94370103674141,509,-0.791937759197813,488,-1.69368573032046,545,-0.256970077288196,321,-0.361012804894767,370,0.264868454141695,267,10
204,Central,Ards,25.2188517309811,183,25.526639518377,297,15.1165605500274,141,0.562920952172836,112,0.524468705894526,164,-1.44895876523554,543,1.11068672192832,52,0.291273442176632,164,4
205,Comber North,Ards,12.734047765718,390,19.2091850026431,404,7.77194774290682,476,0.154785815337134,222,0.486231804721681,173,-0.312258837331768,338,-0.115339547482697,305,0.25925614099353,290,7
206,Comber South,Ards,6.40631150365515,495,13.4433340308294,471,8.18674023274951,467,-0.46552535946032,423,-1.27133272453099,520,-0.118522636289267,285,-0.249735868085562,344,0.263328692623539,271,9
207,Comber West,Ards,4.29249276395365,529,7.72241459082897,536,5.71372735420537,545,-0.795982984732752,489,-1.30244005129823,525,-0.0875144628575855,276,-0.309705166127457,358,0.263255970376515,272,10
208,Donaghadee North,Ards,5.93362847087463,504,12.8140991908511,480,6.67744740535079,524,-0.964428699448554,513,-1.32480197986733,527,0.389341736504318,198,-0.324780510145613,364,0.275552744544097,219,9
209,Donaghadee South,Ards,15.1933521530824,340,24.3356858511383,320,11.5959597862145,317,-0.256289331452409,368,0.506058107654684,167,-0.277419824270371,327,0.364164474493578,173,0.238647063702091,371,7
210,Glen,Ards,14.2837793379763,361,29.9987993387499,228,11.7310376850636,306,-0.39376072558165,401,-0.276641629532021,355,-0.437179409879647,378,0.436601199729557,155,0.240231319364698,365,7
211,Killinchy,Ards,7.9374149748531,467,8.69423649552622,525,6.42473632954605,529,-0.79603611011856,490,-0.967383043692576,488,0.842223312024838,101,-0.729304233905159,454,0.311533523087822,95,9
212,Kircubbin,Ards,14.3767479844049,360,21.3407341703609,369,9.4292127369544,425,0.0788092769351617,249,0.294967913162901,208,0.70672560687726,128,-0.38922199288456,377,0.225358428406948,427,7
213,Loughries,Ards,16.0438319973322,323,24.5550633250648,315,9.97326438218516,398,0.156737104215725,220,0.564412171315743,152,-0.132017991822139,289,0.374340958194301,171,0.210304819294918,480,6
