W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
down--cathedral,CATHEDRAL,DOWN,Cathedral,2389,1196,1193,3940,1961,1979,64.9
down--crossgar,CROSSGAR,DOWN,Crossgar,2151,1079,1072,2288,1158,1130,6.4
down--derryboy,DERRYBOY,DOWN,Derryboy,1995,994,1001,1812,909,903,-9.2
down--donard,DONARD,DOWN,Donard,2165,983,1182,2115,976,1139,-2.3
down--dundrum,DUNDRUM,DOWN,Dundrum,2245,1173,1072,2284,1170,1114,1.7
down--dunmore,DUNMORE,DOWN,Dunmore,2230,1135,1095,2279,1177,1102,2.2
down--killough,KILLOUGH,DOWN,Kiilough,3295,1802,1493,3185,1795,1390,-3.3
down--killyleagh,KILLYLEAGH,DOWN,Killyleagh,2359,1192,1167,2365,1187,1178,0.3
down--kilmore,KILMORE,DOWN,Kilmore,2151,1085,1066,2455,1215,1240,14.1
down--market,MARKET,DOWN,Market,2179,1066,1113,2834,1405,1429,30.1
down--quoile,QUOILE,DOWN,Quoile,2551,1250,1301,3233,1629,1604,26.7
down--saintfield,SAINTFIELD,DOWN,Saintfield,2198,1084,1114,2646,1297,1349,20.4
down--seaforde,SEAFORDE,DOWN,Seaforde,1833,909,924,1881,942,939,2.6
down--shimna,SHIMNA,DOWN,Shimna,2709,1224,1485,3920,1846,2074,44.7
down--strangford,STRANGFORD,DOWN,Strangford,1987,1008,979,2052,1040,1012,3.3
down--tollymore,TOLLYMORE,DOWN,Tollymore,1924,996,928,1941,998,943,0.9
dungannon--altmore,ALTMORE,DUNGANNON,Altmore,2147,1104,1043,1851,940,911,-13.8
dungannon--augher,AUGHER,DUNGANNON,Augher,1986,1032,954,1875,986,889,-5.6
dungannon--aughnacloy,AUGHNACLOY,DUNGANNON,Aughnacloy,1885,975,910,1654,830,824,-12.3
dungannon--ballygawley,BALLYGAWLEY,DUNGANNON,Ballygawley,2165,1153,1012,2094,1117,977,-3.3
dungannon--benburb,BENBURB,DUNGANNON,Benburb,2072,1098,974,2110,1084,1026,1.8
dungannon--caledon,CALEDON,DUNGANNON,Caledon,1828,948,880,1641,845,796,-10.2
dungannon--castlecaulfield,CASTLECAULFIELD,DUNGANNON,Castlecaulfield,2039,1037,1002,1842,927,915,-9.7
dungannon--clogher,CLOGHER,DUNGANNON,Ciogher,1888,1009,879,1790,912,878,-5.2
dungannon--coalisland-north,COALISLAND NORTH,DUNGANNON,Coalisland North,2498,1221,1277,2090,1036,1054,-16.3
dungannon--coalisland-south,COALISLAND SOUTH,DUNGANNON,Coaiisland South,2481,1223,1258,2664,1334,1330,7.4
dungannon--donaghmore,DONAGHMORE,DUNGANNON,Donaghmore,2450,1166,1284,2502,1265,1237,2.1
dungannon--drumglass,DRUMGLASS,DUNGANNON,Drumglass,2360,1137,1223,2216,1062,1154,-6.1
dungannon--fivemiletown,FIVEMILETOWN,DUNGANNON,Fivemiletown,1649,866,783,1751,891,860,6.2
dungannon--killymaddy,KILLYMADDY,DUNGANNON,KilJymaddy,1943,961,982,1331,639,692,-31.5
dungannon--killyman,KILLYMAN,DUNGANNON,Killyman,2267,1150,1117,2310,1159,1151,1.9
dungannon--killymeal,KILLYMEAL,DUNGANNON,KiUymeal,2401,1194,1207,2698,1328,1370,12.4
dungannon--lisnahull,LISNAHULL,DUNGANNON,Lisnahull,2310,1139,1171,3071,1531,1540,32.9
dungannon--moy,MOY,DUNGANNON,Moy,2349,1190,1159,2156,1082,1074,-8.2
dungannon--moygashel,MOYGASHEL,DUNGANNON,Moygashel,1807,912,895,1626,793,833,-10.0
dungannon--washing-bay,WASHING BAY,DUNGANNON,Washing Bay,2081,1076,1005,1815,899,916,-12.8
fermanagh--ballinamallard,BALLINAMALLARD,FERMANAGH,Ballinamallard,2396,1217,1179,2853,1665,1188,19.1
fermanagh--belcoo-belmore,BELCOO & BELMORE,FERMANAGH,Belcoo and Belmore,2455,1298,1157,2603,1329,1274,6.0
fermanagh--belleek-boa,BELLEEK & BOA,FERMANAGH,Belleek and Boa,2487,1300,1187,2153,1105,1048,-13.4
fermanagh--brookeborough,BROOKEBOROUGH,FERMANAGH,Brookeborough,2534,1297,1237,2257,1154,1103,-10.9
fermanagh--castlecoole,CASTLECOOLE,FERMANAGH,Castlecoole,2307,1108,1199,1667,848,819,-27.7
fermanagh--derrygonnelly,DERRYGONNELLY,FERMANAGH,Derrygonnelly,2539,1326,1213,2610,1333,1277,2.8
fermanagh--derrylin,DERRYLIN,FERMANAGH,Derrylin,2358,1245,1113,2263,1200,1063,-4.0
fermanagh--devenish,DEVENISH,FERMANAGH,Devenish,3454,1686,1768,3268,1584,1684,-5.4
fermanagh--erne,ERNE,FERMANAGH,Erne,2755,1376,1379,3416,1693,1723,24.0
fermanagh--florence-court-kinawley,FLORENCE COURT & KINAWLEY,FERMANAGH,Florence Court and Kinawley,2313,1263,1050,2116,1151,965,-8.5
fermanagh--garrison,GARRISON,FERMANAGH,Garrison,2318,1262,1056,1968,1041,927,-15.1
fermanagh--irvinestown,IRVINESTOWN,FERMANAGH,Irvinestown,2708,1381,1327,3062,1505,1557,13.1
fermanagh--kesh-ederny-lack,"KESH, EDERNY & LACK",FERMANAGH,"Kesh, Ederny and Lack",2497,1289,1208,2601,1344,1257,4.2
fermanagh--lisbellaw,LISBELLAW,FERMANAGH,Lisbellaw,2265,1160,1105,2397,1211,1186,5.8
fermanagh--lisnaskea,LISNASKEA,FERMANAGH,Lisnaskea,2850,1393,1457,3468,1723,1745,21.7
fermanagh--maguires-bridge,MAGUIRES BRIDGE,FERMANAGH,Maguires Bridge,2353,1170,1183,2315,1159,1156,-1.6
fermanagh--newtownbutler,NEWTOWNBUTLER,FERMANAGH,Newtownbutler,2663,1364,1299,2650,1352,1298,-0.5
fermanagh--rosslea,ROSSLEA,FERMANAGH,Rosslea,2609,1386,1223,2452,1322,1130,-6.0
fermanagh--rossorry,ROSSORRY,FERMANAGH,Rossorry,2836,1516,1320,3698,1838,1860,30.4
fermanagh--tempo,TEMPO,FERMANAGH,Tempo,2282,1180,1102,2156,1088,1068,-5.5
larne--antiville,ANTIVILLE,LARNE,Antiville,2646,1348,1298,2337,1158,1179,-11.7
larne--ballycarry,BALLYCARRY,LARNE,Bally carry,1683,827,856,1650,826,824,-2.0
larne--ballyloran,BALLYLORAN,LARNE,Ballyloran,2250,1133,1117,2038,1012,1026,-9.4
larne--blackcave,BLACKCAVE,LARNE,BJackcave,2284,1181,1103,3547,1726,1821,55.3
larne--carncastle,CARNCASTLE,LARNE,Carncastle,1651,785,866,2245,1102,1143,36.0
larne--carnlough,CARNLOUGH,LARNE,Carnlough,2104,1185,919,2280,1192,1088,8.4
larne--central,CENTRAL,LARNE,Central,1836,840,996,1398,665,733,-23.9
larne--craigyhill,CRAIGYHILL,LARNE,Craigy Hill,2402,1174,1228,2009,968,1041,-16.4
larne--gardenmore,GARDENMORE,LARNE,Gardenmore,2032,989,1043,2221,1051,1170,9.3
larne--glenarm,GLENARM,LARNE,Glenarm,1728,878,850,1524,759,765,-11.8
larne--glynn,GLYNN,LARNE,Glynn,1872,927,945,1690,846,844,-9.7
larne--harbour,HARBOUR,LARNE,Harbour,1946,955,991,1789,914,875,-8.1
larne--island-magee,ISLAND MAGEE,LARNE,Island Magee,1581,745,836,1534,745,789,-3.0
larne--kilwaughter,KILWAUGHTER,LARNE,Kiiwaughter,1775,934,841,1576,813,763,-11.2
larne--town-parks,TOWN PARKS,LARNE,Town Parks,2107,962,1145,1637,764,873,-22.3
limavady--aghanloo,AGHANLOO,LIMAVADY,Aghanloo,1401,727,674,1294,645,649,-7.6
limavady--binevenagh,BINEVENAGH,LIMAVADY,Binevenagh,1520,784,736,1410,721,689,-7.2
limavady--coolessan,COOLESSAN,LIMAVADY,Coolessan,1615,790,825,2824,1375,1449,74.9
limavady--dungiven,DUNGIVEN,LIMAVADY,Dungiven,1785,889,896,2212,1123,1089,23.9
limavady--feeny,FEENY,LIMAVADY,Feeny,1459,758,701,1415,731,684,-3.0
limavady--forest,FOREST,LIMAVADY,Forest,1450,757,693,1579,808,771,8.9
limavady--glack,GLACK,LIMAVADY,Glack,1648,846,802,1548,779,769,-6.1
limavady--gresteel,GRESTEEL,LIMAVADY,Gresteel,1798,916,882,1932,985,947,7.5
limavady--magilligan,MAGILLIGAN,LIMAVADY,Magilligan,1700,1099,601,1348,716,632,-20.7
limavady--myroe,MYROE,LIMAVADY,Myroe,1943,1045,898,1442,735,707,-25.8
limavady--rathbrady,RATHBRADY,LIMAVADY,Rathbrady,1912,931,981,3627,1801,1826,89.7
limavady--roeside,ROESIDE,LIMAVADY,Roeside,1230,587,643,955,479,476,-22.4
limavady--the-highlands,THE HIGHLANDS,LIMAVADY,The Highlands,1724,900,824,1658,859,799,-3.8
limavady--upper-glenshane,UPPER GLENSHANE,LIMAVADY,Upper Glenshane,1287,668,619,1034,535,499,-19.7
limavady--walworth,WALWORTH,LIMAVADY,Walworth,1337,651,686,2173,1333,840,62.5
lisburn--ballymacbrennan,BALLYMACBRENNAN,LISBURN,Ballymacbrennan,2128,1073,1055,2204,1100,1104,3.6
lisburn--blaris,BLARIS,LISBURN,QXsins,2562,1228,1334,2448,1183,1265,-4.4
lisburn--collin,COLLIN,LISBURN,Collin,2970,1471,1499,8542,4194,4348,187.6
lisburn--derryaghy,DERRYAGHY,LISBURN,Derryaghy,3308,1587,1721,2655,1254,1401,-19.7
lisburn--dromara,DROMARA,LISBURN,Dromara,2159,1072,1087,2478,1227,1251,14.8
lisburn--drumbo,DRUMBO,LISBURN,Drumbo,2220,1125,1095,2566,1275,1291,15.6
lisburn--dunmurry,DUNMURRY,LISBURN,Dunmurry,3129,1480,1649,3061,1447,1614,-2.2
lisburn--glenavy,GLENAVY,LISBURN,Glenavy,2360,1174,1186,2405,1174,1231,1.9
lisburn--hilden,HILDEN,LISBURN,Hilden,3546,1701,1845,2520,1245,1275,-28.9
lisburn--hillhall,HILLHALL,LISBURN,Hillhall,2851,1340,1511,3752,1792,1960,31.6
lisburn--hillsborough,HILLSBOROUGH,LISBURN,Hillsborough,2309,1159,1150,2536,1228,1308,9.8
lisburn--knockmore,KNOCKMORE,LISBURN,Knockmore,3948,1940,2008,3566,1761,1805,-9.7
lisburn--lagan-valley,LAGAN VALLEY,LISBURN,Lagan Valley,3366,1588,1778,2429,1170,1259,-27.8
lisburn--lambeg,LAMBEG,LISBURN,Lambeg,3008,1448,1560,3804,1820,1984,26.5
lisburn--lisnagarvy,LISNAGARVY,LISBURN,Lisnagarvy,4574,2405,2169,7294,3515,3779,59.5
lisburn--magheragall,MAGHERAGALL,LISBURN,Magheragall,2467,1214,1253,2499,1275,1224,1.3
lisburn--magheralave,MAGHERALAVE,LISBURN,Magheralave,4619,2282,2337,7857,4612,3245,70.1
lisburn--maze,MAZE,LISBURN,Maze,3390,2078,1312,3436,2023,1413,1.4
lisburn--moira,MOIRA,LISBURN,Moira,2334,1162,1172,2914,1452,1462,24.9
lisburn--old-warren,OLD WARREN,LISBURN,Old Warren,3986,1977,2009,4230,2051,2179,6.1
lisburn--seymour-hill,SEYMOUR HILL,LISBURN,Seymour Hill,4097,1966,2131,3438,1644,1794,-16.1
lisburn--tonagh,TONAGH,LISBURN,Tonagh,3044,1422,1622,2682,1211,1471,-11.9
lisburn--tullyrusk,TULLYRUSK,LISBURN,TuUyrusk,2319,1176,1143,3872,1922,1950,67.0
londonderry--altnagelvin,ALTNAGELVIN,LONDONDERRY,Altnageivin,3618,1706,1912,6699,3160,3539,85.2
londonderry--banagher,BANAGHER,LONDONDERRY,Banagher,2614,1350,1264,2487,1290,1197,-4.9
londonderry--beechwood,BEECHWOOD,LONDONDERRY,Beechwood,3344,1644,1700,2546,1172,1374,-23.9
londonderry--brandywell,BRANDYWELL,LONDONDERRY,Brandywell,2978,1549,1429,1642,805,837,-44.9
londonderry--caw,CAW,LONDONDERRY,Caw,4415,2376,2039,5778,2979,2799,30.9
londonderry--claudy,CLAUDY,LONDONDERRY,Claudy,2507,1266,1241,2512,1275,1237,0.2
londonderry--clondermot,CLONDERMOT,LONDONDERRY,Clondermot,3213,1551,1662,2594,1285,1309,-19.3
londonderry--creggan-central,CREGGAN CENTRAL,LONDONDERRY,Creggan Central,3163,1583,1580,2596,1320,1276,-17.9
londonderry--creggan-south,CREGGAN SOUTH,LONDONDERRY,Creggan South,3351,1632,1719,1951,992,959,-41.8
londonderry--crevagh,CREVAGH,LONDONDERRY,Crevagh,4648,2331,2317,2434,1242,1192,-47.6
londonderry--culmore,CULMORE,LONDONDERRY,Culmore,4580,2308,2272,4918,2489,2429,7.4
londonderry--ebrington,EBRINGTON,LONDONDERRY,Ebrington,2293,1044,1249,1025,471,554,-55.3
londonderry--eglinton,EGLINTON,LONDONDERRY,Eglinton,2748,1410,1338,2669,1367,1302,-2.9
londonderry--enagh,ENAGH,LONDONDERRY,Enagh,3760,1928,1832,2704,1399,1305,-28.1
londonderry--faughan,FAUGHAN,LONDONDERRY,Faughan,3221,1830,1391,4149,2110,2039,28.8
londonderry--pennyburn,PENNYBURN,LONDONDERRY,Pennyburn,2935,1376,1559,3359,1628,1731,14.4
londonderry--prehen,PREHEN,LONDONDERRY,Prehen,2662,1324,1338,4222,2089,2133,58.6
londonderry--riverside,RIVERSIDE,LONDONDERRY,Riverside,2727,1230,1497,1491,676,815,-45.3
londonderry--rosemount,ROSEMOUNT,LONDONDERRY,Rosemount,2872,1414,1458,2286,1136,1150,-20.4
londonderry--shantallow,SHANTALLOW,LONDONDERRY,Shantailow,4051,1970,2081,11109,5439,5670,174.2
londonderry--springtown,SPRINGTOWN,LONDONDERRY,Springtown,2760,1345,1415,3287,1618,1669,19.1
londonderry--st-columb-s-wells,ST. COLUMB'S WELLS,LONDONDERRY,St. Coiumb's Wells,2822,1368,1454,1039,502,537,-63.2
londonderry--strand,STRAND,LONDONDERRY,Strand,2967,1360,1607,2526,1213,1313,-14.9
londonderry--the-diamond,THE DIAMOND,LONDONDERRY,The Diamond,2553,1219,1334,1195,533,662,-53.2
londonderry--victoria,VICTORIA,LONDONDERRY,Victoria,2579,1236,1343,1932,931,1001,-25.1
londonderry--waterloo,WATERLOO,LONDONDERRY,Waterloo,2514,1174,1340,1302,617,685,-48.2
londonderry--westland,WESTLAND,LONDONDERRY,Westland,3006,1428,1578,2410,1115,1295,-19.8
magherafelt--ballymaguigan,BALLYMAGUIGAN,MAGHERAFELT,Ballymaguigan,2044,1076,968,1635,862,773,-20.0
magherafelt--bellaghy,BELLAGHY,MAGHERAFELT,Bellaghy,2265,1129,1136,1805,901,904,-20.3
magherafelt--castledawson,CASTLEDAWSON,MAGHERAFELT,Castledawson,2325,1188,1137,2376,1190,1186,2.2
magherafelt--draperstown,DRAPERSTOWN,MAGHERAFELT,Draperstown,2247,1091,1156,2351,1159,1192,4.6
magherafelt--gulladuff,GULLADUFF,MAGHERAFELT,Gulladuff,1705,925,780,1641,875,766,-3.8
magherafelt--knockcloghrim,KNOCKCLOGHRIM,MAGHERAFELT,Knockcloghrim,1963,1027,936,1762,892,870,-10.2
magherafelt--lecumpher,LECUMPHER,MAGHERAFELT,Lecumpher,2015,1032,983,2052,1041,1011,1.8
magherafelt--lower-glenshane,LOWER GLENSHANE,MAGHERAFELT,Lower Glenshane,2149,1113,1036,1846,935,911,-14.1
magherafelt--maghera,MAGHERA,MAGHERAFELT,Maghera,2368,1169,1199,2836,1404,1432,19.8
magherafelt--swatragh,SWATRAGH,MAGHERAFELT,Swatragh,1698,885,813,1408,724,684,-17.1
magherafelt--tobermore,TOBERMORE,MAGHERAFELT,Tobermore,1848,936,912,1661,838,823,-10.1
magherafelt--town-parks-east,TOWN PARKS EAST,MAGHERAFELT,Townparks East,2424,1165,1259,3187,1552,1635,31.5
magherafelt--town-parks-west,TOWN PARKS WEST,MAGHERAFELT,Townparks West,2280,1094,1186,2358,1151,1207,3.4
magherafelt--upperlands,UPPERLANDS,MAGHERAFELT,Upperlands,2089,1049,1040,1888,949,939,-9.6
magherafelt--valley,VALLEY,MAGHERAFELT,Valley,2040,1024,1016,1975,993,982,-3.2
moyle--armoy,ARMOY,MOYLE,Armoy,1051,562,489,1019,527,492,-3.0
moyle--ballintoy,BALLINTOY,MOYLE,Ballintoy,763,396,367,708,344,364,-7.2
moyle--ballylough,BALLYLOUGH,MOYLE,BalJylough,1055,510,545,980,496,484,-7.1
moyle--bushmills,BUSHMILLS,MOYLE,Bushmills,934,468,466,994,499,495,6.4
moyle--carnmoon,CARNMOON,MOYLE,Carnmoon,890,434,456,758,376,382,-14.8
moyle--dalriada,DALRIADA,MOYLE,Dalriada,1155,496,659,1314,616,698,13.8
moyle--dunseverick,DUNSEVERICK,MOYLE,Dunseverick,746,393,353,697,368,329,-6.6
moyle--glenaan,GLENAAN,MOYLE,Glenaan,1148,573,575,1087,544,543,-5.3
moyle--glenariff,GLENARIFF,MOYLE,Glenariff,763,382,381,1060,527,533,38.9
moyle--glendun,GLENDUN,MOYLE,Glendun,1003,527,476,1045,531,514,4.2
moyle--glenshesk,GLENSHESK,MOYLE,Glenshesk,1005,527,478,990,505,485,-1.5
moyle--kinbane,KINBANE,MOYLE,Kinbane,786,413,373,728,383,345,-7.4
moyle--knocklayd,KNOCKLAYD,MOYLE,Knocklayd,1063,520,543,1368,697,671,28.7
moyle--moss-side,MOSS-SIDE,MOYLE,Moss-side,703,383,320,679,366,313,-3.4
moyle--quay,QUAY,MOYLE,Quay,805,350,455,837,375,462,4.0
moyle--rathlin,RATHLIN,MOYLE,Rathlin,109,66,43,108,57,51,-0.9
newry-and-mourne--annalong,ANNALONG,NEWRY AND MOURNE,Annalong,2155,1073,1082,2500,1253,1247,16.0
newry-and-mourne--ballybot,BALLYBOT,NEWRY AND MOURNE,Ballybot,3329,1636,1693,2646,1312,1334,-20.5
newry-and-mourne--ballycrossan,BALLYCROSSAN,NEWRY AND MOURNE,Bally crossan,2404,1253,1151,2486,1279,1207,3.4
newry-and-mourne--belleek,BELLEEK,NEWRY AND MOURNE,Belleek,2102,1119,983,1588,825,763,-24.5
newry-and-mourne--bessbrook,BESSBROOK,NEWRY AND MOURNE,Bessbrook,2472,1209,1263,3078,1839,1239,24.5
newry-and-mourne--binnian,BINNIAN,NEWRY AND MOURNE,Binnian,2160,1099,1061,1993,1001,992,-7.7
newry-and-mourne--camlough,CAMLOUGH,NEWRY AND MOURNE,Camlough,2102,1097,1005,1941,977,964,-7.7
newry-and-mourne--clonallan,CLONALLAN,NEWRY AND MOURNE,Clonallan,2685,1319,1366,2981,1464,1517,11.0
newry-and-mourne--cranfield,CRANFIELD,NEWRY AND MOURNE,Cranfield,2544,1219,1325,2630,1292,1338,3.4
newry-and-mourne--creggan,CREGGAN,NEWRY AND MOURNE,Creggan,2102,1098,1004,1974,1007,967,-6.1
newry-and-mourne--crossmaglen,CROSSMAGLEN,NEWRY AND MOURNE,Crossmaglen,2309,1169,1140,1990,1003,987,-13.8
newry-and-mourne--daisy-hill,DAISY HILL,NEWRY AND MOURNE,Daisy Hill,2931,1404,1527,3177,1532,1645,8.4
newry-and-mourne--derrymore,DERRYMORE,NEWRY AND MOURNE,Derrymore,2657,1292,1365,2160,1066,1094,-18.7
newry-and-mourne--donaghmore,DONAGHMORE,NEWRY AND MOURNE,Donaghmore,2048,1024,1024,1829,926,903,-10.7
newry-and-mourne--drumalane,DRUMALANE,NEWRY AND MOURNE,Drumalane,2513,1188,1325,2368,1141,1227,-5.8
newry-and-mourne--drumgath,DRUMGATH,NEWRY AND MOURNE,Druqngath,2187,1108,1079,2062,1033,1029,-5.7
newry-and-mourne--drumgullion,DRUMGULLION,NEWRY AND MOURNE,Drumgullion :,3075,1521,1554,2874,1449,1425,-6.5
newry-and-mourne--fathom,FATHOM,NEWRY AND MOURNE,Fathom,2498,1282,1216,2636,1338,1298,5.5
newry-and-mourne--forkhill,FORKHILL,NEWRY AND MOURNE,Forkhill,2386,1178,1208,2137,1037,1100,-10.4
newry-and-mourne--kilkeel,KILKEEL,NEWRY AND MOURNE,Kilkeel,2885,1378,1507,3840,1808,2032,33.1
newry-and-mourne--lisnacree,LISNACREE,NEWRY AND MOURNE,Lisnacree,2046,1050,996,2028,1023,1005,-0.9
newry-and-mourne--newtownhamilton,NEWTOWNHAMILTON,NEWRY AND MOURNE,Newtownhamilton,1936,1028,908,1649,838,811,-14.8
newry-and-mourne--rathfriland,RATHFRILAND,NEWRY AND MOURNE,Rathfriland,2148,1045,1103,2317,1122,1195,7.9
newry-and-mourne--rostrevor,ROSTREVOR,NEWRY AND MOURNE,Rostrevor,2292,1107,1185,2663,1319,1344,16.2
newry-and-mourne--seaview,SEAVIEW,NEWRY AND MOURNE,Seaview,2643,1324,1319,2746,1401,1345,3.9
newry-and-mourne--spelga,SPELGA,NEWRY AND MOURNE,Speiga,1970,965,1005,1999,1011,988,1.5
newry-and-mourne--st-mary-s,ST. MARY'S,NEWRY AND MOURNE,St. Mary's,2604,1190,1414,2562,1232,1330,-1.6
newry-and-mourne--st-patrick-s,ST. PATRICK'S,NEWRY AND MOURNE,St. Patrick's,2395,1152,1243,2143,1035,1108,-10.5
newry-and-mourne--tullyhappy,TULLYHAPPY,NEWRY AND MOURNE,Tullyhappy,2084,1069,1015,2115,1069,1046,1.5
newry-and-mourne--windsor-hill,WINDSOR HILL,NEWRY AND MOURNE,Windsor Hill,2706,1287,1419,3503,1704,1799,29.5
newtownabbey--ballyclare,BALLYCLARE,NEWTOWNABBEY,Ballyclare,1999,973,1026,1541,777,764,-22.9
newtownabbey--ballyeaston,BALLYEASTON,NEWTOWNABBEY,Ballyeaston,2504,1297,1207,3762,1871,1891,50.2
newtownabbey--ballyhenry,BALLYHENRY,NEWTOWNABBEY,Ballyhenry,3169,1562,1607,4415,2152,2263,39.3
newtownabbey--ballynure,BALLYNURE,NEWTOWNABBEY,Ballynure,2196,1093,1103,2102,1049,1053,-4.3
newtownabbey--bradan,BRADAN,NEWTOWNABBEY,Bradan,3281,1594,1687,2317,1091,1226,-29.4
newtownabbey--carnmoney,CARNMONEY,NEWTOWNABBEY,Carnmoney,3290,1670,1620,8099,3948,4151,146.2
newtownabbey--cloughfern,CLOUGHFERN,NEWTOWNABBEY,CloughiQrn,4326,2148,2178,3723,1819,1904,-13.9
newtownabbey--coole,COOLE,NEWTOWNABBEY,""" Coole",3610,1786,1824,2665,1317,1348,-26.2
newtownabbey--doagh,DOAGH,NEWTOWNABBEY,Doagh,2450,1131,1319,2968,1415,1553,21.1
newtownabbey--dunanney,DUNANNEY,NEWTOWNABBEY,Dunanney,3736,1822,1914,2728,1312,1416,-27.0
newtownabbey--glengormley,GLENGORMLEY,NEWTOWNABBEY,Glengormley,3784,1863,1921,4453,2190,2263,17.7
newtownabbey--hopefield,HOPEFIELD,NEWTOWNABBEY,Hopefield,3416,1673,1743,2471,1135,1336,-27.7
newtownabbey--jordanstown,JORDANSTOWN,NEWTOWNABBEY,Jordanstown,2913,1402,1511,3890,1878,2012,33.5
newtownabbey--mallusk,MALLUSK,NEWTOWNABBEY,Mallusk,2089,1046,1043,1961,985,976,-6.1
newtownabbey--monkstown,MONKSTOWN,NEWTOWNABBEY,Monkstown,4461,2492,1969,3674,1779,1895,-17.6
newtownabbey--mossgrove,MOSSGROVE,NEWTOWNABBEY,Mossgrove,3247,1602,1645,3185,1562,1623,-1.9
newtownabbey--mossley,MOSSLEY,NEWTOWNABBEY,Mossley,3220,1559,1661,5321,2561,2760,65.2
newtownabbey--rostulla,ROSTULLA,NEWTOWNABBEY,Rostulla,2834,1316,1518,3025,1418,1607,6.7
newtownabbey--whiteabbey,WHITEABBEY,NEWTOWNABBEY,Whiteabbey,3187,1481,1706,2696,1219,1477,-15.4
newtownabbey--whitehouse,WHITEHOUSE,NEWTOWNABBEY,Whitehouse,3346,1598,1748,2831,1337,1494,-15.4
newtownabbey--whitewell,WHITEWELL,NEWTOWNABBEY,Whitewell,3857,1932,1925,4090,2072,2018,6.0
north-down--ballyholme,BALLYHOLME,NORTH DOWN,BaJlyhoJme,2232,907,1325,2246,985,1261,0.6
north-down--ballymagee,BALLYMAGEE,NORTH DOWN,Ballymagee,2094,933,1161,7016,3393,3623,235.1
north-down--bangor-castle,BANGOR CASTLE,NORTH DOWN,Bangor Castle,2023,865,1158,1657,749,908,-18.1
north-down--bangor-harbour,BANGOR HARBOUR,NORTH DOWN,Bangor Harbour,2395,1050,1345,2127,962,1165,-11.2
north-down--bryansburn,BRYANSBURN,NORTH DOWN,Bryansburn,2660,1254,1406,2909,1341,1568,9.4
north-down--churchill,CHURCHILL,NORTH DOWN,Churchill,2582,1118,1464,2588,1170,1418,0.2
north-down--clandeboye,CLANDEBOYE,NORTH DOWN,Clandeboye,3561,1758,1803,4643,2169,2474,30.4
north-down--conlig,CONLIG,NORTH DOWN,Conlig,2915,1362,1553,7047,3313,3734,141.7
north-down--craigavad,CRAIGAVAD,NORTH DOWN,Craigavad,2203,1053,1150,1961,938,1023,-11.0
north-down--crawfordsburn,CRAWFORDSBURN,NORTH DOWN,Crawfordsburn,2248,1045,1203,2904,1375,1529,29.2
north-down--cultra,CULTRA,NORTH DOWN,Cultra,2403,1148,1255,2767,1361,1406,15.1
north-down--groomsport,GROOMSPORT,NORTH DOWN,Groomsport,2750,1302,1448,4158,1998,2160,51.2
north-down--holywood-demesne,HOLYWOOD DEMESNE,NORTH DOWN,Holy wood Demesne,2239,1031,1208,2201,1010,1191,-1.7
north-down--holywood-priory,HOLYWOOD PRIORY,NORTH DOWN,Holywood Priory,2365,1091,1274,2575,1197,1378,8.9
north-down--loughview,LOUGHVIEW,NORTH DOWN,Loughview,4460,2380,2080,3797,2120,1677,-14.9
north-down--princetown,PRINCETOWN,NORTH DOWN,Princetown,2146,970,1176,2495,1166,1329,16.3
north-down--rathgael,RATHGAEL,NORTH DOWN,Rathgael,2860,1438,1422,3383,1711,1672,18.3
north-down--silverstream,SILVERSTREAM,NORTH DOWN,Silverstream,2825,1307,1518,2568,1222,1346,-9.1
north-down--spring-hill,SPRING HILL,NORTH DOWN,Spring Hill,2405,1149,1256,4039,1900,2139,67.9
north-down--whitehill,WHITEHILL,NORTH DOWN,WhiiehiJl,3245,1628,1617,2611,1252,1359,-19.5
omagh--beragh,BERAGH,OMAGH,Beragh,2137,1108,1029,2045,1056,989,-4.3
omagh--carrickmore,CARRICKMORE,OMAGH,Carrickmore,1951,1026,925,1568,807,761,-19.6
omagh--clanabogan,CLANABOGAN,OMAGH,Clanabogan,1792,982,810,1657,858,799,-7.5
omagh--dergmoney,DERGMONEY,OMAGH,Dergmoney,1557,745,812,1204,593,611,-22.7
omagh--dromore,DROMORE,OMAGH,Dromore,2224,1163,1061,2282,1202,1080,2.6
omagh--drumnakilly,DRUMNAKILLY,OMAGH,Drumnakiily,2241,1165,1076,1947,1014,933,-13.1
omagh--drumquin,DRUMQUIN,OMAGH,Drumquin,1982,1049,933,1833,954,879,-7.5
omagh--drumragh,DRUMRAGH,OMAGH,Drumragh,1619,843,776,1672,810,862,3.3
omagh--east,EAST,OMAGH,East,1921,876,1045,1911,920,991,-0.5
omagh--fairgreen,FAIRGREEN,OMAGH,Fairgreen,1904,886,1018,1397,673,724,-26.6
omagh--fairy-water,FAIRY WATER,OMAGH,Fairy Water,1814,944,870,1667,877,790,-8.1
omagh--fintona,FINTONA,OMAGH,Fintona,2227,1105,1122,2298,1142,1156,3.2
omagh--gortin,GORTIN,OMAGH,Gorlin,2033,1036,997,1874,907,967,-7.8
omagh--killyclogher,KILLYCLOGHER,OMAGH,Killyclogher,3134,1753,1381,5559,2848,2711,77.4
