W72_ID,Geography,District,CensusWard,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females,pop_change_pct
ballymena--ballykeel,BALLYKEEL,BALLYMENA,Ballykeel,2391,1177,1214,3861,1903,1958,61.5
ballymena--ballyloughan,BALLYLOUGHAN,BALLYMENA,Ballyioughan,2056,992,1064,3378,1642,1736,64.3
ballymena--broughshane,BROUGHSHANE,BALLYMENA,Broughshane,2104,1041,1063,2179,1072,1107,3.6
ballymena--castle-demesne,CASTLE DEMESNE,BALLYMENA,Castle Demesne,2493,1284,1209,1673,874,799,-32.9
ballymena--craigywarren,CRAIGYWARREN,BALLYMENA,Craigywarren,2128,1105,1023,1957,1000,957,-8.0
ballymena--cullybackey,CULLYBACKEY,BALLYMENA,Cullybackey,2217,1079,1138,2594,1238,1356,17.0
ballymena--dunclug,DUNCLUG,BALLYMENA,Dunclug,3253,1521,1732,6313,3000,3313,94.1
ballymena--dunminning,DUNMINNING,BALLYMENA,Dunminning,1948,989,959,1812,920,892,-7.0
ballymena--fair-green,FAIR GREEN,BALLYMENA,Fair Green,2713,1309,1404,2374,1112,1262,-12.5
ballymena--galgorm,GALGORM,BALLYMENA,Galgorm,2507,1257,1250,3127,1562,1565,24.7
ballymena--glenravel,GLENRAVEL,BALLYMENA,Glenravel,2387,1193,1194,2510,1265,1245,5.2
ballymena--glenwhirry,GLENWHIRRY,BALLYMENA,Glenwhirry,1965,1024,941,1940,1000,940,-1.3
ballymena--grange,GRANGE,BALLYMENA,Grange,2169,1106,1063,1975,992,983,-8.9
ballymena--harryville,HARRYVILLE,BALLYMENA,Harry ville,3101,1510,1591,2011,966,1045,-35.1
ballymena--kells,KELLS,BALLYMENA,Kells,2560,1277,1283,2566,1257,1309,0.2
ballymena--park,PARK,BALLYMENA,Park,2468,1144,1324,1856,850,1006,-24.8
ballymena--portglenone,PORTGLENONE,BALLYMENA,Portglenone,2061,1049,1012,2050,1038,1012,-0.5
ballymena--slemish,SLEMISH,BALLYMENA,Slemish,1994,1046,948,1731,899,832,-13.2
ballymena--waveney,WAVENEY,BALLYMENA,Waveney,2094,997,1097,2116,1007,1109,1.1
ballymoney--ballyhoe-and-corkey,BALLYHOE AND CORKEY,BALLYMONEY,Ballyhoe and Corkey,1342,708,634,1395,733,662,3.9
ballymoney--benvardin,BENVARDIN,BALLYMONEY,Benvardin,1322,658,664,1296,621,675,-2.0
ballymoney--castlequarter,CASTLEQUARTER,BALLYMONEY,Castlequarter,1138,576,562,1030,516,514,-9.5
ballymoney--clogh-mills,CLOGH MILLS,BALLYMONEY,Clogh Mills,1517,751,766,1558,762,796,2.7
ballymoney--dervock,DERVOCK,BALLYMONEY,Dervock,1191,629,562,1143,557,586,-4.0
ballymoney--dunloy,DUNLOY,BALLYMONEY,Dunloy,1385,734,651,1597,832,765,15.3
ballymoney--fairhill,FAIRHILL,BALLYMONEY,FairhilJ,1234,579,655,1069,517,552,-13.4
