district,census_ward,ward_1972,match,pop_1971_persons,pop_1971_males,pop_1971_females,pop_1981_persons,pop_1981_males,pop_1981_females
Belfast,Ballynafeigh,BALLYNAFEIGH,exact,6674,3085,3589,5220,2365,2855
Belfast,Ballysillan,BALLYSILLAN,exact,8181,3964,4217,5937,2898,3039
Belfast,Bellevue,BELLEVUE,exact,7530,3597,3933,6249,2965,3284
Belfast,Belmont,BELMONT,exact,8948,4167,4781,7805,3655,4150
Belfast,Bloomfield,BLOOMFIELD,exact,6455,3030,3425,5475,2593,2882
Belfast,Castleview,CASTLEVIEW,exact,7653,3616,4037,6725,3167,3558
Belfast,Cavehill,CAVEHILL,exact,8430,3972,4458,8136,3853,4283
Belfast,Central,CENTRAL,exact,7085,4123,2962,2391,1260,1131
Belfast,Cliftonville,CLIFTONVILLE,exact,9637,4438,5199,7475,3426,4049
Belfast,Clonard,CLONARD,exact,8491,4339,4152,5428,2561,2867
Belfast,Court,COURT,exact,7345,3562,3783,3319,1543,1776
Belfast,Cromac,CROMAC,exact,6991,3371,3620,2418,1137,1281
Belfast,Crumlin,CRUMLIN,exact,12414,6821,5593,3665,1855,1810
Belfast,Donegal,DONEGALL,similar-in-district,7789,3673,4116,6203,2948,3255
Belfast,Duncairn,DUNCAIRN,exact,8408,3952,4456,4184,1955,2229
Belfast,Falls,FALLS,exact,5655,2669,2986,2608,1210,1398
Belfast,Finaghy,FINAGHY,exact,7376,3198,4178,7184,3149,4035
Belfast,Fortwilliam,FORTWILLIAM,exact,6690,3088,3602,5838,2683,3155
Belfast,Grdsvenor,GROSVENOR,similar-in-district,7385,3278,4107,3308,1389,1919
Belfast,Grove,GROVE,exact,6230,2938,3292,4623,2182,2441
Belfast,Highfield,HIGHFIELD,exact,8516,4187,4329,5661,2734,2927
Belfast,Island,ISLAND,exact,8665,4310,4355,4073,1922,2151
Belfast,Ladybrook,LADYBROOK,exact,11044,5478,5566,9981,4941,5040
Belfast,Legoniel,LEGONIEL,exact,7218,3455,3763,5465,2544,2921
Belfast,MaJone,MALONE,similar-in-district,6775,2901,3874,6427,2814,3613
Belfast,Milltown,MILLTOWN,exact,9864,4816,5048,7220,3461,3759
Belfast,New Lodge,NEW LODGE,exact,8090,3848,4242,5057,2381,2676
Belfast,North Howard,NORTH HOWARD,exact,6957,3346,3611,1872,885,987
Belfast,Orangefield,ORANGEFIELD,exact,7921,3734,4187,6774,3151,3623
Belfast,Ormeau,ORMEAU,exact,6710,3169,3541,4698,2180,2518
Belfast,Rosetta,ROSETTA,exact,7633,3358,4275,6635,2904,3731
Belfast,St. George's,ST GEORGE'S,exact,7690,3662,4028,3003,1439,1564
Belfast,St. James,ST JAMES,exact,9202,4166,5036,7990,3713,4277
Belfast,Shandon,SHANDON,exact,8715,4173,4542,7921,3758,4163
Belfast,Shankill,SHANKILL,exact,8337,3939,4398,5793,2776,3017
Belfast,Stormont,STORMONT,exact,8778,4122,4656,7596,3431,4165
Belfast,Stranmillis,STRANMILLIS,exact,7939,3669,4270,6653,3019,3634
Belfast,Suffolk,SUFFOLK,exact,11031,5487,5544,9256,4548,4708
Belfast,Sydenham,SYDENHAM,exact,7931,3827,4104,6844,3413,3431
Belfast,The Mount,THE MOUNT,exact,8765,4243,4522,4628,2178,2450
Belfast,University,UNIVERSITY,exact,7830,3708,4122,4726,2171,2555
Belfast,Upper Malone,UPPER MALONE,exact,7920,3794,4126,6980,3301,3679
Belfast,Whiterock,WHITEROCK,exact,10861,5475,5386,6775,3359,3416
Belfast,Willowfield,WILLOWFIELD,exact,7417,3401,4016,6257,2914,3343
Belfast,Windsor,WINDSOR,exact,9925,4030,5895,7942,3335,4607
Belfast,Woodvale,WOODVALE,exact,7628,3667,3961,5879,2762,3117
Carrickfergus,Blackhead,BLACKHEAD,exact,1488,698,790,2264,1057,1207
Carrickfergus,Boneybefore,BONEYBEFORE,exact,1828,906,922,2320,1144,1176
Carrickfergus,Castle,CASTLE,exact,1363,662,701,979,449,530
Carrickfergus,Clipperstown,CLIPPERSTOWN,exact,1895,917,978,2524,1221,1303
Carrickfergus,Eden,EDEN,exact,1999,989,1010,2123,1055,1068
Carrickfergus,Knockagh,KNOCKAGH,exact,1531,746,785,1589,775,814
Carrickfergus,Love Lane,LOVE LANE,exact,2527,1241,1286,3591,1740,1851
Carrickfergus,Lower Greenisland,LOWER GREENISLAND,exact,2179,996,1183,1928,912,1016
Carrickfergus,Middle Greenisland,MIDDLE GREENISLAND,exact,1981,947,1034,1574,742,832
Carrickfergus,Northland,NORTHLAND,exact,2173,1102,1071,1875,932,943
Carrickfergus,Sunnylands,SUNNYLANDS,exact,1871,916,955,1442,693,749
Carrickfergus,Trooperslane,TROOPERSLANE,exact,1714,802,912,1373,618,755
Carrickfergus,Victoria,VICTORIA,exact,1800,888,912,1399,666,733
Carrickfergus,Whitehead,WHITEHEAD,exact,1444,673,771,1403,652,751
Carrickfergus,Woodburn,WOODBURN,exact,1251,611,640,2004,1011,993
Castlereagh,Ballyhanwood,BALLYHANWOOD,exact,3137,1546,1591,3564,1733,1831
Castlereagh,Beechill,BEECHILL,exact,4724,2224,2500,5150,2596,2554
Castlereagh,Braniel Lower,LOWER BRANIEL,token-order,2923,1435,1488,2545,1215,1330
Castlereagh,Braniel Upper,UPPER BRANIEL,token-order,3389,1677,1712,3017,1505,1512
Castlereagh,Carrowreagh,CARROWREAGH,exact,3732,1797,1935,4383,2096,2287
Castlereagh,Carryduff,CARRYDUFF,exact,3280,1593,1687,3793,1838,1955
Castlereagh,Cregagh,CREGAGH,exact,3081,1521,1560,2442,1133,1309
Castlereagh,Downshire,DOWNSHIRE,exact,2732,1327,1405,2308,1057,1251
Castlereagh,Dundonald,DUNDONALD,exact,3936,1828,2108,3331,1458,1873
Castlereagh,Enler,ENLER,exact,3848,1864,1984,3224,1573,1651
Castlereagh,Four Winds,FOUR WINDS,exact,3616,1815,1801,3611,1803,1808
Castlereagh,Gilnahirk,GILNAHIRK,exact,3216,1578,1638,2825,1385,1440
Castlereagh,Hillfoot,HILLFOOT,exact,3260,1594,1666,3310,1639,1671
Castlereagh,Lisnasharragh,LISNASHARRAGH,exact,3805,1900,1905,3085,1527,1558
Castlereagh,Minnowburn,MINNOWBURN,exact,3349,1487,1862,3609,1592,2017
Castlereagh,Moneyreagh,MONEYREAGH,exact,2249,1140,1109,2460,1261,1199
Castlereagh,Newiowr\breda,NEWTOWNBREDA,similar-in-district,3599,1707,1892,2782,1273,1509
Castlereagh,TuUycarnet,TULLYCARNET,similar-in-district,3524,1722,1802,3115,1535,1580
Castlereagh,Wynchurch,WYNCHURCH,exact,3006,1413,1593,2553,1190,1363
Coleraine,Agivey,AGIVEY,exact,2165,1103,1062,1960,981,979
Coleraine,Ballywillin,BALLYWILLIN,exact,2358,1157,1201,2672,1316,1356
Coleraine,Castlerock,CASTLEROCK,exact,2265,1107,1158,2328,1153,1175
Coleraine,Central,CENTRAL,exact,1699,794,905,1153,518,635
Coleraine,Churchland,CHURCHLAND,exact,2454,1203,1251,1910,943,967
Coleraine,Cross Glebe,CROSS GLEBE,exact,2547,1270,1277,3553,1721,1832
Coleraine,Dhu Varren,DHU VARREN,exact,2098,964,1134,2135,971,1164
Coleraine,Dunluce,DUNLUCE,exact,1762,886,876,1780,877,903
Coleraine,Garvagh,GARVAGH,exact,2363,1183,1180,2214,1072,1142
Coleraine,Kilrea,KILREA,exact,2229,1087,1142,2204,1070,1134
Coleraine,Knockantern,KNOCKANTERN,exact,2063,1050,1013,1906,954,952
Coleraine,Macosquin,MACOSQUIN,exact,2337,1169,1168,2264,1155,1109
Coleraine,Mount Sandel,MOUNT SANDEL,exact,2126,928,1198,2884,1456,1428
Coleraine,Portrush,PORTRUSH,exact,2458,1104,1354,1817,751,1066
Coleraine,Portstewart,PORTSTEWART,exact,1967,888,1079,1676,759,917
Coleraine,Ringsend,RINGSEND,exact,1937,988,949,1751,900,851
Coleraine,Strand,STRAND,exact,2596,1087,1509,3152,1438,1714
Coleraine,The Cuts,THE CUTS,exact,2353,1166,1187,2544,1251,1293
Coleraine,University,UNIVERSITY,exact,2266,1136,1130,4712,2295,2417
Coleraine,Waterside,WATERSIDE,exact,2565,1324,1241,2909,1505,1404
Cookstown,Ardboe,ARDBOE,exact,1752,911,841,1950,1008,942
Cookstown,Coagh,COAGH,exact,1811,882,929,1769,838,931
Cookstown,Dunnamore,DUNNAMORE,exact,1657,872,785,1465,748,717
Cookstown,Gortalowry,GORTALOWRY,exact,1968,950,1018,3056,1527,1529
Cookstown,Killycolpy,KILLYCOLPY,exact,1713,875,838,1675,846,829
Cookstown,Lissan,LISSAN,exact,1680,882,798,1630,844,786
Cookstown,Money more,MONEYMORE,exact,1695,801,894,1728,820,908
Cookstown,Newbuildings,NEWBUILDINGS,exact,1434,694,740,1356,638,718
Cookstown,Oaklands,OAKLANDS,exact,1556,827,729,1426,734,692
Cookstown,Oldtown,OLDTOWN,exact,1953,928,1025,1696,845,851
Cookstown,Pomeroy,POMEROY,exact,1786,933,853,1512,793,719
Cookstown,Sandholes,SANDHOLES,exact,1892,978,914,1710,875,835
Cookstown,Stewartstown,STEWARTSTOWN,exact,1759,853,906,1534,765,769
Cookstown,The Loop,THE LOOP,exact,1787,921,866,1698,871,827
Cookstown,Tullagh,TULLAGH,exact,1627,763,864,2118,1007,1111
Craigavon,Aghagallon,AGHAGALLON,exact,2512,1223,1289,2525,1249,1276
Craigavon,Annagh,ANNAGH,exact,2224,1038,1186,1550,724,826
Craigavon,Bachelors Walk,BACHELORS WALK,exact,2244,1051,1193,1899,863,1036
Craigavon,Belle Vue,BELLE VUE,exact,4028,2020,2008,3848,1920,1928
Craigavon,Bleary,BLEARY,exact,2373,1185,1188,2473,1207,1266
Craigavon,Breagh,BREAGH,exact,2213,1125,1088,1998,1018,980
Craigavon,Brownlow,BROWNLOW,exact,2720,1359,1361,9904,4862,5042
Craigavon,Brownstown,BROWNSTOWN,exact,2901,1462,1439,2957,1456,1501
Craigavon,Church,CHURCH,exact,3158,1600,1558,1450,664,786
Craigavon,Court,COURT,exact,2809,1393,1416,1777,860,917
Craigavon,Edgarstown,EDGARSTOWN,exact,2805,1368,1437,2080,1043,1037
Craigavon,Hartfield,HARTFIELD,exact,3163,1518,1645,2814,1402,1412
Craigavon,Kernan,KERNAN,exact,1201,609,592,2428,1129,1299
Craigavon,Killycomain,KILLYCOMAIN,exact,3364,1640,1724,3674,1791,1883
Craigavon,Kinnegoe,KINNEGOE,exact,2429,1243,1186,2238,1147,1091
Craigavon,Knocknashane,KNOCKNASHANE,exact,2770,1340,1430,2781,1345,1436
Craigavon,Magheralin,MAGHERALIN,exact,2546,1268,1278,2605,1277,1328
Craigavon,Mourneview,MOURNEVIEW,exact,3408,1708,1700,3226,1586,1640
Craigavon,Parklake,PARKLAKE,exact,2418,1142,1276,2175,1042,1133
Craigavon,Taghnevan,TAGHNEVAN,exact,3549,1653,1896,3318,1608,1710
Craigavon,Tavanagh,TAVANAGH,exact,2324,1096,1228,1878,886,992
Craigavon,The Birches,THE BIRCHES,exact,2495,1225,1270,2279,1111,1168
Craigavon,Waringstown,WARINGSTOWN,exact,2483,1218,1265,2968,1452,1516
Craigavon,Woodside,WOODSIDE,exact,3071,1514,1557,3747,1815,1932
Craigavon,Woodville,WOODVILLE,exact,2510,1198,1312,2457,1182,1275
Down,Ardglass,ARDGLASS,exact,2433,1283,1150,2880,1547,1333
Down,Audleys Acre,AUDLEYS ACRE,exact,3628,1773,1855,3660,1725,1935
Down,Ballymaglave,BALLYMAGLAVE,exact,2472,1166,1306,2893,1409,1484
Down,Castlewellan,CASTLEWELLAN,exact,2057,1052,1005,2321,1172,1149
Down,Cathedral,CATHEDRAL,exact,2389,1196,1193,3940,1961,1979
Down,Crossgar,CROSSGAR,exact,2151,1079,1072,2288,1158,1130
Down,Derryboy,DERRYBOY,exact,1995,994,1001,1812,909,903
Down,Donard,DONARD,exact,2165,983,1182,2115,976,1139
Down,Dundrum,DUNDRUM,exact,2245,1173,1072,2284,1170,1114
Down,Dunmore,DUNMORE,exact,2230,1135,1095,2279,1177,1102
Down,Kiilough,KILLOUGH,similar-in-district,3295,1802,1493,3185,1795,1390
Down,Killyleagh,KILLYLEAGH,exact,2359,1192,1167,2365,1187,1178
Down,Kilmore,KILMORE,exact,2151,1085,1066,2455,1215,1240
Down,Market,MARKET,exact,2179,1066,1113,2834,1405,1429
Down,Quoile,QUOILE,exact,2551,1250,1301,3233,1629,1604
Down,Saintfield,SAINTFIELD,exact,2198,1084,1114,2646,1297,1349
Down,Seaforde,SEAFORDE,exact,1833,909,924,1881,942,939
Down,Shimna,SHIMNA,exact,2709,1224,1485,3920,1846,2074
Down,Strangford,STRANGFORD,exact,1987,1008,979,2052,1040,1012
Down,Tollymore,TOLLYMORE,exact,1924,996,928,1941,998,943
Dungannon,Altmore,ALTMORE,exact,2147,1104,1043,1851,940,911
Dungannon,Augher,AUGHER,exact,1986,1032,954,1875,986,889
Dungannon,Aughnacloy,AUGHNACLOY,exact,1885,975,910,1654,830,824
Dungannon,Ballygawley,BALLYGAWLEY,exact,2165,1153,1012,2094,1117,977
Dungannon,Benburb,BENBURB,exact,2072,1098,974,2110,1084,1026
Dungannon,Caledon,CALEDON,exact,1828,948,880,1641,845,796
Dungannon,Castlecaulfield,CASTLECAULFIELD,exact,2039,1037,1002,1842,927,915
Dungannon,Ciogher,CLOGHER,similar-in-district,1888,1009,879,1790,912,878
Dungannon,Coalisland North,COALISLAND NORTH,exact,2498,1221,1277,2090,1036,1054
Dungannon,Coaiisland South,COALISLAND SOUTH,similar-in-district,2481,1223,1258,2664,1334,1330
Dungannon,Donaghmore,DONAGHMORE,exact,2450,1166,1284,2502,1265,1237
Dungannon,Drumglass,DRUMGLASS,exact,2360,1137,1223,2216,1062,1154
Dungannon,Fivemiletown,FIVEMILETOWN,exact,1649,866,783,1751,891,860
Dungannon,KilJymaddy,KILLYMADDY,similar-in-district,1943,961,982,1331,639,692
Dungannon,Killyman,KILLYMAN,exact,2267,1150,1117,2310,1159,1151
Dungannon,KiUymeal,KILLYMEAL,similar-in-district,2401,1194,1207,2698,1328,1370
Dungannon,Lisnahull,LISNAHULL,exact,2310,1139,1171,3071,1531,1540
Dungannon,Moy,MOY,exact,2349,1190,1159,2156,1082,1074
Dungannon,Moygashel,MOYGASHEL,exact,1807,912,895,1626,793,833
Dungannon,Washing Bay,WASHING BAY,exact,2081,1076,1005,1815,899,916
Fermanagh,Ballinamallard,BALLINAMALLARD,exact,2396,1217,1179,2853,1665,1188
Fermanagh,Belcoo and Belmore,BELCOO & BELMORE,similar-in-district,2455,1298,1157,2603,1329,1274
Fermanagh,Belleek and Boa,BELLEEK & BOA,similar-in-district,2487,1300,1187,2153,1105,1048
Fermanagh,Brookeborough,BROOKEBOROUGH,exact,2534,1297,1237,2257,1154,1103
Fermanagh,Castlecoole,CASTLECOOLE,exact,2307,1108,1199,1667,848,819
Fermanagh,Derrygonnelly,DERRYGONNELLY,exact,2539,1326,1213,2610,1333,1277
Fermanagh,Derrylin,DERRYLIN,exact,2358,1245,1113,2263,1200,1063
Fermanagh,Devenish,DEVENISH,exact,3454,1686,1768,3268,1584,1684
Fermanagh,Erne,ERNE,exact,2755,1376,1379,3416,1693,1723
Fermanagh,Florence Court and Kinawley,FLORENCE COURT & KINAWLEY,similar-in-district,2313,1263,1050,2116,1151,965
Fermanagh,Garrison,GARRISON,exact,2318,1262,1056,1968,1041,927
Fermanagh,Irvinestown,IRVINESTOWN,exact,2708,1381,1327,3062,1505,1557
Fermanagh,"Kesh, Ederny and Lack","KESH, EDERNY & LACK",similar-in-district,2497,1289,1208,2601,1344,1257
Fermanagh,Lisbellaw,LISBELLAW,exact,2265,1160,1105,2397,1211,1186
Fermanagh,Lisnaskea,LISNASKEA,exact,2850,1393,1457,3468,1723,1745
Fermanagh,Maguires Bridge,MAGUIRES BRIDGE,exact,2353,1170,1183,2315,1159,1156
Fermanagh,Newtownbutler,NEWTOWNBUTLER,exact,2663,1364,1299,2650,1352,1298
Fermanagh,Rosslea,ROSSLEA,exact,2609,1386,1223,2452,1322,1130
Fermanagh,Rossorry,ROSSORRY,exact,2836,1516,1320,3698,1838,1860
Fermanagh,Tempo,TEMPO,exact,2282,1180,1102,2156,1088,1068
Lame,Antiville,ANTIVILLE,exact,2646,1348,1298,2337,1158,1179
Lame,Bally carry,BALLYCARRY,exact,1683,827,856,1650,826,824
Lame,Ballyloran,BALLYLORAN,exact,2250,1133,1117,2038,1012,1026
Lame,BJackcave,BLACKCAVE,similar-in-district,2284,1181,1103,3547,1726,1821
Lame,Carncastle,CARNCASTLE,exact,1651,785,866,2245,1102,1143
Lame,Carnlough,CARNLOUGH,exact,2104,1185,919,2280,1192,1088
Lame,Central,CENTRAL,exact,1836,840,996,1398,665,733
Lame,Craigy Hill,CRAIGYHILL,exact,2402,1174,1228,2009,968,1041
Lame,Gardenmore,GARDENMORE,exact,2032,989,1043,2221,1051,1170
Lame,Glenarm,GLENARM,exact,1728,878,850,1524,759,765
Lame,Glynn,GLYNN,exact,1872,927,945,1690,846,844
Lame,Harbour,HARBOUR,exact,1946,955,991,1789,914,875
Lame,Island Magee,ISLAND MAGEE,exact,1581,745,836,1534,745,789
Lame,Kiiwaughter,KILWAUGHTER,similar-in-district,1775,934,841,1576,813,763
Lame,Town Parks,TOWN PARKS,exact,2107,962,1145,1637,764,873
Limavady,Aghanloo,AGHANLOO,exact,1401,727,674,1294,645,649
Limavady,Binevenagh,BINEVENAGH,exact,1520,784,736,1410,721,689
Limavady,Coolessan,COOLESSAN,exact,1615,790,825,2824,1375,1449
Limavady,Dungiven,DUNGIVEN,exact,1785,889,896,2212,1123,1089
Limavady,Feeny,FEENY,exact,1459,758,701,1415,731,684
Limavady,Forest,FOREST,exact,1450,757,693,1579,808,771
Limavady,Glack,GLACK,exact,1648,846,802,1548,779,769
Limavady,Gresteel,GRESTEEL,exact,1798,916,882,1932,985,947
Limavady,Magilligan,MAGILLIGAN,exact,1700,1099,601,1348,716,632
Limavady,Myroe,MYROE,exact,1943,1045,898,1442,735,707
Limavady,Rathbrady,RATHBRADY,exact,1912,931,981,3627,1801,1826
Limavady,Roeside,ROESIDE,exact,1230,587,643,955,479,476
Limavady,The Highlands,THE HIGHLANDS,exact,1724,900,824,1658,859,799
Limavady,Upper Glenshane,UPPER GLENSHANE,exact,1287,668,619,1034,535,499
Limavady,Walworth,WALWORTH,exact,1337,651,686,2173,1333,840
Lisburn,Ballymacbrennan,BALLYMACBRENNAN,exact,2128,1073,1055,2204,1100,1104
Lisburn,QXsins,BLARIS,forced-last-pair,2562,1228,1334,2448,1183,1265
Lisburn,Collin,COLLIN,exact,2970,1471,1499,8542,4194,4348
Lisburn,Derryaghy,DERRYAGHY,exact,3308,1587,1721,2655,1254,1401
Lisburn,Dromara,DROMARA,exact,2159,1072,1087,2478,1227,1251
