DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,10.0,20.2,modelled
N20000002,nan,nan,modelled
N20000003,nan,nan,modelled
N20000004,45.7,43.3,modelled
N20000005,6.4,17.9,modelled
N20000006,38.1,38.0,modelled
N20000007,88.1,70.1,modelled
N20000008,54.1,48.4,modelled
N20000009,nan,nan,modelled
N20000010,6.2,17.8,modelled
N20000011,27.2,31.2,modelled
N20000012,19.3,26.4,modelled
N20000013,30.2,33.8,modelled
N20000014,nan,nan,modelled
N20000015,nan,nan,modelled
N20000016,58.6,51.1,modelled
N20000017,nan,nan,modelled
N20000018,89.2,70.5,modelled
N20000019,48.2,44.6,modelled
N20000020,nan,nan,modelled
N20000021,nan,nan,modelled
N20000022,nan,nan,modelled
N20000023,nan,nan,modelled
N20000024,nan,nan,modelled
N20000025,nan,nan,modelled
N20000026,5.0,16.8,modelled
N20000027,52.4,47.3,modelled
N20000028,61.9,53.0,modelled
N20000029,nan,nan,modelled
N20000030,14.5,22.9,modelled
N20000031,5.4,17.5,modelled
N20000032,88.8,70.1,modelled
N20000033,88.7,70.4,modelled
N20000034,88.3,70.0,modelled
N20000035,nan,nan,modelled
N20000036,53.6,48.7,modelled
N20000037,nan,nan,modelled
N20000038,45.4,43.2,modelled
N20000039,37.0,37.3,modelled
N20000040,nan,nan,modelled
N20000041,43.2,41.3,modelled
N20000042,nan,nan,modelled
N20000043,nan,nan,modelled
N20000044,nan,nan,modelled
N20000045,53.4,47.7,modelled
N20000046,23.3,28.6,modelled
N20000047,34.5,35.6,modelled
N20000048,49.1,45.4,modelled
N20000049,65.1,55.5,modelled
N20000050,nan,nan,modelled
N20000051,nan,nan,modelled
N20000052,nan,nan,modelled
N20000053,nan,nan,modelled
N20000054,17.0,24.9,modelled
N20000055,nan,nan,modelled
N20000056,nan,nan,modelled
N20000057,52.8,47.5,modelled
N20000058,nan,nan,modelled
N20000059,nan,nan,modelled
N20000060,nan,nan,modelled
N20000061,nan,nan,modelled
N20000062,nan,nan,modelled
N20000063,nan,nan,modelled
N20000064,nan,nan,modelled
N20000065,45.0,42.4,modelled
N20000066,63.3,53.9,modelled
N20000067,nan,nan,modelled
N20000068,38.0,38.1,modelled
N20000069,nan,nan,modelled
N20000070,34.8,35.9,modelled
N20000071,nan,nan,modelled
N20000072,28.8,32.4,modelled
N20000073,nan,nan,modelled
N20000074,15.4,23.7,modelled
N20000075,nan,nan,modelled
N20000076,nan,nan,modelled
N20000077,28.7,32.7,modelled
N20000078,21.4,27.7,modelled
N20000079,7.3,18.8,modelled
N20000080,nan,nan,modelled
N20000081,nan,nan,modelled
N20000082,10.5,20.5,modelled
N20000083,36.6,37.0,modelled
N20000084,41.5,40.0,modelled
N20000085,28.8,32.4,modelled
N20000086,4.1,16.2,modelled
N20000087,5.1,16.9,modelled
N20000088,nan,nan,modelled
N20000089,8.3,18.9,modelled
N20000090,nan,nan,modelled
N20000091,nan,nan,modelled
N20000092,7.0,18.5,modelled
N20000093,3.5,15.8,modelled
N20000094,nan,nan,modelled
N20000095,nan,nan,modelled
N20000096,4.3,16.6,modelled
N20000097,5.5,17.2,modelled
