DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,8.9,31.9,modelled
N20000002,3.6,1.0,modelled
N20000003,12.6,17.3,modelled
N20000004,45.4,63.4,modelled
N20000005,6.7,22.4,modelled
N20000006,40.5,48.6,modelled
N20000007,88.3,65.0,modelled
N20000008,54.8,57.2,modelled
N20000009,20.3,19.1,modelled
N20000010,5.9,26.8,modelled
N20000011,23.8,31.0,modelled
N20000012,19.5,22.4,modelled
N20000013,28.1,16.2,modelled
N20000014,36.6,51.6,modelled
N20000015,92.8,87.9,modelled
N20000016,53.6,58.6,modelled
N20000017,87.0,73.9,modelled
N20000018,83.5,68.3,modelled
N20000019,45.5,48.2,modelled
N20000020,53.7,47.6,modelled
N20000021,78.2,61.4,modelled
N20000022,95.5,86.0,modelled
N20000023,60.2,65.7,modelled
N20000024,81.3,65.6,modelled
N20000025,50.7,52.5,modelled
N20000026,4.2,11.3,modelled
N20000027,48.3,53.8,modelled
N20000028,60.5,65.0,modelled
N20000029,60.7,38.6,modelled
N20000030,13.3,26.5,modelled
N20000031,5.8,1.0,modelled
N20000032,83.9,80.1,modelled
N20000033,86.4,70.4,modelled
N20000034,85.6,76.2,modelled
N20000035,50.1,35.4,modelled
N20000036,48.4,50.4,modelled
N20000037,41.1,40.9,modelled
N20000038,37.9,33.5,modelled
N20000039,35.3,46.9,modelled
N20000040,55.8,50.6,modelled
N20000041,38.0,29.7,modelled
N20000042,38.4,35.5,modelled
N20000043,36.5,45.6,modelled
N20000044,40.8,47.5,modelled
N20000045,49.8,40.2,modelled
N20000046,17.9,30.5,modelled
N20000047,29.3,36.1,modelled
N20000048,45.7,41.1,modelled
N20000049,59.2,45.1,modelled
N20000050,15.3,15.7,modelled
N20000051,69.8,52.9,modelled
N20000052,31.3,33.0,modelled
N20000053,43.1,44.8,modelled
N20000054,11.6,28.0,modelled
N20000055,11.6,38.1,modelled
N20000056,27.6,42.1,modelled
N20000057,48.2,24.4,modelled
N20000058,18.3,46.6,modelled
N20000059,49.6,64.2,modelled
N20000060,41.1,31.7,modelled
N20000061,24.7,30.6,modelled
N20000062,17.6,35.1,modelled
N20000063,38.8,37.7,modelled
N20000064,33.7,41.4,modelled
N20000065,42.0,39.2,modelled
N20000066,51.4,41.7,modelled
N20000067,45.3,50.5,modelled
N20000068,38.8,46.6,modelled
N20000069,34.8,27.3,modelled
N20000070,32.2,36.2,modelled
N20000071,35.0,38.0,modelled
