DZ21,catholic_bg_pct,proj_unity_pct,provenance
N20000001,8.9,29.8,modelled
N20000002,3.6,1.0,modelled
N20000003,12.6,14.3,modelled
N20000004,45.4,62.6,modelled
N20000005,6.7,19.8,modelled
N20000006,40.5,46.8,modelled
N20000007,88.3,63.9,modelled
N20000008,54.8,56.0,modelled
N20000009,20.3,16.2,modelled
N20000010,5.9,24.3,modelled
N20000011,23.8,28.6,modelled
N20000012,19.5,19.4,modelled
N20000013,28.1,12.7,modelled
N20000014,36.6,49.8,modelled
N20000015,92.8,88.0,modelled
N20000016,53.6,57.2,modelled
N20000017,87.0,73.1,modelled
N20000018,83.5,67.5,modelled
N20000019,45.5,46.3,modelled
N20000020,53.7,45.8,modelled
N20000021,78.2,60.1,modelled
N20000022,95.5,85.9,modelled
N20000023,60.2,64.7,modelled
N20000024,81.3,64.6,modelled
N20000025,50.7,51.1,modelled
N20000026,4.2,8.0,modelled
N20000027,48.3,52.2,modelled
N20000028,60.5,63.8,modelled
N20000029,60.7,36.2,modelled
N20000030,13.3,23.8,modelled
N20000031,5.8,1.0,modelled
N20000032,83.9,79.8,modelled
N20000033,86.4,69.5,modelled
N20000034,85.6,75.6,modelled
N20000035,50.1,33.1,modelled
N20000036,48.4,48.7,modelled
N20000037,41.1,38.9,modelled
N20000038,37.9,30.8,modelled
N20000039,35.3,45.0,modelled
N20000040,55.8,49.0,modelled
N20000041,38.0,27.1,modelled
N20000042,38.4,33.1,modelled
N20000043,36.5,43.7,modelled
N20000044,40.8,45.6,modelled
N20000045,49.8,37.9,modelled
N20000046,17.9,28.0,modelled
N20000047,29.3,33.6,modelled
N20000048,45.7,38.5,modelled
N20000049,59.2,43.0,modelled
N20000050,15.3,12.6,modelled
N20000051,69.8,51.2,modelled
N20000052,31.3,30.7,modelled
N20000053,43.1,42.9,modelled
N20000054,11.6,25.5,modelled
N20000055,11.6,36.2,modelled
N20000056,27.6,40.6,modelled
N20000057,48.2,21.2,modelled
N20000058,18.3,45.3,modelled
N20000059,49.6,63.3,modelled
N20000060,41.1,29.3,modelled
N20000061,24.7,28.2,modelled
N20000062,17.6,33.1,modelled
N20000063,38.8,35.3,modelled
N20000064,33.7,39.1,modelled
N20000065,42.0,36.5,modelled
N20000066,51.4,39.6,modelled
N20000067,45.3,49.0,modelled
N20000068,38.8,44.5,modelled
N20000069,34.8,24.6,modelled
N20000070,32.2,33.7,modelled
N20000071,35.0,35.8,modelled
N20000072,26.8,30.0,modelled
N20000073,17.1,36.1,modelled
N20000074,12.6,26.0,modelled
N20000075,33.3,23.2,modelled
N20000076,43.4,35.8,modelled
N20000077,25.2,21.6,modelled
N20000078,17.5,26.5,modelled
N20000079,5.7,24.9,modelled
N20000080,24.2,24.3,modelled
N20000081,26.6,38.8,modelled
N20000082,9.6,22.3,modelled
N20000083,31.9,23.0,modelled
N20000084,39.9,42.0,modelled
N20000085,28.6,15.7,modelled
N20000086,2.8,14.6,modelled
N20000087,4.0,11.2,modelled
N20000088,2.5,16.4,modelled
N20000089,6.0,20.4,modelled
N20000090,6.2,22.1,modelled
N20000091,2.4,14.8,modelled
N20000092,6.6,14.0,modelled
N20000093,2.5,23.9,modelled
N20000094,4.4,14.6,modelled
N20000095,7.1,39.5,modelled
N20000096,3.4,29.9,modelled
N20000097,4.4,28.4,modelled
N20000098,3.1,31.6,modelled
N20000099,2.8,29.7,modelled
N20000100,4.4,14.4,modelled
N20000101,2.8,14.0,modelled
N20000102,8.5,32.8,modelled
N20000103,6.5,24.0,modelled
N20000104,4.1,44.1,modelled
N20000105,7.4,34.6,modelled
N20000106,7.5,29.7,modelled
N20000107,11.5,24.3,modelled
N20000108,6.6,32.7,modelled
N20000109,3.6,4.1,modelled
N20000110,3.0,21.8,modelled
N20000111,3.4,22.5,modelled
N20000112,6.5,24.9,modelled
N20000113,6.0,22.1,modelled
N20000114,3.4,12.7,modelled
N20000115,5.1,8.9,modelled
N20000116,8.1,18.5,modelled
N20000117,3.5,21.1,modelled
N20000118,2.6,15.7,modelled
N20000119,3.3,32.8,modelled
